"","Ranking","School Name","Averaged Score (%)"
"1",1,"Williamsburg Collegiate Charter School",83
"2",2,"Washington Heights Expeditionary Learning School",83
"3",3,"The Uft Charter School",83
"4",4,"The Michael J. Petrides School",83
"5",5,"Special Music School",83
"6",6,"Renaissance Charter School",83
"7",7,"Ocean Hill Collegiate Charter School",83
"8",8,"New Explorations into Science, Technology and Math",83
"9",9,"Kings Collegiate Charter School",83
"10",10,"Hyde Leadership Charter School",83
"11",11,"Harlem Children's Zone Promise Academy II Charter",83
"12",12,"Harlem Children's Zone Promise Academy 1 Charter S",83
"13",13,"Democracy Prep Harlem Charter School",83
"14",14,"Coney Island Preparatory Public Charter School",83
"15",15,"Brownsville Collegiate Charter School",83
"16",16,"Brooklyn East Collegiate Charter School",83
"17",17,"Bronx Lighthouse Charter School",83
"18",18,"Bedford Stuyvesant Collegiate -Uncommon Collegiate",83
"19",19,"Park Slope Collegiate",82.5
"20",20,"Brooklyn Prospect Charter School",82.5
"21",21,"Young Women's Leadership School, Queens",82
"22",22,"Young Women's Leadership School, Astoria",82
"23",23,"Young Women's Leadership School of Brooklyn",82
"24",24,"Young Women's Leadership School",82
"25",25,"York Early College Academy",82
"26",26,"World View High School",82
"27",27,"World Journalism Preparatory: A College Board Scho",82
"28",28,"World Academy for Total Community Health High Scho",82
"29",29,"Women's Academy of Excellence",82
"30",30,"Wings Academy",82
"31",31,"Williamsburg Preparatory School",82
"32",32,"Williamsburg High School for Architecture and Desi",82
"33",33,"Williamsburg Charter High School",82
"34",34,"William E. Grady Career and Technical Education Hi",82
"35",35,"William Cullen Bryant High School",82
"36",36,"Westchester Square Academy",82
"37",37,"West Bronx Academy for the Future",82
"38",38,"Washington Irving High School",82
"39",39,"Wadleigh Secondary School for the Performing & Vis",82
"40",40,"W. H. Maxwell Career and Technical Education High",82
"41",41,"Victory Collegiate High School",82
"42",42,"Veritas Academy",82
"43",43,"Vanguard High School",82
"44",44,"Validus Preparatory Academy: An Expeditionary Lear",82
"45",45,"Urban Assembly School of Design and Construction,",82
"46",46,"Urban Assembly School of Business for Young Women,",82
"47",47,"Urban Assembly School for Wildlife Conservation",82
"48",48,"Urban Assembly School for the Performing Arts",82
"49",49,"Urban Assembly School for Media Studies, The",82
"50",50,"Urban Assembly School for Criminal Justice",82
"51",51,"Urban Assembly School for Careers in Sports",82
"52",52,"Urban Assembly School for Applied Math and Science",82
"53",53,"Urban Assembly New York Harbor School",82
"54",54,"Urban Assembly Maker Academy",82
"55",55,"Urban Assembly Institute of Math and Science for Y",82
"56",56,"Urban Assembly High School of Music and Art",82
"57",57,"Urban Assembly Gateway School for Technology",82
"58",58,"Urban Assembly Academy of Government and Law, The",82
"59",59,"Urban Action Academy",82
"60",60,"University Prep Charter High School",82
"61",61,"University Neighborhood High School",82
"62",62,"University Heights Secondary School",82
"63",63,"Unity Center for Urban Technologies",82
"64",64,"Union Square Academy for Health Sciences",82
"65",65,"Transit Tech Career and Technical Education High S",82
"66",66,"Townsend Harris High School",82
"67",67,"Tottenville High School",82
"68",68,"Thurgood Marshall Academy for Learning and Social",82
"69",69,"Thomas A. Edison Career and Technical Education Hi",82
"70",70,"Theatre Arts Production Company School",82
"71",71,"The Urban Assembly School for Law and Justice",82
"72",72,"The Urban Assembly School for Green Careers",82
"73",73,"The Urban Assembly School for Global Commerce",82
"74",74,"The Urban Assembly School for Emergency Management",82
"75",75,"The Urban Assembly School for Collaborative Health",82
"76",76,"The Urban Assembly Bronx Academy of Letters",82
"77",77,"The School for Classics: An Academy of Thinkers, W",82
"78",78,"The Opportunity Charter School",82
"79",79,"The Metropolitan Soundview High School",82
"80",80,"The Marie Curie School for Medicine, Nursing, and",82
"81",81,"The High School of Fashion Industries",82
"82",82,"THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY",82
"83",83,"The High School for Global Citizenship",82
"84",84,"The High School for Enterprise, Business and Techn",82
"85",85,"The Global Learning Collaborative",82
"86",86,"The Equality Charter School",82
"87",87,"The College Academy",82
"88",88,"THE CINEMA SCHOOL",82
"89",89,"The Brooklyn School for Math and Research",82
"90",90,"The Brooklyn Academy of Global Finance",82
"91",91,"The Bronxwood Preparatory Academy",82
"92",92,"Teachers Preparatory High School",82
"93",93,"Talent Unlimited High School",82
"94",94,"Susan E. Wagner High School",82
"95",95,"Sunset Park High School",82
"96",96,"Summit Academy Charter School",82
"97",97,"Stuyvesant High School",82
"98",98,"Stephen T. Mather Building Arts & Craftsmanship Hi",82
"99",99,"Staten Island Technical High School",82
"100",100,"South Bronx Preparatory: A College Board School",82
"101",101,"Sheepshead Bay High School",82
"102",102,"Secondary School for Law",82
"103",103,"Secondary School for Journalism",82
"104",104,"Science, Technology and Research Early College Hig",82
"105",105,"Science Skills Center High School for Science, Tec",82
"106",106,"Schuylerville Preparatory High School",82
"107",107,"School of the Future High School",82
"108",108,"School for Tourism and Hospitality",82
"109",109,"School for Legal Studies",82
"110",110,"School for International Studies",82
"111",111,"School for Human Rights, The",82
"112",112,"School for Excellence",82
"113",113,"School for Democracy and  Leadership",82
"114",114,"Scholars' Academy",82
"115",115,"Samuel Gompers Career and Technical Education High",82
"116",116,"Rockaway Park High School for Environmental Sustai",82
"117",117,"Rockaway Collegiate High School",82
"118",118,"Robert H. Goddard High School of Communication Art",82
"119",119,"Robert F. Wagner, Jr. Secondary School for Arts an",82
"120",120,"Robert F. Kennedy Community High School",82
"121",121,"Riverdale / Kingsbridge Academy (Middle School / H",82
"122",122,"Richmond Hill High School",82
"123",123,"Richard R. Green High School of Teaching",82
"124",124,"Repertory Company High School for Theatre Arts",82
"125",125,"Renaissance High School for Musical Theater & Tech",82
"126",126,"Renaissance Charter High School for Innovation",82
