school.name,lat,lon,addr
"Young Women's Leadership School, Queens",40.7083678,-73.8040135,"150-91 87th Rd, Jamaica, NY 11432, USA"
"Young Women's Leadership School, Astoria",40.7712552,-73.924167,"23-15 Newtown Ave, Astoria, NY 11102, USA"
Young Women's Leadership School of Brooklyn,40.7049715,-73.9389751,"325 Bushwick Ave, Brooklyn, NY 11206, USA"
Young Women's Leadership School,40.792935,-73.9471679,"105 E 106th St #9, New York, NY 10029, USA"
York Early College Academy,40.697102,-73.7865575,"108-35 167th St, Jamaica, NY 11433, USA"
World View High School,40.8813441,-73.8872867,"100 W Mosholu Pkwy S, Bronx, NY 10468, USA"
World Journalism Preparatory: A College Board Scho,40.7648343,-73.7897125,"34-65 192nd St, Flushing, NY 11358, USA"
World Academy for Total Community Health High Scho,40.6668454,-73.8952889,"400 Pennsylvania Ave, Brooklyn, NY 11207, USA"
Women's Academy of Excellence,40.8149607,-73.8560605,"456 White Plains Rd, Bronx, NY 10473, USA"
Wings Academy,40.8416248,-73.8751818,"1122 E 180th St, Bronx, NY 10460, USA"
Williamsburg Preparatory School,40.715345,-73.9547924,"257 N 6th St, Brooklyn, NY 11211, USA"
Williamsburg High School for Architecture and Desi,40.7154923,-73.9550398,"257 N 6th St, Brooklyn, NY 11211, USA"
Williamsburg Collegiate Charter School,40.7059027,-73.9620195,"157 Wilson St, Brooklyn, NY 11211, USA"
Williamsburg Charter High School,40.7035099,-73.9358033,"198 Varet St, Brooklyn, NY 11206, USA"
William E. Grady Career and Technical Education Hi,40.5832553,-73.9634295,"25 Brighton 4th Rd, Brooklyn, NY 11235, USA"
William Cullen Bryant High School,40.757456,-73.9106198,"4810 31st Ave, Long Island City, NY 11103, USA"
Westchester Square Academy,40.8400627,-73.838045,"3000 E Tremont Ave, Bronx, NY 10461, USA"
West Bronx Academy for the Future,40.8595423,-73.8885964,"500 E Fordham Rd, Bronx, NY 10458, USA"
Washington Irving High School,40.7355487,-73.9874908,"40 Irving Pl, New York, NY 10003, USA"
Washington Heights Expeditionary Learning School,40.8490987,-73.9311063,"511 W 182nd St, New York, NY 10033, USA"
Wadleigh Secondary School for the Performing & Vis,40.8025744,-73.9541403,"215 W 114th St, New York, NY 10026, USA"
W. H. Maxwell Career and Technical Education High,40.6738562,-73.8961578,"145 Pennsylvan Ave, Brooklyn, NY 11207, USA"
Victory Collegiate High School,40.6335392,-73.9174421,"6565 Flatlands Ave, Brooklyn, NY 11236, USA"
Veritas Academy,40.7650103,-73.8268537,"35-01 Union St, Flushing, NY 11354, USA"
Vanguard High School,40.7653683,-73.9596962,"317 E 67th St, New York, NY 10065, USA"
Validus Preparatory Academy: An Expeditionary Lear,40.8394126,-73.9019033,"1595 Bathgate Ave, Bronx, NY 10457, USA"
"Urban Assembly School of Design and Construction,",40.765536,-73.993163,"525 W 50th St, New York, NY 10019, USA"
"Urban Assembly School of Business for Young Women,",40.7054423,-74.0128882,"26 Broadway, New York, NY 10004, USA"
Urban Assembly School for Wildlife Conservation,40.8439832,-73.8844851,"2024 Mohegan Ave, Bronx, NY 10460, USA"
Urban Assembly School for the Performing Arts,40.8157451,-73.9556,"509 W 129th St, New York, NY 10027, USA"
"Urban Assembly School for Media Studies, The",40.7747793,-73.98472,"122 Amsterdam Ave, New York, NY 10023, USA"
Urban Assembly School for Criminal Justice,40.634902,-73.9824061,"4200 16th Ave, Brooklyn, NY 11204, USA"
Urban Assembly School for Careers in Sports,40.8225735,-73.9235453,"730 Concourse Village W, Bronx, NY 10451, USA"
Urban Assembly School for Applied Math and Science,40.8394571,-73.9018947,"1595 Bathgate Ave, Bronx, NY 10457, USA"
Urban Assembly New York Harbor School,40.6907422,-74.0205672,"550 Short Ave, Brooklyn, NY 11231, USA"
Urban Assembly Maker Academy,40.7110242,-74.0016572,"411 Pearl St #417, New York, NY 10038, USA"
Urban Assembly Institute of Math and Science for Y,40.6946578,-73.9883234,"283 Adams St, Brooklyn, NY 11201, USA"
Urban Assembly High School of Music and Art,40.697313,-73.9846925,"49 Flatbush Ave Ext, Brooklyn, NY 11201, USA"
Urban Assembly Gateway School for Technology,40.7639937,-73.9904866,"439 W 49th St, New York, NY 10019, USA"
"Urban Assembly Academy of Government and Law, The",40.717321,-73.989323,"350 Grand St, New York, NY 10002, USA"
Urban Action Academy,40.640423,-73.8984517,"1600 Rockaway Pkwy, Brooklyn, NY 11236, USA"
University Prep Charter High School,40.8145265,-73.9123068,"600 St Ann's Ave, Bronx, NY 10455, USA"
University Neighborhood High School,40.71226,-73.9838742,"200 Monroe St, New York, NY 10002, USA"
University Heights Secondary School,40.8181071,-73.9114331,"701 St Ann's Ave, Bronx, NY 10455, USA"
