"","Ranking","School Name","Averaged Score (%)"
"1",1,"Hillcrest High School",98
"2",2,"Bronx Theatre High School",97
"3",3,"Pan American International High School at Monroe",92
"4",4,"Special Music School",91
"5",5,"Choir Academy of Harlem",91
"6",6,"Science, Technology and Research Early College Hig",90
"7",7,"KIPP Infinity Charter School",90
"8",8,"Fannie Lou Hamer Freedom High School",90
"9",9,"Bedford Academy High School",90
"10",10,"The High School for Global Citizenship",89
"11",11,"Institute for Collaborative Education",89
"12",12,"High School for Health Careers and Sciences",89
"13",13,"Achievement First Bushwick Charter School",89
"14",14,"The Urban Assembly School for Global Commerce",88
"15",15,"Summit Academy Charter School",88
"16",16,"Pan American International High School",88
"17",17,"Ocean Hill Collegiate Charter School",88
"18",18,"It Takes a Village Academy",88
"19",19,"International High School at LaGuardia Community C",88
"20",20,"Hyde Leadership Charter School",88
"21",21,"High School of Language and Innovation",88
"22",22,"High School for Law and Public Service",88
"23",23,"East Side Community School",88
"24",24,"Bedford Stuyvesant Collegiate -Uncommon Collegiate",88
"25",25,"Renaissance Charter School",87.5
"26",26,"Achievement First East New York Charter School",87.5
"27",27,"The Global Learning Collaborative",87
"28",28,"KIPP Academy Charter School",87
"29",29,"Health Opportunities High School",87
"30",30,"Frederick Douglass Academy IV Secondary School",87
"31",31,"FDNY High School for Fire and Life Safety",87
"32",32,"Community School for Social Justice",87
"33",33,"Law, Government and Community Service High School",86
"34",34,"Brooklyn Prospect Charter School",86
"35",35,"Brooklyn East Collegiate Charter School",86
"36",36,"Benjamin Franklin High School for Finance & Inform",86
"37",37,"Academy for Conservation and the Environment",86
"38",38,"High School for Teaching and the Professions",85.5
"39",39,"Excellence Boys Charter School",85.5
"40",40,"Unity Center for Urban Technologies",85
"41",41,"The Uft Charter School",85
"42",42,"PROGRESS High School for Professional Careers",85
"43",43,"Kings Collegiate Charter School",85
"44",44,"International Community High School",85
"45",45,"High School for Community Leadership",85
"46",46,"Gateway School for Environmental Research and Tech",85
"47",47,"Eagle Academy for Young Men",85
"48",48,"Brownsville Collegiate Charter School",85
"49",49,"Achievement First Crown Heights Charter School",85
"50",50,"Life Academy High School for Film and Music",84.75
"51",51,"Legacy School for Integrated Studies",84.75
"52",52,"Bronx Collaborative High School",84.75
"53",53,"Bread & Roses Integrated Arts High School",84.75
"54",54,"Manhattan Theatre Lab High School",84.5
"55",55,"Jonathan Levin High School for Media and Communica",84.5
"56",56,"Energy Tech High School",84.5
"57",57,"Achievement First Endeavor Charter School",84.5
"58",58,"Samuel Gompers Career and Technical Education High",84
"59",59,"Lyons Community School",84
"60",60,"Kurt Hahn Expeditionary Learning School",84
"61",61,"International Arts Business School",84
"62",62,"Eagle Academy for Young Men III",84
"63",63,"Coney Island Preparatory Public Charter School",84
"64",64,"Business Technology Early College High School",84
"65",65,"N.Y.C. Lab School for Collaborative Studies",83.5
"66",66,"KIPP STAR College Prep Charter School",83.5
"67",67,"Eagle Academy for Young Men II",83.5
"68",68,"Democracy Prep Harlem Charter School",83.5
"69",69,"Williamsburg Collegiate Charter School",83
"70",70,"New Visions Charter High School for the Humanities",83
"71",71,"Mott Hall High School",83
"72",72,"KIPP AMP Charter School",83
"73",73,"Khalil Gibran International Academy",83
"74",74,"International High School at Union Square",83
"75",75,"Harlem Village Academy Charter School",83
"76",76,"Harlem Children's Zone Promise Academy II Charter",83
"77",77,"Eximius College Preparatory Academy: A College Boa",83
"78",78,"Discovery High School",83
"79",79,"Bronx Latin",83
"80",80,"Academy for Careers in Television and Film",83
"81",81,"Jane Addams High School for Academic Careers",82
"82",82,"International School for Liberal Arts",82
"83",83,"International High School for Health Sciences",82
"84",84,"International High School at Prospect Heights",82
"85",85,"Harlem Children's Zone Promise Academy 1 Charter S",82
"86",86,"Gregorio Luperon High School for Science and Mathe",82
"87",87,"Gotham Professional Arts Academy",82
"88",88,"Frederick Douglass Academy III Secondary School",82
"89",89,"Frances Perkins Academy",82
"90",90,"Democracy Prep Charter School",82
"91",91,"Claremont International HS",82
"92",92,"Bushwick Leaders High School for Academic Excellen",82
"93",93,"University Heights Secondary School",81.5
"94",94,"All City Leadership Secondary School",81.5
"95",95,"Young Women's Leadership School of Brooklyn",81
"96",96,"The Brooklyn School for Math and Research",81
"97",97,"Secondary School for Law",81
"98",98,"Preparatory Academy for Writers: A College Board S",81
"99",99,"New Explorations into Science, Technology and Math",81
"100",100,"Multicultural High School",81
"101",101,"Medgar Evers College Preparatory School",81
"102",102,"High School for Youth and Community Development at",81
"103",103,"H.E.R.O. High (Health, Education, and Research Occ",81
"104",104,"Dr. Richard Izquierdo Health and Science Charter S",81
"105",105,"CSI High School for International Studies",81
"106",106,"Brooklyn Secondary School for Collaborative Studie",81
