"","DBN","School Name","Average Score Regents Algebra","Percentage Passing Regents Algebra","Percentage at college ready threshold Regents Algebra","Average Score Regents Geometry","Percentage Passing Regents Geometry","Percentage at college ready threshold Regents Geometry","Average Score Regents Algebra 2/Trig","Percentage Passing Regents Algebra 2/Trig","Percentage at college ready threshold Regents Algebra 2/Trig","Average Score Regents English","Percentage Passing Regents English","Percentage at college ready threshold Regents English","Average Score Regents US History","Percentage Passing Regents US History","Average Score Regents Global History","Percentage Passing Regents Global History","Average Score Regents Chemistry","Percentage Passing Regents Chemistry","Average Score Regents Physics","Percentage Passing Regents Physics","Average Score Regents Earth Science","Percentage Passing Regents Earth Science","Average Score Regents Living Environment","Percentage Passing Regents Living Environment","Average Score Regents Languages Other Than English","Percentage Passing Regents Languages Other Than English"
"168","09X525","Bronx Leadership Academy High School","61","0.424","0.073","49","0.104","0.009","38","0.091","0.015","63","0.602","0.35","68","0.704","57","0.384","58","0.323",NA,NA,"40","0.02","60","0.41",NA,NA
"169","09X543","High School for Violin and Dance","62","0.417","0.033",NA,NA,NA,NA,NA,NA,"69","0.747","0.387","70","0.725","58","0.4",NA,NA,NA,NA,"54","0.313","59","0.417",NA,NA
"170","09X564","Claremont International HS","56","0.305","0.013",NA,NA,NA,NA,NA,NA,"50","0.329","0.082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","10X141","Riverdale / Kingsbridge Academy (Middle School / H","66","0.665","0.037","64","0.493","0.138","62","0.458","0.234","79","0.855","0.724","83","0.878","70","0.64","65","0.495","62","0.429","59","0.35","74","0.743","87","0.966"
"172","10X213","Bronx Engineering and Technology Academy","61","0.444","0.013","56","0.25","0.015","49","0.185","0.037","66","0.685","0.348","62","0.569","58","0.448",NA,NA,NA,NA,"62","0.405","66","0.683",NA,NA
"173","10X225","Theatre Arts Production Company School","69","0.688","0.156","71","0.773","0.091",NA,NA,NA,"73","0.82","0.516","73","0.812","58","0.421",NA,NA,NA,NA,"64","0.389","67","0.659",NA,NA
"174","10X237","The Marie Curie School for Medicine, Nursing, and","63","0.439","0.071","55","0.136","0.023","46","0.13","0","74","0.825","0.508","73","0.722","55","0.264","60","0.286","69","0.649","65","0.559","64","0.504","89","1"
"175","10X243","West Bronx Academy for the Future","59","0.329","0.013","55","0.25","0.045","29","0","0","69","0.685","0.426","70","0.721","59","0.422","47","0.07",NA,NA,"59","0.368","60","0.442","88","0.921"
"176","10X264","Bronx Academy for Software Engineering (BASE)","62","0.427","0.04",NA,NA,NA,"44","0.086","0",NA,NA,NA,NA,NA,"66","0.615",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","10X268","Kingsbridge International High School","68","0.713","0.169","63","0.552","0.034",NA,NA,NA,"57","0.447","0.206","73","0.705","66","0.607",NA,NA,NA,NA,"70","0.69","72","0.813","91","0.983"
