"","DBN","School Name","Average Score Regents Algebra","Percentage Passing Regents Algebra","Percentage at college ready threshold Regents Algebra","Average Score Regents Geometry","Percentage Passing Regents Geometry","Percentage at college ready threshold Regents Geometry","Average Score Regents Algebra 2/Trig","Percentage Passing Regents Algebra 2/Trig","Percentage at college ready threshold Regents Algebra 2/Trig","Average Score Regents English","Percentage Passing Regents English","Percentage at college ready threshold Regents English","Average Score Regents US History","Percentage Passing Regents US History","Average Score Regents Global History","Percentage Passing Regents Global History","Average Score Regents Chemistry","Percentage Passing Regents Chemistry","Average Score Regents Physics","Percentage Passing Regents Physics","Average Score Regents Earth Science","Percentage Passing Regents Earth Science","Average Score Regents Living Environment","Percentage Passing Regents Living Environment","Average Score Regents Languages Other Than English","Percentage Passing Regents Languages Other Than English"
"242","13K605","George Westinghouse Career and Technical Education","57","0.278","0.004","56","0.298","0.053","47","0.045","0.045","70","0.731","0.45","68","0.652","58","0.373","61","0.438",NA,NA,NA,NA,"59","0.347",NA,NA
"243","13K670","Benjamin Banneker Academy","64","0.595","0","62","0.469","0.043","59","0.37","0.12","81","0.891","0.77","62","0.515","76","0.823","69","0.713","62","0.5","67","0.609","75","0.792","85","0.963"
"244","13K674","City Polytechnic High School of Engineering, Archi","68","0.669","0.14","64","0.561","0.061","33","0","0","75","0.866","0.638","73","0.76","65","0.546",NA,NA,NA,NA,NA,NA,"67","0.641",NA,NA
"245","14K071","Juan Morel Campos Secondary School","61","0.396","0.064","61","0.463","0.164",NA,NA,NA,"62","0.556","0.226","60","0.432","51","0.246","47","0.074",NA,NA,"52","0.132","61","0.456",NA,NA
"246","14K322","Foundations Academy","52","0.158","0",NA,NA,NA,NA,NA,NA,"64","0.567","0.333","57","0.387","46","0.143",NA,NA,NA,NA,NA,NA,"51","0.125",NA,NA
"247","14K449","Brooklyn Latin School, The","72","0.966","0.045","81","0.99","0.584","71","0.724","0.323","95","1","0.995","89","0.992","82","0.973","76","0.924",NA,NA,NA,NA,"87","1","83","0.97"
"248","14K454","Green School: An Academy for Environmental Careers","60","0.384","0.016",NA,NA,NA,NA,NA,NA,"67","0.747","0.443","67","0.65","50","0.252",NA,NA,NA,NA,NA,NA,"60","0.463",NA,NA
"249","14K474","PROGRESS High School for Professional Careers","61","0.424","0.033","56","0.309","0.015","46","0.159","0","69","0.731","0.476","71","0.742","63","0.551","52","0.111",NA,NA,"55","0.316","59","0.402","91","1"
"250","14K477","School for Legal Studies","61","0.396","0.049","54","0.103","0.026","59","0.471","0","72","0.79","0.543","68","0.73","54","0.329","54","0.176",NA,NA,NA,NA,"60","0.435","94","1"
"251","14K478","The High School for Enterprise, Business and Techn","62","0.489","0.019","62","0.44","0.071","56","0.342","0.079","71","0.772","0.504","77","0.817","62","0.495","63","0.48","61","0.368","65","0.587","69","0.665","91","0.964"
"252","14K488","Brooklyn Preparatory High School","65","0.606","0.021","60","0.415","0.038","34","0","0","74","0.842","0.559","75","0.805","65","0.557","55","0.146","36","0.018",NA,NA,"70","0.7",NA,NA
"253","14K558","Williamsburg High School for Architecture and Desi","70","0.835","0.126","69","0.758","0.084","51","0.284","0.108","80","0.966","0.767","81","0.916","68","0.7","53","0.169",NA,NA,"72","0.738","80","0.942",NA,NA
"254","14K561","Williamsburg Preparatory School","70","0.812","0.139","72","0.776","0.215","63","0.505","0.11","77","0.87","0.632","80","0.88","71","0.665","71","0.768","67","0.667","66","0.605","67","0.642","78","0.759"
"255","14K586","Lyons Community School",NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","0.714","0.33","59","0.583","57","0.438",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","14K610","Automotive High School","60","0.4","0.011","50","0.167","0.024",NA,NA,NA,"56","0.412","0.171","61","0.474","53","0.268",NA,NA,NA,NA,"51","0.222","49","0.169",NA,NA
"257","14K614","Young Women's Leadership School of Brooklyn","66","0.677","0.039","71","0.771","0.114",NA,NA,NA,"76","0.875","0.607","74","0.808","62","0.459",NA,NA,NA,NA,"63","0.472","72","0.8",NA,NA
"258","14K632","Frances Perkins Academy","68","0.881","0","48","0","0",NA,NA,NA,"65","0.552","0.31","71","0.806","58","0.435",NA,NA,NA,NA,NA,NA,"66","0.714",NA,NA
"259","14K685","El Puente Academy for Peace and Justice",NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","0.803","0.513",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","15K429","Brooklyn School for Global Studies","57","0.22","0","58","0.222","0",NA,NA,NA,"75","0.854","0.732","73","0.767","59","0.431",NA,NA,NA,NA,"52","0.36","60","0.382",NA,NA
"261","15K448","Brooklyn Secondary School for Collaborative Studie",NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","0.789","0.578",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","15K462","Secondary School for Law","66","0.618","0.068","58","0.35","0.03","44","0.053","0.053","65","0.571","0.265","69","0.617","62","0.504","65","0.611",NA,NA,"65","0.531","63","0.444","77","0.867"
"263","15K463","Secondary School for Journalism","57","0.225","0.049","52","0.137","0.02","54","0.167","0","74","0.847","0.582","70","0.683","57","0.355",NA,NA,NA,NA,"54","0.278","60","0.375",NA,NA
"264","15K464","Park Slope Collegiate","63","0.551","0.026","56","0.338","0.014","49","0.091","0.045","69","0.778","0.535","75","0.803","55","0.388",NA,NA,NA,NA,"45","0.059","66","0.602",NA,NA
"265","15K497","School for International Studies","56","0.175","0.019","58","0.304","0.014","31","0.024","0","66","0.625","0.391","68","0.643","56","0.333",NA,NA,NA,NA,"55","0.265","61","0.457","86","0.875"
"266","15K519","Cobble Hill School of American Studies","61","0.435","0.016","55","0.273","0","49","0.171","0.049","68","0.711","0.374","67","0.639","57","0.36","59","0.333",NA,NA,"57","0.291","61","0.472",NA,NA
"267","15K592","Khalil Gibran International Academy","62","0.402","0.043","63","0.545","0.068","54","0.182","0.03","67","0.681","0.404","77","0.853","64","0.475",NA,NA,NA,NA,"49","0.1","66","0.614",NA,NA
"268","15K656","Brooklyn High School of the Arts","67","0.624","0.074","62","0.442","0.022","51","0.201","0.045","77","0.879","0.695","78","0.892","68","0.664","54","0.171",NA,NA,"62","0.5","70","0.74","87","1"
"269","15K667","Sunset Park High School","66","0.609","0.054","49","0.155","0.008","47","0.238","0.06","72","0.792","0.481","68","0.633","60","0.424",NA,NA,NA,NA,"62","0.472","65","0.541","84","0.873"
"270","15K684","Millennium Brooklyn HS","72","0.974","0.079","75","0.92","0.251","67","0.653","0.168","90","1","0.99","89","1","83","0.976","71","0.755","67","0.674","78","0.902","84","1","88","0.972"
"271","16K393","Frederick Douglass Academy IV Secondary School","62","0.5","0.087",NA,NA,NA,NA,NA,NA,"71","0.714","0.476","56","0.433","57","0.316","45","0",NA,NA,NA,NA,"55","0.233",NA,NA
"272","16K455","Boys and Girls High School","63","0.605","0.019","64","0.531","0.097",NA,NA,NA,"71","0.755","0.463","64","0.58","64","0.626","60","0.2",NA,NA,"69","0.744","62","0.527","87","1"
"273","16K498","Brooklyn High School for Law and Technology","60","0.455","0.011","64","0.573","0.04","56","0.311","0","72","0.791","0.505","77","0.861","65","0.585","66","0.633","57","0.235","71","0.743","71","0.756","93","1"
"274","16K594","Gotham Professional Arts Academy",NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","0.955","0.687",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","16K688","The Brooklyn Academy of Global Finance","60","0.453","0","46","0.022","0",NA,NA,NA,"67","0.615","0.25","74","0.85","57","0.449",NA,NA,NA,NA,"38","0","62","0.5",NA,NA
"276","16K765","Nelson Mandela High School","53","0.105","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"53","0.241",NA,NA,NA,NA,NA,NA,NA,NA,"52","0.247",NA,NA
"277","17K122","Pathways in Technology Early College High School (","67","0.613","0.116","48","0.104","0.016","34","0.024","0","69","0.708","0.416","60","0.488","60","0.5",NA,NA,"52","0.19",NA,NA,"59","0.388",NA,NA
"278","17K382","Academy for College Preparation and Career Explora","62","0.412","0.034","60","0.404","0.035","56","0.367","0.067","70","0.704","0.449","69","0.685","59","0.489",NA,NA,NA,NA,"65","0.551","63","0.574","90","1"
"279","17K408","Academy of Hospitality and Tourism","63","0.505","0.022","50","0.159","0.068",NA,NA,NA,"64","0.681","0.286","61","0.526","52","0.258",NA,NA,NA,NA,"46","0.116","61","0.456",NA,NA
"280","17K524","International High School at Prospect Heights","64","0.483","0.136",NA,NA,NA,NA,NA,NA,"58","0.465","0.165",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","17K528","The High School for Global Citizenship","62","0.436","0.043","50","0.174","0",NA,NA,NA,"56","0.452","0.143","57","0.388","51","0.229","42","0",NA,NA,"62","0.471","55","0.322",NA,NA
"282","17K531","School for Human Rights, The","64","0.623","0.007","58","0.342","0.026","26","0","0","71","0.769","0.415","72","0.783","62","0.527","52","0.103",NA,NA,"62","0.449","59","0.382",NA,NA
"283","17K533","School for Democracy and  Leadership","56","0.204","0","63","0.375","0",NA,NA,NA,"66","0.606","0.266","63","0.462","61","0.434",NA,NA,NA,NA,NA,NA,"63","0.538",NA,NA
"284","17K537","High School for Youth and Community Development at","67","0.618","0.127",NA,NA,NA,"68","0.45","0.25","67","0.722","0.342","69","0.72","55","0.314",NA,NA,NA,NA,NA,NA,"65","0.559",NA,NA
"285","17K539","High School for Service & Learning at Erasmus","70","0.766","0.168",NA,NA,NA,"58","0.293","0.073","68","0.8","0.354","70","0.709","58","0.423",NA,NA,NA,NA,"61","0.519","64","0.583",NA,NA
"286","17K543","Science, Technology and Research Early College Hig","75","0.953","0.308","72","0.806","0.224","67","0.676","0.176","81","0.917","0.744","80","0.882","75","0.795",NA,NA,"47","0.083","73","0.76","75","0.806","86","1"
"287","17K544","International Arts Business School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","17K546","High School for Public Service: Heroes  of Tomorro","64","0.466","0.058","69","0.75","0.097","57","0.325","0.065","88","0.981","0.907","87","0.96","78","0.874","71","0.742","77","0.875","74","0.845","76","0.896","91","1"
"289","17K547","Brooklyn Academy of Science and the Environment","66","0.594","0.068","61","0.535","0.059","46","0.132","0.011","68","0.707","0.353","74","0.837","62","0.54",NA,NA,"61","0.417","70","0.723","62","0.445","87","0.976"
"290","17K548","Brooklyn School for Music & Theatre","62","0.469","0.017","58","0.227","0.015","37","0","0","74","0.86","0.504","71","0.72","63","0.464","57","0.059",NA,NA,"60","0.309","61","0.441","71","0.71"
"291","17K590","Medgar Evers College Preparatory School","70","0.783","0.121","72","0.797","0.257","65","0.612","0.121","83","0.955","0.794","80","0.945","77","0.87","69","0.716","70","0.708","71","0.774","79","0.944","81","0.92"
"292","17K600","Clara Barton High School","58","0.26","0.004","60","0.405","0.042","49","0.247","0.068","73","0.838","0.497","71","0.707","60","0.465","64","0.476",NA,NA,"60","0.431","65","0.601","91","1"
"293","17K745","Brooklyn Institute for Liberal Arts","68","0.712","0.085","64","0.521","0.042","39","0.05","0","73","0.844","0.431","71","0.73","70","0.783",NA,NA,NA,NA,NA,NA,"71","0.714",NA,NA
"294","17K751","Academy for Health Careers","66","0.629","0.079","67","0.667","0.083",NA,NA,NA,"70","0.744","0.426","69","0.711","60","0.476",NA,NA,NA,NA,NA,NA,"64","0.512",NA,NA
"295","18K563","It Takes a Village Academy","63","0.527","0.03","68","0.776","0.066","52","0.311","0.016","76","0.848","0.68","73","0.803","69","0.702","55","0.293","61","0.542","68","0.664","68","0.748","84","0.894"
"296","18K566","Brooklyn Generation School","62","0.463","0.025",NA,NA,NA,"50","0.167","0.083","72","0.841","0.478","77","0.865","66","0.551",NA,NA,NA,NA,"62","0.458","71","0.746",NA,NA
"297","18K567","Brooklyn Theatre Arts High School","64","0.538","0.071","59","0.413","0.018","39","0","0","68","0.706","0.333","66","0.622","58","0.318",NA,NA,NA,NA,"58","0.276","62","0.528",NA,NA
"298","18K569","Kurt Hahn Expeditionary Learning School","65","0.65","0",NA,NA,NA,NA,NA,NA,"69","0.74","0.411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","0.625",NA,NA
"299","18K576","Victory Collegiate High School","63","0.511","0.045",NA,NA,NA,NA,NA,NA,"67","0.706","0.224","66","0.619","55","0.314",NA,NA,NA,NA,NA,NA,"60","0.37",NA,NA
"300","18K589","Arts & Media Preparatory Academy","59","0.343","0.015","50","0.206","0",NA,NA,NA,"71","0.753","0.452","69","0.65","57","0.317","48","0",NA,NA,NA,NA,"66","0.593",NA,NA
"301","18K617","High School for Innovation in Advertising and Medi","66","0.625","0.052","62","0.368","0.053",NA,NA,NA,"68","0.725","0.33","66","0.672","62","0.51",NA,NA,NA,NA,"69","0.661","62","0.457",NA,NA
"302","18K629","Cultural Academy for the Arts and Sciences","63","0.513","0.034","72","0.923","0.192",NA,NA,NA,"72","0.769","0.449","65","0.579","61","0.473","58","0.471",NA,NA,"63","0.417","64","0.55",NA,NA
"303","18K633","High School for Medical Professions","65","0.592","0.071","53","0.122","0.02","40","0.103","0","72","0.762","0.453","71","0.742","66","0.638","57","0.163",NA,NA,"66","0.556","63","0.571","78","0.811"
"304","18K637","Academy for Conservation and the Environment","62","0.528","0.028","51","0.151","0","37","0.158","0","73","0.817","0.496","63","0.545","63","0.573","50","0.091",NA,NA,"59","0.435","64","0.623",NA,NA
"305","18K642","Urban Action Academy","58","0.333","0.049","53","0.258","0.015",NA,NA,NA,"68","0.688","0.4","61","0.452","56","0.34",NA,NA,NA,NA,"46","0.036","57","0.304",NA,NA
"306","19K404","Academy for Young Writers","57","0.204","0.007","56","0.203","0.016",NA,NA,NA,"76","0.831","0.6","73","0.71","65","0.559",NA,NA,NA,NA,"65","0.529","67","0.631",NA,NA
"307","19K409","East New York Family Academy","64","0.602","0.034","63","0.547","0.057","51","0.063","0","78","0.9","0.675","72","0.824","61","0.393",NA,NA,NA,NA,"66","0.582","67","0.608","92","1"
"308","19K502","FDNY High School for Fire and Life Safety","61","0.449","0","59","0.375","0.063",NA,NA,NA,"71","0.69","0.46","69","0.625","61","0.596",NA,NA,NA,NA,"67","0.667","66","0.593",NA,NA
"309","19K504","High School for Civil Rights","60","0.41","0.066","55","0.214","0.024",NA,NA,NA,"56","0.352","0.148","66","0.583","59","0.408",NA,NA,NA,NA,NA,NA,"59","0.466","88","0.938"
"310","19K507","Performing Arts and Technology High School","58","0.314","0",NA,NA,NA,"26","0.021","0","74","0.836","0.5","72","0.766","58","0.436","58","0.182",NA,NA,"58","0.208","57","0.33",NA,NA
"311","19K510","World Academy for Total Community Health High Scho","61","0.384","0.023","69","0.78","0.098","59","0.5","0","65","0.592","0.342","76","0.822","57","0.38",NA,NA,NA,NA,"64","0.364","62","0.554","88","1"
"312","19K583","Multicultural High School","61","0.465","0.085",NA,NA,NA,NA,NA,NA,"58","0.557","0.216","65","0.562","55","0.327",NA,NA,NA,NA,"63","0.5","62","0.533",NA,NA
"313","19K615","Transit Tech Career and Technical Education High S","58","0.299","0.012","64","0.558","0.058","34","0.041","0.014","77","0.855","0.668","71","0.716","59","0.409",NA,NA,"30","0.039","41","0.089","60","0.423",NA,NA
"314","19K618","Academy of Innovative Technology","61","0.439","0.006","58","0.429","0.063","57","0.405","0.048","70","0.781","0.412","75","0.874","67","0.681",NA,NA,NA,NA,"68","0.657","62","0.479",NA,NA
"315","19K639","Brooklyn Lab School","57","0.275","0","53","0.143","0.02","34","0","0","61","0.51","0.21","54","0.305","62","0.542",NA,NA,NA,NA,"62","0.415","53","0.266",NA,NA
"316","19K659","Cypress Hills Collegiate Preparatory School","62","0.446","0.036","49","0.029","0.029","54","0.25","0.125","66","0.634","0.301","58","0.389","63","0.489","54","0.15",NA,NA,"52","0.105","65","0.59","94","1"
"317","19K660","W. H. Maxwell Career and Technical Education High","63","0.564","0.071","52","0.326","0.011","63","0.667","0.143","65","0.596","0.273","69","0.634","58","0.416",NA,NA,NA,NA,"61","0.463","66","0.596",NA,NA
"318","19K683","The School for Classics: An Academy of Thinkers, W","69","0.735","0.162","70","0.76","0.28","57","0.476","0.095","69","0.773","0.495","68","0.688","55","0.404",NA,NA,NA,NA,"61","0.37","68","0.688","91","1"
"319","19K764","The Urban Assembly School for Collaborative Health","60","0.44","0","68","0.579","0.105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","0.8",NA,NA
"320","20K445","New Utrecht High School","70","0.774","0.129","74","0.777","0.363","70","0.614","0.384","71","0.71","0.438","77","0.817","70","0.677","73","0.801","83","0.914","64","0.535","75","0.786","92","0.993"
"321","20K485","High School of  Telecommunication Arts and Technol","68","0.69","0.188","62","0.464","0.111","57","0.391","0.112","74","0.804","0.584","77","0.823","68","0.628","61","0.399","65","0.559","57","0.32","75","0.793","93","0.986"
"322","20K490","Fort Hamilton High School","70","0.756","0.169","72","0.778","0.29","67","0.572","0.297","77","0.877","0.686","81","0.848","71","0.671","73","0.795","81","0.92","61","0.459","72","0.73","88","0.944"
"323","20K505","Franklin Delano Roosevelt High School","72","0.791","0.261","74","0.812","0.324","74","0.714","0.412","73","0.805","0.525","80","0.878","69","0.646","69","0.615","73","0.784","44","0.235","77","0.901","91","0.986"
"324","20K609","Urban Assembly School for Criminal Justice","62","0.467","0.054","66","0.608","0.134","62","0.469","0.094","82","0.942","0.799","90","0.986","79","0.865",NA,NA,NA,NA,"68","0.684","71","0.714","81","0.957"
"325","21K337","International High School at Lafayette","65","0.57","0.11",NA,NA,NA,NA,NA,NA,"59","0.483","0.238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"326","21K344","Rachel Carson High School for Coastal Studies","67","0.714","0.052","67","0.628","0.159","58","0.323","0.138","80","0.889","0.712","74","0.809","67","0.581","63","0.467",NA,NA,"66","0.532","74","0.78","77","0.85"
"327","21K348","High School of Sports Management","58","0.358","0","56","0.26","0.055","39","0.113","0.014","64","0.59","0.25","64","0.53","53","0.225",NA,NA,NA,NA,"58","0.371","58","0.364","74","0.737"
"328","21K410","Abraham Lincoln High School","60","0.356","0.025","63","0.513","0.097","72","0.729","0.411","63","0.623","0.318","64","0.525","63","0.52","59","0.256","58","0.37","55","0.318","62","0.504","90","0.994"
"329","21K468","Kingsborough Early College School","70","0.8","0.158","69","0.719","0.202","58","0.423","0.175","80","0.917","0.813","76","0.724","76","0.786","72","0.769",NA,NA,"70","0.714","77","0.892","82","0.851"
"330","21K525","Edward R. Murrow High School","66","0.644","0.082","70","0.683","0.261","57","0.352","0.143","80","0.89","0.717","83","0.893","70","0.652","66","0.581","72","0.767","63","0.501","74","0.789","91","0.998"
"331","21K540","John Dewey High School","66","0.597","0.101","63","0.486","0.145","53","0.3","0.134","69","0.67","0.492","75","0.791","69","0.684","60","0.338","58","0.453","58","0.318","70","0.677","86","0.984"
"332","21K559","Life Academy High School for Film and Music","70","0.742","0.258","68","0.825","0.042",NA,NA,NA,"83","0.961","0.805","86","1","78","0.945",NA,NA,NA,NA,"70","0.738","79","0.974",NA,NA
"333","21K572","Expeditionary Learning School for Community Leader",NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","0.882","0.667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"334","21K620","William E. Grady Career and Technical Education Hi","62","0.441","0.024","58","0.314","0.029","37","0.094","0.031","64","0.644","0.228","67","0.64","61","0.48",NA,NA,NA,NA,"62","0.404","64","0.578",NA,NA
"335","21K690","Brooklyn Studio Secondary School","67","0.635","0.093","64","0.544","0.111","50","0.194","0.032","77","0.872","0.626","83","0.873","68","0.647","61","0.357","74","0.833","72","0.776","69","0.672","88","1"
"336","22K405","Midwood High School","71","0.816","0.139","76","0.793","0.43","69","0.609","0.321","81","0.92","0.767","83","0.917","74","0.774","77","0.878","76","0.834","69","0.664","76","0.812","88","0.986"
"337","22K425","James Madison High School","68","0.706","0.08","70","0.7","0.207","67","0.583","0.273","74","0.828","0.614","72","0.766","77","0.82","66","0.547","76","0.82","65","0.553","70","0.693","92","0.99"
"338","22K495","Sheepshead Bay High School","61","0.46","0.018",NA,NA,NA,"39","0.033","0","69","0.728","0.42","70","0.706","56","0.376",NA,NA,NA,NA,"51","0.247","60","0.423","89","0.974"
"339","22K535","Leon M. Goldstein High School for the Sciences","68","0.717","0.092","82","0.901","0.641","74","0.752","0.413","85","0.989","0.857","93","0.996","81","0.945","74","0.823","77","0.825",NA,NA,"83","0.9","89","0.992"
"340","22K555","Brooklyn College Academy","73","0.888","0.21","75","0.854","0.382","73","0.824","0.282","89","0.994","0.935","90","0.973","83","0.905","77","0.919",NA,NA,"80","0.914","76","0.78","87","1"
"341","22K611","Origins High School","65","0.604","0.079",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61","0.511",NA,NA,NA,NA,"62","0.545","65","0.593",NA,NA
"342","23K493","Brooklyn Collegiate: A College Board School","63","0.469","0.056","54","0.116","0.023","48","0.174","0","69","0.748","0.456","57","0.434","66","0.632",NA,NA,NA,NA,"49","0.17","66","0.603",NA,NA
"343","23K514","Frederick Douglass Academy VII High School","60","0.343","0.019","49","0.111","0",NA,NA,NA,"63","0.571","0.286","57","0.358","60","0.441",NA,NA,NA,NA,"57","0.333","66","0.531",NA,NA
"344","23K644","Eagle Academy for Young Men II","66","0.676","0.028","63","0.5","0.05","44","0.091","0","72","0.747","0.53","70","0.721","58","0.371",NA,NA,NA,NA,"68","0.619","69","0.761","78","0.857"
"345","23K697","Teachers Preparatory High School","64","0.628","0.038","63","0.548","0.032","62","0.393","0.179","76","0.877","0.646","75","0.816","66","0.617",NA,NA,NA,NA,"66","0.639","68","0.681","88","1"
"346","24Q236","International High School for Health Sciences","59","0.322","0.023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"347","24Q264","Academy of Finance and  Enterprise","71","0.829","0.126","74","0.868","0.351","69","0.614","0.242","84","0.976","0.911","87","0.958","80","0.881","76","0.94","85","1","73","0.795","77","0.909","92","0.988"
"348","24Q267","High School of Applied Communication","63","0.465","0.042","58","0.31","0.053","60","0.486","0.086","80","0.895","0.728","80","0.867","63","0.554","69","0.607","76","0.833","63","0.5","68","0.703","88","0.965"
"349","24Q293","Civic Leadership Academy","71","0.85","0.218","64","0.524","0.089","71","0.732","0.232","82","0.965","0.825","79","0.847","74","0.808","70","0.8","74","0.8","71","0.714","81","0.881","90","1"
"350","24Q296","Pan American International High School","64","0.525","0.023",NA,NA,NA,NA,NA,NA,"67","0.683","0.275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"88","0.983"
"351","24Q299","Bard High School Early College Queens","74","0.971","0.171",NA,NA,NA,NA,NA,NA,"92","1","0.985","84","0.986","81","0.993",NA,NA,NA,NA,NA,NA,"85","1",NA,NA
"352","24Q455","Newtown High School","65","0.587","0.076","66","0.614","0.102","49","0.235","0.118","69","0.737","0.395","67","0.617","65","0.578","66","0.476",NA,NA,"55","0.31","63","0.526","93","0.994"
"353","24Q485","Grover Cleveland High School","64","0.528","0.075","68","0.626","0.153","56","0.326","0.111","70","0.717","0.409","72","0.719","61","0.481","60","0.27","75","0.871","63","0.536","64","0.567","90","0.986"
"354","24Q520","Middle College High School at LaGuardia Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","0.741","0.343",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"355","24Q530","International High School at LaGuardia Community C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","0.776","0.388",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356","24Q550","High School for Arts and Business","70","0.795","0.143","61","0.473","0.08","50","0.239","0.037","71","0.763","0.451","82","0.909","73","0.792","64","0.494","67","0.702","64","0.581","72","0.765","89","0.977"
"357","24Q560","Robert F. Wagner, Jr. Secondary School for Arts an","63","0.495","0.054","63","0.491","0.069","47","0.182","0.045","76","0.887","0.607","74","0.785","66","0.603","61","0.372",NA,NA,"62","0.466","73","0.763",NA,NA
"358","24Q585","Maspeth High School","67","0.772","0.088","72","0.758","0.289","60","0.47","0.098","86","0.988","0.868","88","0.983","81","0.928","68","0.601","66","0.581","72","0.722","82","0.947","79","0.872"
"359","24Q600","Queens Vocational and Technical High School","69","0.733","0.121","61","0.437","0.045","48","0.201","0.077","75","0.845","0.554","70","0.682","77","0.835","54","0.193","54","0.303","65","0.532","66","0.588",NA,NA
"360","24Q610","Aviation Career & Technical Education High School","76","0.92","0.327","77","0.862","0.487","68","0.608","0.247","79","0.915","0.755","87","0.945","78","0.845","71","0.767","82","0.902","74","0.814","82","0.942",NA,NA
"361","25Q240","Veritas Academy","62","0.451","0.014","63","0.526","0.095","51","0.3","0.15",NA,NA,NA,"63","0.486",NA,NA,NA,NA,NA,NA,"70","0.679","67","0.652",NA,NA
"362","25Q241","Queens High School for Language Studies","72","0.825","0.161","77","0.85","0.45","80","0.778","0.667",NA,NA,NA,NA,NA,"76","0.852","79","0.852",NA,NA,"70","0.683","78","0.917",NA,NA
"363","25Q252","Queens School of Inquiry, The","67","0.708","0.028","70","0.696","0.348","71","0.657","0.294","83","0.931","0.828","74","0.747","81","0.933","70","0.643","60","0.424",NA,NA,"77","0.824","85","0.964"
"364","25Q263","Flushing International High School","67","0.571","0.242",NA,NA,NA,NA,NA,NA,"59","0.521","0.239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"365","25Q281","East-West School of International Studies","70","0.714","0.171","70","0.714","0.186","69","0.658","0.342","79","0.868","0.689","91","0.978","77","0.798","79","0.966","76","0.9","86","1","76","0.879","88","0.936"
"366","25Q285","World Journalism Preparatory: A College Board Scho","68","0.693","0.102","68","0.667","0.08","57","0.473","0.182","88","0.98","0.912","75","0.761","76","0.848","57","0.31","53","0.224",NA,NA,"77","0.888","96","1"
"367","25Q425","John Bowne High School","66","0.615","0.086","66","0.582","0.179","56","0.313","0.139","75","0.827","0.592","74","0.744","64","0.524","68","0.653","75","0.766","66","0.592","70","0.672","90","0.975"
"368","25Q460","Flushing High School","62","0.455","0.04","70","0.718","0.228","72","0.706","0.324","68","0.707","0.386","68","0.662","57","0.413","60","0.354","64","0.526","59","0.444","64","0.57","91","0.992"
"369","25Q525","Townsend Harris High School","80","0.931","0.517","94","1","0.982","91","0.981","0.9","93","1","1","97","1","95","1","88","0.987","87","0.972",NA,NA,"92","1","96","1"
"370","25Q670","Robert F. Kennedy Community High School","71","0.808","0.14","78","0.934","0.368","61","0.449","0.154","76","0.883","0.601","75","0.805","68","0.644","63","0.439",NA,NA,"64","0.526","67","0.599","88","0.978"
"371","26Q315","Business Technology Early College High School","62","0.541","0.012","73","0.792","0.167",NA,NA,NA,NA,NA,NA,"77","0.788",NA,NA,NA,NA,"47","0.125",NA,NA,NA,NA,NA,NA
"372","26Q415","Benjamin N. Cardozo High School","66","0.644","0.071","79","0.894","0.504","67","0.576","0.277","81","0.898","0.746","84","0.923","75","0.781","72","0.726","72","0.72","59","0.427","75","0.797","91","0.996"
"373","26Q430","Francis Lewis High School","74","0.841","0.281","83","0.944","0.604","78","0.788","0.543","82","0.91","0.778","83","0.902","77","0.8","78","0.912","79","0.889","69","0.695","81","0.878","88","0.965"
"374","26Q435","Martin Van Buren High School","64","0.541","0.048","59","0.42","0.049","50","0.21","0.065","70","0.734","0.416","66","0.613","59","0.428","72","0.789","71","0.774","53","0.24","65","0.571","88","0.976"
