ID,School Name,Race,Number
01M292,Henry Street School for International Studies,Asian,34
01M448,University Neighborhood High School,Asian,91
01M450,East Side Community School,Asian,63
01M509,Marta Valle High School,Asian,21
01M539,"New Explorations into Science, Technology and Math",Asian,668
01M696,Bard High School Early College,Asian,93
02M047,47 The American Sign Language and English Secondar,Asian,2
02M135,The Urban Assembly School for Emergency Management,Asian,11
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,Asian,7
02M280,Manhattan Early College School for Advertising,Asian,7
02M282,Urban Assembly Maker Academy,Asian,11
02M288,Food and Finance High School,Asian,20
02M294,Essex Street Academy,Asian,21
02M296,High School of Hospitality Management,Asian,21
02M298,Pace High School,Asian,58
02M300,"Urban Assembly School of Design and Construction,",Asian,25
02M303,"Facing History School, The",Asian,7
02M305,"Urban Assembly Academy of Government and Law, The",Asian,19
02M308,Lower Manhattan Arts Academy,Asian,33
02M316,"Urban Assembly School of Business for Young Women,",Asian,14
02M374,Gramercy Arts High School,Asian,19
02M376,NYC iSchool,Asian,38
02M392,MANHATTAN BUSINESS ACADEMY,Asian,15
02M393,BUSINESS OF SPORTS SCHOOL,Asian,10
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,Asian,136
02M400,High School for Environmental Studies,Asian,196
02M407,Institute for Collaborative Education,Asian,28
02M408,Professional Performing Arts High School,Asian,13
02M411,Baruch College Campus High School,Asian,247
02M412,N.Y.C. Lab School for Collaborative Studies,Asian,162
02M413,School of the Future High School,Asian,103
02M414,N.Y.C. Museum School,Asian,161
02M416,Eleanor Roosevelt High School,Asian,109
02M418,Millennium High School,Asian,253
02M419,Landmark High School,Asian,13
02M420,High School for Health Professions and Human Servi,Asian,373
02M422,Quest to Learn,Asian,49
02M425,Leadership and Public Service High School,Asian,27
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,Asian,8
02M429,Legacy School for Integrated Studies,Asian,0
02M437,Hudson High School of Learning Technologies,Asian,31
02M438,International High School at Union Square,Asian,108
02M439,Manhattan Village Academy,Asian,30
02M449,Vanguard High School,Asian,37
02M459,Manhattan International High School,Asian,101
02M460,Washington Irving High School,Asian,3
02M475,Stuyvesant High School,Asian,2419
02M489,High School of Economics and Finance,Asian,173
02M500,Unity Center for Urban Technologies,Asian,17
02M507,Urban Assembly Gateway School for Technology,Asian,37
02M519,Talent Unlimited High School,Asian,25
02M520,Murry Bergtraum High School for Business Careers,Asian,86
02M529,Jacqueline Kennedy Onassis High School,Asian,27
02M531,Repertory Company High School for Theatre Arts,Asian,4
02M533,Union Square Academy for Health Sciences,Asian,51
02M534,Harvest Collegiate High School,Asian,23
02M542,Manhattan Bridges High School,Asian,0
02M543,New Design High School,Asian,26
02M545,High School for Dual Language and Asian Studies,Asian,370
02M546,Academy for Software Engineering,Asian,38
02M551,Urban Assembly New York Harbor School,Asian,13
02M580,Richard R. Green High School of Teaching,Asian,35
02M600,The High School of Fashion Industries,Asian,88
02M615,Chelsea Career and Technical Education High School,Asian,36
02M625,High School of Graphic Communication Arts,Asian,6
02M630,Art and Design High School,Asian,125
02M655,Life Sciences Secondary School,Asian,30
03M283,Manhattan Theatre Lab High School,Asian,1
03M299,"High School for Arts, Imagination and Inquiry",Asian,2
03M307,"Urban Assembly School for Media Studies, The",Asian,8
03M402,The Urban Assembly School for Green Careers,Asian,4
03M403,The Global Learning Collaborative,Asian,12
03M415,Wadleigh Secondary School for the Performing & Vis,Asian,8
03M417,FRANK McCOURT HIGH SCHOOL,Asian,34
03M479,Beacon High School,Asian,114
03M485,Fiorello H. LaGuardia High School of Music & Art a,Asian,511
03M492,"High School for Law, Advocacy and Community Justic",Asian,12
03M494,High School of Arts and Technology,Asian,23
03M541,Manhattan / Hunter Science High School,Asian,117
03M859,Special Music School,Asian,43
03M860,Frederick Douglass Academy II Secondary School,Asian,9
04M372,ESPERANZA PREPARATORY ACADEMY,Asian,7
04M409,Coalition School for Social Change,Asian,12
04M435,Manhattan Center for Science and Mathematics,Asian,308
04M495,Park East High School,Asian,20
04M555,Central Park East High School,Asian,34
04M610,Young Women's Leadership School,Asian,43
04M680,"Heritage School, The",Asian,4
05M157,The Urban Assembly School for Global Commerce,Asian,4
05M304,Mott Hall High School,Asian,4
05M362,Columbia Secondary School,Asian,90
05M367,Academy for Social Action: A College Board School,Asian,1
05M369,Urban Assembly School for the Performing Arts,Asian,3
05M469,Choir Academy of Harlem,Asian,0
05M499,Frederick Douglass Academy,Asian,24
05M670,Thurgood Marshall Academy for Learning and Social,Asian,7
05M685,Bread & Roses Integrated Arts High School,Asian,0
05M692,"High School for Mathematics, Science and Engineeri",Asian,181
06M211,Inwood Early College for Health and Information Te,Asian,4
06M293,City College Academy of the Arts,Asian,5
06M346,Community Health Academy of the Heights,Asian,0
06M348,Washington Heights Expeditionary Learning School,Asian,2
06M462,The College Academy,Asian,1
06M463,High School for Media and Communications,Asian,9
06M467,High School for Law and Public Service,Asian,3
06M468,High School for Health Careers and Sciences,Asian,8
06M540,A. Philip Randolph Campus High School,Asian,66
06M552,Gregorio Luperon High School for Science and Mathe,Asian,0
07X221,South Bronx Preparatory: A College Board School,Asian,11
07X223,M.S. 223 The Laboratory School of Finance and Tech,Asian,0
07X259,"H.E.R.O. High (Health, Education, and Research Occ",Asian,5
07X334,International Community High School,Asian,30
07X427,Community School for Social Justice,Asian,5
07X473,Mott Haven Village Preparatory High School,Asian,1
07X495,University Heights Secondary School,Asian,15
07X500,Hostos-Lincoln Academy of Science,Asian,21
07X520,Foreign Language Academy of Global Studies,Asian,4
07X522,Bronx Design and Construction Academy,Asian,8
07X527,Bronx Leadership Academy II High School,Asian,11
07X547,New Explorers High School,Asian,2
07X548,Urban Assembly School for Careers in Sports,Asian,1
07X551,The Urban Assembly Bronx Academy of Letters,Asian,5
07X600,Alfred E. Smith Career and Technical Education Hig,Asian,4
07X655,Samuel Gompers Career and Technical Education High,Asian,0
07X670,Health Opportunities High School,Asian,17
08X269,Bronx Studio School for Writers and Artists,Asian,7
08X282,Women's Academy of Excellence,Asian,12
08X293,Renaissance High School for Musical Theater & Tech,Asian,14
08X295,Gateway School for Environmental Research and Tech,Asian,1
08X305,Pablo Neruda Academy,Asian,14
08X312,Millennium Art Academy,Asian,11
08X320,Pelham Lab High School,Asian,16
08X332,Holcombe L. Rucker School of Community Research,Asian,1
08X348,Schuylerville Preparatory High School,Asian,7
08X349,Bronx River High School,Asian,6
08X367,"Archimedes Academy for Math, Science and Technolog",Asian,35
08X376,Antonia Pantoja Preparatory Academy: A College Boa,Asian,28
08X405,Herbert H. Lehman High School,Asian,141
08X432,BRONX BRIDGES HIGH SCHOOL,Asian,26
08X452,Bronx Guild,Asian,13
08X519,Felisa Rincon de Gautier Institute for Law and Pub,Asian,6
08X530,Banana Kelly High School,Asian,0
08X558,Westchester Square Academy,Asian,18
08X559,School for Tourism and Hospitality,Asian,3
08X561,Bronx Compass High School,Asian,8
08X650,Jane Addams High School for Academic Careers,Asian,0
09X227,Bronx Collegiate Academy,Asian,4
09X231,Eagle Academy for Young Men,Asian,2
09X241,Urban Assembly School for Applied Math and Science,Asian,9
09X250,Eximius College Preparatory Academy: A College Boa,Asian,5
09X252,Mott Hall Bronx High School,Asian,5
09X260,Bronx Center for Science and Mathematics,Asian,29
09X263,Validus Preparatory Academy: An Expeditionary Lear,Asian,6
09X276,Leadership Institute,Asian,0
09X297,Morris Academy for Collaborative Studies,Asian,4
09X324,Bronx Early College Academy for Teaching & Learnin,Asian,18
09X327,Comprehensive Model School Project M.S. 327,Asian,0
09X329,DreamYard Preparatory School,Asian,5
09X365,Academy for Language and Technology,Asian,0
09X403,Bronx International High School,Asian,14
09X404,School for Excellence,Asian,3
09X412,Bronx High School of Business,Asian,5
09X413,Bronx High School for Medical Science,Asian,34
09X414,Jonathan Levin High School for Media and Communica,Asian,2
09X505,"Bronx School for Law, Government and Justice",Asian,17
09X517,Frederick Douglass Academy III Secondary School,Asian,3
09X525,Bronx Leadership Academy High School,Asian,3
09X543,High School for Violin and Dance,Asian,2
09X564,Claremont International HS,Asian,12
10X141,Riverdale / Kingsbridge Academy (Middle School / H,Asian,106
10X213,Bronx Engineering and Technology Academy,Asian,28
10X225,Theatre Arts Production Company School,Asian,8
10X237,"The Marie Curie School for Medicine, Nursing, and",Asian,16
10X243,West Bronx Academy for the Future,Asian,16
10X264,Bronx Academy for Software Engineering (BASE),Asian,17
10X268,Kingsbridge International High School,Asian,30
10X284,Bronx School of Law and Finance,Asian,9
10X342,International School for Liberal Arts,Asian,0
10X351,Bronx Collaborative High School,Asian,3
10X353,World View High School,Asian,2
10X368,In-Tech Academy (M.S. / High School 368),Asian,29
10X374,Knowledge and Power Preparatory Academy Internatio,Asian,12
10X433,High School for Teaching and the Professions,Asian,9
10X434,Belmont Preparatory High School,Asian,9
10X437,Fordham High School for the Arts,Asian,4
10X438,Fordham Leadership Academy for Business and Techno,Asian,8
10X439,Bronx High School for Law and Community Service,Asian,5
10X440,DeWitt Clinton High School,Asian,181
10X442,"Celia Cruz Bronx High School of Music, The",Asian,6
10X445,Bronx High School of Science,Asian,1893
10X477,Marble Hill High School for International Studies,Asian,40
10X524,Crotona International High School,Asian,6
10X546,Bronx Theatre High School,Asian,2
10X549,Discovery High School,Asian,13
10X565,High School for Energy and Technology,Asian,4
10X660,Grace Dodge Career and Technical Education High Sc,Asian,4
10X696,High School of American Studies at Lehman College,Asian,87
11X249,Bronx Health Sciences High School,Asian,28
11X253,Bronx High School for Writing and Communication Ar,Asian,13
11X265,Bronx Lab School,Asian,17
11X270,Academy for Scholarship and Entrepreneurship: A Co,Asian,12
11X275,High School of Computers and Technology,Asian,28
11X288,Collegiate Institute for Math and Science,Asian,80
11X290,Bronx Academy of Health Careers,Asian,22
11X299,Astor Collegiate Academy,Asian,31
11X418,Bronx High School for the Visual Arts,Asian,18
11X455,Harry S Truman High School,Asian,49
11X508,Bronxdale High School,Asian,13
11X509,High School of Language and Innovation,Asian,59
11X513,New World High School,Asian,56
11X514,The Bronxwood Preparatory Academy,Asian,14
11X542,Pelham Preparatory Academy,Asian,27
11X544,High School for Contemporary Arts,Asian,4
11X545,Bronx Aerospace High School,Asian,10
12X242,Mott Hall V,Asian,28
12X248,"Metropolitan High School, The",Asian,3
12X251,Explorations Academy,Asian,3
12X267,Bronx Latin,Asian,9
12X271,East Bronx Academy for the Future,Asian,19
12X278,Peace and Diversity Academy,Asian,1
12X372,Urban Assembly School for Wildlife Conservation,Asian,13
12X388,Pan American International High School at Monroe,Asian,0
12X478,THE CINEMA SCHOOL,Asian,13
12X479,Bronx Career and College Preparatory High School,Asian,3
12X511,Bronx Envision Academy,Asian,7
12X521,The Metropolitan Soundview High School,Asian,11
12X550,High School of World Cultures,Asian,33
12X682,Fannie Lou Hamer Freedom High School,Asian,2
12X684,Wings Academy,Asian,4
12X692,Monroe Academy for Visual Arts & Design,Asian,5
13K265,Dr. Susan S. McKinney Secondary School of the Arts,Asian,3
13K350,Urban Assembly High School of Music and Art,Asian,2
13K412,"Brooklyn Community High School of Communication, A",Asian,5
13K419,"Science Skills Center High School for Science, Tec",Asian,36
13K430,Brooklyn Technical High School,Asian,3295
13K439,Brooklyn International High School,Asian,144
13K483,The Urban Assembly School for Law and Justice,Asian,9
13K499,ACORN Community High School,Asian,5
13K527,Urban Assembly Institute of Math and Science for Y,Asian,16
13K595,Bedford Academy High School,Asian,11
13K605,George Westinghouse Career and Technical Education,Asian,16
13K670,Benjamin Banneker Academy,Asian,31
13K674,"City Polytechnic High School of Engineering, Archi",Asian,30
14K071,Juan Morel Campos Secondary School,Asian,2
14K322,Foundations Academy,Asian,2
14K449,"Brooklyn Latin School, The",Asian,244
14K454,Green School: An Academy for Environmental Careers,Asian,2
14K474,PROGRESS High School for Professional Careers,Asian,11
14K477,School for Legal Studies,Asian,6
14K478,"The High School for Enterprise, Business and Techn",Asian,40
14K488,Brooklyn Preparatory High School,Asian,12
14K558,Williamsburg High School for Architecture and Desi,Asian,14
14K561,Williamsburg Preparatory School,Asian,18
14K586,Lyons Community School,Asian,9
14K610,Automotive High School,Asian,6
14K614,Young Women's Leadership School of Brooklyn,Asian,13
14K632,Frances Perkins Academy,Asian,1
14K685,El Puente Academy for Peace and Justice,Asian,0
15K429,Brooklyn School for Global Studies,Asian,6
15K448,Brooklyn Secondary School for Collaborative Studie,Asian,40
15K462,Secondary School for Law,Asian,7
15K463,Secondary School for Journalism,Asian,21
15K464,Park Slope Collegiate,Asian,33
15K497,School for International Studies,Asian,20
15K519,Cobble Hill School of American Studies,Asian,27
15K592,Khalil Gibran International Academy,Asian,27
15K656,Brooklyn High School of the Arts,Asian,15
15K667,Sunset Park High School,Asian,97
15K684,Millennium Brooklyn HS,Asian,54
16K393,Frederick Douglass Academy IV Secondary School,Asian,1
16K455,Boys and Girls High School,Asian,6
16K498,Brooklyn High School for Law and Technology,Asian,15
16K594,Gotham Professional Arts Academy,Asian,2
16K688,The Brooklyn Academy of Global Finance,Asian,9
16K765,Nelson Mandela High School,Asian,0
17K122,Pathways in Technology Early College High School (,Asian,13
17K382,Academy for College Preparation and Career Explora,Asian,9
17K408,Academy of Hospitality and Tourism,Asian,10
17K524,International High School at Prospect Heights,Asian,76
17K528,The High School for Global Citizenship,Asian,4
17K531,"School for Human Rights, The",Asian,6
17K533,School for Democracy and  Leadership,Asian,3
17K537,High School for Youth and Community Development at,Asian,9
17K539,High School for Service & Learning at Erasmus,Asian,12
17K543,"Science, Technology and Research Early College Hig",Asian,21
17K544,International Arts Business School,Asian,1
17K546,High School for Public Service: Heroes  of Tomorro,Asian,24
17K547,Brooklyn Academy of Science and the Environment,Asian,24
17K548,Brooklyn School for Music & Theatre,Asian,3
17K590,Medgar Evers College Preparatory School,Asian,37
17K600,Clara Barton High School,Asian,27
17K745,Brooklyn Institute for Liberal Arts,Asian,4
17K751,Academy for Health Careers,Asian,6
18K563,It Takes a Village Academy,Asian,3
18K566,Brooklyn Generation School,Asian,5
18K567,Brooklyn Theatre Arts High School,Asian,2
18K569,Kurt Hahn Expeditionary Learning School,Asian,4
18K576,Victory Collegiate High School,Asian,3
18K589,Arts & Media Preparatory Academy,Asian,3
18K617,High School for Innovation in Advertising and Medi,Asian,4
18K629,Cultural Academy for the Arts and Sciences,Asian,2
18K633,High School for Medical Professions,Asian,12
18K637,Academy for Conservation and the Environment,Asian,5
18K642,Urban Action Academy,Asian,9
19K404,Academy for Young Writers,Asian,8
19K409,East New York Family Academy,Asian,11
19K502,FDNY High School for Fire and Life Safety,Asian,4
19K504,High School for Civil Rights,Asian,1
19K507,Performing Arts and Technology High School,Asian,1
19K510,World Academy for Total Community Health High Scho,Asian,7
19K583,Multicultural High School,Asian,0
19K615,Transit Tech Career and Technical Education High S,Asian,67
19K618,Academy of Innovative Technology,Asian,22
19K639,Brooklyn Lab School,Asian,18
19K659,Cypress Hills Collegiate Preparatory School,Asian,15
19K660,W. H. Maxwell Career and Technical Education High,Asian,5
19K683,"The School for Classics: An Academy of Thinkers, W",Asian,24
19K764,The Urban Assembly School for Collaborative Health,Asian,7
20K445,New Utrecht High School,Asian,1343
20K485,High School of  Telecommunication Arts and Technol,Asian,239
20K490,Fort Hamilton High School,Asian,1316
20K505,Franklin Delano Roosevelt High School,Asian,1291
20K609,Urban Assembly School for Criminal Justice,Asian,231
21K337,International High School at Lafayette,Asian,147
21K344,Rachel Carson High School for Coastal Studies,Asian,57
21K348,High School of Sports Management,Asian,11
21K410,Abraham Lincoln High School,Asian,353
21K468,Kingsborough Early College School,Asian,37
21K525,Edward R. Murrow High School,Asian,1055
21K540,John Dewey High School,Asian,718
21K559,Life Academy High School for Film and Music,Asian,20
21K572,Expeditionary Learning School for Community Leader,Asian,42
21K620,William E. Grady Career and Technical Education Hi,Asian,33
21K690,Brooklyn Studio Secondary School,Asian,146
22K405,Midwood High School,Asian,1276
22K425,James Madison High School,Asian,655
22K495,Sheepshead Bay High School,Asian,83
22K535,Leon M. Goldstein High School for the Sciences,Asian,202
22K555,Brooklyn College Academy,Asian,48
22K611,Origins High School,Asian,27
23K493,Brooklyn Collegiate: A College Board School,Asian,5
23K514,Frederick Douglass Academy VII High School,Asian,0
23K644,Eagle Academy for Young Men II,Asian,0
23K697,Teachers Preparatory High School,Asian,1
24Q236,International High School for Health Sciences,Asian,34
