Name,Sub,Score
"Mathematics, Science Research and Technology Magne",Math,380
"Math, Engineering, and Science Academy Charter Hig",Math,NA
Maspeth High School,Math,476
Martin Van Buren High School,Math,397
Marta Valle High School,Math,438
Marble Hill High School for International Studies,Math,451
Manhattan Village Academy,Math,522
Manhattan Theatre Lab High School,Math,362
Manhattan International High School,Math,438
Manhattan Early College School for Advertising,Math,NA
Manhattan Center for Science and Mathematics,Math,556
MANHATTAN BUSINESS ACADEMY,Math,410
Manhattan Bridges High School,Math,409
MANHATTAN ACADEMY FOR ARTS & LANGUAGE,Math,350
Manhattan / Hunter Science High School,Math,581
M.S. 223 The Laboratory School of Finance and Tech,Math,NA
Lyons Community School,Math,374
Lower Manhattan Arts Academy,Math,418
Long Island City High School,Math,430
Life Sciences Secondary School,Math,435
Life Academy High School for Film and Music,Math,369
Leon M. Goldstein High School for the Sciences,Math,563
Legacy School for Integrated Studies,Math,NA
Leadership Institute,Math,NA
Leadership and Public Service High School,Math,390
"Law, Government and Community Service High School",Math,387
Landmark High School,Math,386
Kurt Hahn Expeditionary Learning School,Math,378
Knowledge and Power Preparatory Academy Internatio,Math,408
KIPP STAR College Prep Charter School,Math,455
KIPP Infinity Charter School,Math,489
KIPP AMP Charter School,Math,452
KIPP Academy Charter School,Math,516
Kingsbridge International High School,Math,366
Kingsborough Early College School,Math,474
Kings Collegiate Charter School,Math,NA
Khalil Gibran International Academy,Math,NA
Juan Morel Campos Secondary School,Math,366
Jonathan Levin High School for Media and Communica,Math,347
John W. Lavelle Preparatory Charter School,Math,NA
John Dewey High School,Math,512
John Bowne High School,Math,467
John Adams High School,Math,418
Jane Addams High School for Academic Careers,Math,342
James Madison High School,Math,492
Jamaica Gateway to the Sciences,Math,487
Jacqueline Kennedy Onassis High School,Math,418
J.H.S. 157 Stephen A. Halsey,Math,NA
It Takes a Village Academy,Math,364
Inwood Early College for Health and Information Te,Math,NA
International School for Liberal Arts,Math,390
International Leadership Charter High School,Math,413
International High School for Health Sciences,Math,NA
International High School at Union Square,Math,403
International High School at Prospect Heights,Math,344
International High School at LaGuardia Community C,Math,425
International High School at Lafayette,Math,424
International Community High School,Math,345
International Arts Business School,Math,NA
In-Tech Academy (M.S. / High School 368),Math,426
Institute for Health Professions at Cambria Height,Math,NA
Institute for Collaborative Education,Math,501
Information Technology High School,Math,443
Hyde Leadership Charter School,Math,428
Humanities & Arts Magnet High School,Math,384
Hudson High School of Learning Technologies,Math,378
Hostos-Lincoln Academy of Science,Math,463
Holcombe L. Rucker School of Community Research,Math,376
Hillside Arts & Letters Academy,Math,409
Hillcrest High School,Math,448
High School of World Cultures,Math,356
High School of Sports Management,Math,367
High School of Language and Innovation,Math,356
High School of Hospitality Management,Math,451
High School of Graphic Communication Arts,Math,405
High School of Economics and Finance,Math,469
High School of Computers and Technology,Math,396
High School of Arts and Technology,Math,421
High School of Applied Communication,Math,435
High School of American Studies at Lehman College,Math,669
High School of  Telecommunication Arts and Technol,Math,475
High School for Youth and Community Development at,Math,360
High School for Violin and Dance,Math,363
High School for Teaching and the Professions,Math,372
High School for Service & Learning at Erasmus,Math,377
High School for Public Service: Heroes  of Tomorro,Math,468
High School for Medical Professions,Math,404
High School for Media and Communications,Math,378
"High School for Mathematics, Science and Engineeri",Math,683
"High School for Law, Advocacy and Community Justic",Math,415
High School for Law Enforcement and Public Safety,Math,410
High School for Law and Public Service,Math,401
High School for Innovation in Advertising and Medi,Math,390
High School for Health Professions and Human Servi,Math,452
High School for Health Careers and Sciences,Math,374
High School for Environmental Studies,Math,469
High School for Energy and Technology,Math,NA
High School for Dual Language and Asian Studies,Math,613
High School for Contemporary Arts,Math,367
"High School for Construction Trades, Engineering a",Math,489
High School for Community Leadership,Math,415
High School for Civil Rights,Math,391
"High School for Arts, Imagination and Inquiry",Math,375
High School for Arts and Business,Math,413
"Heritage School, The",Math,385
Herbert H. Lehman High School,Math,426
Henry Street School for International Studies,Math,410
Health Opportunities High School,Math,374
Harvest Collegiate High School,Math,NA
Harry S Truman High School,Math,400
Harlem Village Academy Leadership Charter School,Math,480
Harlem Village Academy Charter School,Math,487
Harlem Children's Zone Promise Academy II Charter,Math,NA
Harlem Children's Zone Promise Academy 1 Charter S,Math,NA
