Name,Sub,Score
In-Tech Academy (M.S. / High School 368),Writing,404
Institute for Health Professions at Cambria Height,Writing,NA
Institute for Collaborative Education,Writing,541
Information Technology High School,Writing,411
Hyde Leadership Charter School,Writing,422
Humanities & Arts Magnet High School,Writing,401
Hudson High School of Learning Technologies,Writing,388
Hostos-Lincoln Academy of Science,Writing,435
Holcombe L. Rucker School of Community Research,Writing,369
Hillside Arts & Letters Academy,Writing,404
Hillcrest High School,Writing,426
High School of World Cultures,Writing,347
High School of Sports Management,Writing,361
High School of Language and Innovation,Writing,320
High School of Hospitality Management,Writing,424
High School of Graphic Communication Arts,Writing,414
High School of Economics and Finance,Writing,447
High School of Computers and Technology,Writing,377
High School of Arts and Technology,Writing,406
High School of Applied Communication,Writing,441
High School of American Studies at Lehman College,Writing,672
High School of  Telecommunication Arts and Technol,Writing,445
High School for Youth and Community Development at,Writing,359
High School for Violin and Dance,Writing,396
High School for Teaching and the Professions,Writing,369
High School for Service & Learning at Erasmus,Writing,356
High School for Public Service: Heroes  of Tomorro,Writing,464
High School for Medical Professions,Writing,424
High School for Media and Communications,Writing,383
"High School for Mathematics, Science and Engineeri",Writing,596
"High School for Law, Advocacy and Community Justic",Writing,402
High School for Law Enforcement and Public Safety,Writing,409
High School for Law and Public Service,Writing,381
High School for Innovation in Advertising and Medi,Writing,397
High School for Health Professions and Human Servi,Writing,430
High School for Health Careers and Sciences,Writing,389
High School for Environmental Studies,Writing,444
High School for Energy and Technology,Writing,NA
High School for Dual Language and Asian Studies,Writing,463
High School for Contemporary Arts,Writing,361
"High School for Construction Trades, Engineering a",Writing,451
High School for Community Leadership,Writing,386
High School for Civil Rights,Writing,376
"High School for Arts, Imagination and Inquiry",Writing,380
High School for Arts and Business,Writing,393
"Heritage School, The",Writing,370
Herbert H. Lehman High School,Writing,407
Henry Street School for International Studies,Writing,381
Health Opportunities High School,Writing,382
Harvest Collegiate High School,Writing,NA
Harry S Truman High School,Writing,391
Harlem Village Academy Leadership Charter School,Writing,465
Harlem Village Academy Charter School,Writing,456
Harlem Children's Zone Promise Academy II Charter,Writing,NA
Harlem Children's Zone Promise Academy 1 Charter S,Writing,NA
"H.E.R.O. High (Health, Education, and Research Occ",Writing,NA
Grover Cleveland High School,Writing,416
Gregorio Luperon High School for Science and Mathe,Writing,352
Green School: An Academy for Environmental Careers,Writing,399
Gramercy Arts High School,Writing,455
Grace Dodge Career and Technical Education High Sc,Writing,346
Gotham Professional Arts Academy,Writing,386
George Westinghouse Career and Technical Education,Writing,400
George Washington Carver High School for the Scien,Writing,419
Gaynor McCown Expeditionary Learning School,Writing,454
Gateway School for Environmental Research and Tech,Writing,NA
Frederick Douglass Academy VII High School,Writing,394
Frederick Douglass Academy VI High School,Writing,407
Frederick Douglass Academy IV Secondary School,Writing,NA
Frederick Douglass Academy III Secondary School,Writing,386
Frederick Douglass Academy II Secondary School,Writing,373
Frederick Douglass Academy,Writing,450
Franklin Delano Roosevelt High School,Writing,407
Frank Sinatra School of the Arts High School,Writing,543
FRANK McCOURT HIGH SCHOOL,Writing,500
Francis Lewis High School,Writing,485
Frances Perkins Academy,Writing,400
Foundations Academy,Writing,NA
Fort Hamilton High School,Writing,451
Forest Hills High School,Writing,483
Foreign Language Academy of Global Studies,Writing,NA
Fordham Leadership Academy for Business and Techno,Writing,368
Fordham High School for the Arts,Writing,412
Food and Finance High School,Writing,421
Flushing International High School,Writing,323
Flushing High School,Writing,405
Fiorello H. LaGuardia High School of Music & Art a,Writing,597
Felisa Rincon de Gautier Institute for Law and Pub,Writing,413
FDNY High School for Fire and Life Safety,Writing,357
Fannie Lou Hamer Freedom High School,Writing,339
"Facing History School, The",Writing,371
Explorations Academy,Writing,365
Expeditionary Learning School for Community Leader,Writing,396
Eximius College Preparatory Academy: A College Boa,Writing,397
Excelsior Preparatory High School,Writing,400
Excellence Boys Charter School,Writing,NA
Essex Street Academy,Writing,387
ESPERANZA PREPARATORY ACADEMY,Writing,NA
Epic High School - South,Writing,NA
Epic High School - North,Writing,NA
Energy Tech High School,Writing,NA
Eleanor Roosevelt High School,Writing,631
El Puente Academy for Peace and Justice,Writing,379
Edward R. Murrow High School,Writing,472
EBC High School for Public Service - Bushwick,Writing,378
East-West School of International Studies,Writing,451
East Side Community School,Writing,445
East New York Family Academy,Writing,421
East Bronx Academy for the Future,Writing,408
Eagle Academy for Young Men III,Writing,NA
Eagle Academy for Young Men II,Writing,NA
Eagle Academy for Young Men,Writing,397
DreamYard Preparatory School,Writing,388
Dr. Susan S. McKinney Secondary School of the Arts,Writing,350
Dr. Richard Izquierdo Health and Science Charter S,Writing,NA
Discovery High School,Writing,395
DeWitt Clinton High School,Writing,433
Democracy Prep Harlem Charter School,Writing,NA
Democracy Prep Charter School,Writing,497
Cypress Hills Collegiate Preparatory School,Writing,362
Curtis High School,Writing,444
Cultural Academy for the Arts and Sciences,Writing,384
CSI High School for International Studies,Writing,464
Crotona International High School,Writing,NA
Coney Island Preparatory Public Charter School,Writing,NA
Comprehensive Model School Project M.S. 327,Writing,NA
Community School for Social Justice,Writing,362
Community Health Academy of the Heights,Writing,385
Columbia Secondary School,Writing,546
Collegiate Institute for Math and Science,Writing,458
Cobble Hill School of American Studies,Writing,402
Coalition School for Social Change,Writing,367
Claremont International HS,Writing,NA
Clara Barton High School,Writing,407
Civic Leadership Academy,Writing,418
"City Polytechnic High School of Engineering, Archi",Writing,427
City College Academy of the Arts,Writing,450
Choir Academy of Harlem,Writing,NA
Chelsea Career and Technical Education High School,Writing,400
Channel View School for Research,Writing,423
Central Park East High School,Writing,439
"Celia Cruz Bronx High School of Music, The",Writing,425
Cambria Heights Academy,Writing,411
"Business, Computer Applications & Entrepreneurship",Writing,364
Business Technology Early College High School,Writing,NA
BUSINESS OF SPORTS SCHOOL,Writing,371
Bushwick School for Social Justice,Writing,357
Bushwick Leaders High School for Academic Excellen,Writing,382
Brownsville Collegiate Charter School,Writing,NA
Brooklyn Theatre Arts High School,Writing,373
Brooklyn Technical High School,Writing,606
Brooklyn Studio Secondary School,Writing,434
Brooklyn Secondary School for Collaborative Studie,Writing,404
Brooklyn School for Music & Theatre,Writing,377
Brooklyn School for Global Studies,Writing,402
Brooklyn Prospect Charter School,Writing,NA
Brooklyn Preparatory High School,Writing,391
"Brooklyn Latin School, The",Writing,591
Brooklyn Lab School,Writing,370
Brooklyn International High School,Writing,333
Brooklyn Institute for Liberal Arts,Writing,NA
Brooklyn High School of the Arts,Writing,436
Brooklyn High School for Law and Technology,Writing,383
Brooklyn Generation School,Writing,403
Brooklyn East Collegiate Charter School,Writing,NA
"Brooklyn Community High School of Communication, A",Writing,380
Brooklyn Collegiate: A College Board School,Writing,399
Brooklyn College Academy,Writing,493
Brooklyn Academy of Science and the Environment,Writing,416
Bronxdale High School,Writing,436
Bronx Theatre High School,Writing,390
Bronx Studio School for Writers and Artists,Writing,403
Bronx School of Law and Finance,Writing,366
"Bronx School for Law, Government and Justice",Writing,415
Bronx River High School,Writing,NA
Bronx Preparatory Charter School,Writing,NA
Bronx Lighthouse Charter School,Writing,443
Bronx Leadership Academy II High School,Writing,361
Bronx Leadership Academy High School,Writing,374
Bronx Latin,Writing,363
Bronx Lab School,Writing,401
Bronx International High School,Writing,320
Bronx High School of Science,Writing,667
Bronx High School of Business,Writing,346
Bronx High School for Writing and Communication Ar,Writing,425
Bronx High School for the Visual Arts,Writing,404
Bronx High School for Medical Science,Writing,426
Bronx High School for Law and Community Service,Writing,386
Bronx Health Sciences High School,Writing,427
Bronx Guild,Writing,357
Bronx Envision Academy,Writing,366
Bronx Engineering and Technology Academy,Writing,391
Bronx Early College Academy for Teaching & Learnin,Writing,409
Bronx Design and Construction Academy,Writing,NA
Bronx Compass High School,Writing,NA
Bronx Collegiate Academy,Writing,382
Bronx Collaborative High School,Writing,NA
Bronx Center for Science and Mathematics,Writing,485
Bronx Career and College Preparatory High School,Writing,381
BRONX BRIDGES HIGH SCHOOL,Writing,NA
Bronx Aerospace High School,Writing,393
Bronx Academy of Health Careers,Writing,391
Bronx Academy for Software Engineering (BASE),Writing,NA
Bread & Roses Integrated Arts High School,Writing,370
Boys and Girls High School,Writing,394
Benjamin N. Cardozo High School,Writing,510
Benjamin Franklin High School for Finance & Inform,Writing,NA
Benjamin Banneker Academy,Writing,472
Belmont Preparatory High School,Writing,402
Bedford Stuyvesant Collegiate -Uncommon Collegiate,Writing,NA
Bedford Academy High School,Writing,456
Beacon High School,Writing,595
Bayside High School,Writing,485
Baruch College Campus High School,Writing,531
Bard High School Early College Queens,Writing,610
Bard High School Early College,Writing,639
Banana Kelly High School,Writing,378
Baccalaureate School for Global Education,Writing,628
Aviation Career & Technical Education High School,Writing,456
Automotive High School,Writing,328
August Martin High School,Writing,364
Astor Collegiate Academy,Writing,409
Arts & Media Preparatory Academy,Writing,374
Art and Design High School,Writing,458
"Archimedes Academy for Math, Science and Technolog",Writing,403
Antonia Pantoja Preparatory Academy: A College Boa,Writing,423
All City Leadership Secondary School,Writing,448
Alfred E. Smith Career and Technical Education Hig,Writing,371
ACORN Community High School,Writing,385
Achievement First Endeavor Charter School,Writing,452
Achievement First East New York Charter School,Writing,NA
Achievement First Crown Heights Charter School,Writing,431
Achievement First Bushwick Charter School,Writing,478
Academy of Urban Planning,Writing,379
Academy of Medical Technology: A College Board Sch,Writing,415
Academy of Innovative Technology,Writing,359
Academy of Hospitality and Tourism,Writing,375
Academy of Finance and  Enterprise,Writing,459
Academy of American Studies,Writing,479
Academy for Young Writers,Writing,391
Academy for Software Engineering,Writing,NA
Academy for Social Action: A College Board School,Writing,365
Academy for Scholarship and Entrepreneurship: A Co,Writing,400
Academy for Language and Technology,Writing,348
Academy for Health Careers,Writing,396
Academy for Environmental Leadership,Writing,348
Academy for Conservation and the Environment,Writing,390
Academy for College Preparation and Career Explora,Writing,393
Academy for Careers in Television and Film,Writing,444
Abraham Lincoln High School,Writing,422
A. Philip Randolph Campus High School,Writing,447
47 The American Sign Language and English Secondar,Writing,NA
"Young Women's Leadership School, Queens",Reading,420
"Young Women's Leadership School, Astoria",Reading,464
Young Women's Leadership School of Brooklyn,Reading,NA
Young Women's Leadership School,Reading,465
York Early College Academy,Reading,481
World View High School,Reading,NA
World Journalism Preparatory: A College Board Scho,Reading,491
World Academy for Total Community Health High Scho,Reading,389
Women's Academy of Excellence,Reading,390
Wings Academy,Reading,372
Williamsburg Preparatory School,Reading,440
Williamsburg High School for Architecture and Desi,Reading,424
Williamsburg Collegiate Charter School,Reading,NA
Williamsburg Charter High School,Reading,408
William E. Grady Career and Technical Education Hi,Reading,423
William Cullen Bryant High School,Reading,424
Westchester Square Academy,Reading,NA
West Bronx Academy for the Future,Reading,383
Washington Irving High School,Reading,423
Washington Heights Expeditionary Learning School,Reading,423
Wadleigh Secondary School for the Performing & Vis,Reading,401
W. H. Maxwell Career and Technical Education High,Reading,333
Victory Collegiate High School,Reading,408
Veritas Academy,Reading,NA
Vanguard High School,Reading,409
Validus Preparatory Academy: An Expeditionary Lear,Reading,375
"Urban Assembly School of Design and Construction,",Reading,417
"Urban Assembly School of Business for Young Women,",Reading,420
Urban Assembly School for Wildlife Conservation,Reading,397
Urban Assembly School for the Performing Arts,Reading,399
"Urban Assembly School for Media Studies, The",Reading,419
Urban Assembly School for Criminal Justice,Reading,413
Urban Assembly School for Careers in Sports,Reading,405
Urban Assembly School for Applied Math and Science,Reading,418
Urban Assembly New York Harbor School,Reading,453
Urban Assembly Maker Academy,Reading,NA
Urban Assembly Institute of Math and Science for Y,Reading,415
Urban Assembly High School of Music and Art,Reading,372
Urban Assembly Gateway School for Technology,Reading,432
"Urban Assembly Academy of Government and Law, The",Reading,395
Urban Action Academy,Reading,396
University Prep Charter High School,Reading,431
University Neighborhood High School,Reading,355
University Heights Secondary School,Reading,446
Unity Center for Urban Technologies,Reading,385
Union Square Academy for Health Sciences,Reading,NA
Transit Tech Career and Technical Education High S,Reading,387
Townsend Harris High School,Reading,640
Tottenville High School,Reading,476
Thurgood Marshall Academy for Learning and Social,Reading,394
Thomas A. Edison Career and Technical Education Hi,Reading,473
Theatre Arts Production Company School,Reading,421
The Urban Assembly School for Law and Justice,Reading,443
The Urban Assembly School for Green Careers,Reading,371
The Urban Assembly School for Global Commerce,Reading,NA
The Urban Assembly School for Emergency Management,Reading,NA
The Urban Assembly School for Collaborative Health,Reading,NA
The Urban Assembly Bronx Academy of Letters,Reading,400
The Uft Charter School,Reading,374
"The School for Classics: An Academy of Thinkers, W",Reading,391
The Opportunity Charter School,Reading,382
The Michael J. Petrides School,Reading,473
The Metropolitan Soundview High School,Reading,428
"The Marie Curie School for Medicine, Nursing, and",Reading,420
The High School of Fashion Industries,Reading,442
THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,Reading,433
The High School for Global Citizenship,Reading,386
"The High School for Enterprise, Business and Techn",Reading,446
The Global Learning Collaborative,Reading,407
The Equality Charter School,Reading,NA
The College Academy,Reading,377
THE CINEMA SCHOOL,Reading,449
The Brooklyn School for Math and Research,Reading,NA
The Brooklyn Academy of Global Finance,Reading,382
The Bronxwood Preparatory Academy,Reading,408
Teachers Preparatory High School,Reading,399
Talent Unlimited High School,Reading,498
Susan E. Wagner High School,Reading,490
Sunset Park High School,Reading,380
Summit Academy Charter School,Reading,NA
Stuyvesant High School,Reading,697
Stephen T. Mather Building Arts & Craftsmanship Hi,Reading,NA
Staten Island Technical High School,Reading,660
Special Music School,Reading,NA
South Bronx Preparatory: A College Board School,Reading,414
Sheepshead Bay High School,Reading,382
Secondary School for Law,Reading,424
Secondary School for Journalism,Reading,435
"Science, Technology and Research Early College Hig",Reading,491
"Science Skills Center High School for Science, Tec",Reading,397
Schuylerville Preparatory High School,Reading,NA
School of the Future High School,Reading,533
School for Tourism and Hospitality,Reading,NA
School for Legal Studies,Reading,390
School for International Studies,Reading,406
"School for Human Rights, The",Reading,411
School for Excellence,Reading,385
School for Democracy and  Leadership,Reading,385
Scholars' Academy,Reading,560
Samuel Gompers Career and Technical Education High,Reading,NA
Rockaway Park High School for Environmental Sustai,Reading,381
Rockaway Collegiate High School,Reading,403
Robert H. Goddard High School of Communication Art,Reading,435
"Robert F. Wagner, Jr. Secondary School for Arts an",Reading,445
Robert F. Kennedy Community High School,Reading,426
Riverdale / Kingsbridge Academy (Middle School / H,Reading,485
Richmond Hill High School,Reading,406
Richard R. Green High School of Teaching,Reading,415
Repertory Company High School for Theatre Arts,Reading,451
Renaissance High School for Musical Theater & Tech,Reading,411
Renaissance Charter School,Reading,452
Renaissance Charter High School for Innovation,Reading,393
Ralph R. McKee Career and Technical Education High,Reading,429
Rachel Carson High School for Coastal Studies,Reading,430
Quest to Learn,Reading,NA
Queens Vocational and Technical High School,Reading,436
"Queens School of Inquiry, The",Reading,493
Queens Preparatory Academy,Reading,422
QUEENS METROPOLITAN HIGH SCHOOL,Reading,448
"Queens High School of Teaching, Liberal Arts and t",Reading,434
Queens High School for the Sciences at York Colleg,Reading,621
Queens High School for Language Studies,Reading,NA
"Queens High School for Information, Research, and",Reading,362
Queens Gateway to Health Sciences Secondary School,Reading,511
Queens Collegiate: A College Board School,Reading,439
PROGRESS High School for Professional Careers,Reading,377
Professional Performing Arts High School,Reading,520
Preparatory Academy for Writers: A College Board S,Reading,410
Port Richmond High School,Reading,427
Performing Arts and Technology High School,Reading,393
Pelham Preparatory Academy,Reading,433
Pelham Lab High School,Reading,NA
Peace and Diversity Academy,Reading,362
Pathways in Technology Early College High School (,Reading,442
Pathways College Preparatory School: A College Boa,Reading,427
Park Slope Collegiate,Reading,377
Park East High School,Reading,433
Pan American International High School at Monroe,Reading,315
Pan American International High School,Reading,320
Pace High School,Reading,435
Pablo Neruda Academy,Reading,384
Origins High School,Reading,NA
Ocean Hill Collegiate Charter School,Reading,NA
NYC iSchool,Reading,515
"NYC Charter High School for Architecture, Engineer",Reading,397
Northside Charter High School,Reading,411
Newtown High School,Reading,401
Newcomers High School,Reading,374
New World High School,Reading,363
New Visions Charter High School for the Humanities,Reading,388
New Visions Charter High School for Advanced Math,Reading,412
New Utrecht High School,Reading,422
New Heights Academy Charter School,Reading,415
New Explorers High School,Reading,398
"New Explorations into Science, Technology and Math",Reading,601
New Dorp High School,Reading,446
New Design High School,Reading,396
Nelson Mandela High School,Reading,NA
N.Y.C. Museum School,Reading,530
N.Y.C. Lab School for Collaborative Studies,Reading,550
Murry Bergtraum High School for Business Careers,Reading,415
Multicultural High School,Reading,323
Mott Haven Village Preparatory High School,Reading,373
Mott Hall V,Reading,422
Mott Hall High School,Reading,445
Mott Hall Bronx High School,Reading,399
Morris Academy for Collaborative Studies,Reading,389
Monroe Academy for Visual Arts & Design,Reading,354
Millennium High School,Reading,560
Millennium Brooklyn HS,Reading,551
Millennium Art Academy,Reading,413
Midwood High School,Reading,514
Middle College High School at LaGuardia Community,Reading,389
"Metropolitan High School, The",Reading,388
Metropolitan Expeditionary Learning School,Reading,NA
Medgar Evers College Preparatory School,Reading,500
"Mathematics, Science Research and Technology Magne",Reading,418
"Math, Engineering, and Science Academy Charter Hig",Reading,NA
Maspeth High School,Reading,471
Martin Van Buren High School,Reading,396
Marta Valle High School,Reading,413
Marble Hill High School for International Studies,Reading,417
Manhattan Village Academy,Reading,479
Manhattan Theatre Lab High School,Reading,376
Manhattan International High School,Reading,358
Manhattan Early College School for Advertising,Reading,NA
Manhattan Center for Science and Mathematics,Reading,505
MANHATTAN BUSINESS ACADEMY,Reading,407
Manhattan Bridges High School,Reading,360
MANHATTAN ACADEMY FOR ARTS & LANGUAGE,Reading,334
Manhattan / Hunter Science High School,Reading,531
M.S. 223 The Laboratory School of Finance and Tech,Reading,NA
Lyons Community School,Reading,376
Lower Manhattan Arts Academy,Reading,428
Long Island City High School,Reading,423
Life Sciences Secondary School,Reading,440
Life Academy High School for Film and Music,Reading,379
Leon M. Goldstein High School for the Sciences,Reading,534
Legacy School for Integrated Studies,Reading,NA
Leadership Institute,Reading,NA
Leadership and Public Service High School,Reading,396
"Law, Government and Community Service High School",Reading,386
Landmark High School,Reading,386
Kurt Hahn Expeditionary Learning School,Reading,394
Knowledge and Power Preparatory Academy Internatio,Reading,417
KIPP STAR College Prep Charter School,Reading,418
KIPP Infinity Charter School,Reading,441
KIPP AMP Charter School,Reading,411
KIPP Academy Charter School,Reading,466
Kingsbridge International High School,Reading,311
Kingsborough Early College School,Reading,462
Kings Collegiate Charter School,Reading,NA
Khalil Gibran International Academy,Reading,NA
Juan Morel Campos Secondary School,Reading,356
Jonathan Levin High School for Media and Communica,Reading,344
John W. Lavelle Preparatory Charter School,Reading,NA
John Dewey High School,Reading,418
John Bowne High School,Reading,422
John Adams High School,Reading,401
Jane Addams High School for Academic Careers,Reading,360
James Madison High School,Reading,450
Jamaica Gateway to the Sciences,Reading,460
Jacqueline Kennedy Onassis High School,Reading,422
J.H.S. 157 Stephen A. Halsey,Reading,NA
It Takes a Village Academy,Reading,374
Inwood Early College for Health and Information Te,Reading,NA
International School for Liberal Arts,Reading,387
International Leadership Charter High School,Reading,421
International High School for Health Sciences,Reading,NA
International High School at Union Square,Reading,330
International High School at Prospect Heights,Reading,302
International High School at LaGuardia Community C,Reading,367
International High School at Lafayette,Reading,343
International Community High School,Reading,338
International Arts Business School,Reading,NA
In-Tech Academy (M.S. / High School 368),Reading,419
Institute for Health Professions at Cambria Height,Reading,NA
Institute for Collaborative Education,Reading,550
Information Technology High School,Reading,420
Hyde Leadership Charter School,Reading,424
Humanities & Arts Magnet High School,Reading,409
Hudson High School of Learning Technologies,Reading,407
Hostos-Lincoln Academy of Science,Reading,451
Holcombe L. Rucker School of Community Research,Reading,372
Hillside Arts & Letters Academy,Reading,399
Hillcrest High School,Reading,432
High School of World Cultures,Reading,359
High School of Sports Management,Reading,374
High School of Language and Innovation,Reading,340
High School of Hospitality Management,Reading,433
High School of Graphic Communication Arts,Reading,413
High School of Economics and Finance,Reading,442
High School of Computers and Technology,Reading,399
High School of Arts and Technology,Reading,428
High School of Applied Communication,Reading,437
High School of American Studies at Lehman College,Reading,672
High School of  Telecommunication Arts and Technol,Reading,440
High School for Youth and Community Development at,Reading,382
High School for Violin and Dance,Reading,401
High School for Teaching and the Professions,Reading,361
High School for Service & Learning at Erasmus,Reading,382
High School for Public Service: Heroes  of Tomorro,Reading,454
High School for Medical Professions,Reading,427
High School for Media and Communications,Reading,381
"High School for Mathematics, Science and Engineeri",Reading,610
"High School for Law, Advocacy and Community Justic",Reading,417
High School for Law Enforcement and Public Safety,Reading,431
High School for Law and Public Service,Reading,394
High School for Innovation in Advertising and Medi,Reading,410
High School for Health Professions and Human Servi,Reading,445
High School for Health Careers and Sciences,Reading,385
High School for Environmental Studies,Reading,454
High School for Energy and Technology,Reading,NA
High School for Dual Language and Asian Studies,Reading,453
High School for Contemporary Arts,Reading,381
"High School for Construction Trades, Engineering a",Reading,457
High School for Community Leadership,Reading,392
High School for Civil Rights,Reading,373
"High School for Arts, Imagination and Inquiry",Reading,389
High School for Arts and Business,Reading,405
"Heritage School, The",Reading,380
Herbert H. Lehman High School,Reading,419
Henry Street School for International Studies,Reading,406
Health Opportunities High School,Reading,386
Harvest Collegiate High School,Reading,NA
Harry S Truman High School,Reading,401
Harlem Village Academy Leadership Charter School,Reading,463
Harlem Village Academy Charter School,Reading,467
Harlem Children's Zone Promise Academy II Charter,Reading,NA
Harlem Children's Zone Promise Academy 1 Charter S,Reading,NA
"H.E.R.O. High (Health, Education, and Research Occ",Reading,NA
Grover Cleveland High School,Reading,422
Gregorio Luperon High School for Science and Mathe,Reading,355
Green School: An Academy for Environmental Careers,Reading,398
Gramercy Arts High School,Reading,459
Grace Dodge Career and Technical Education High Sc,Reading,366
Gotham Professional Arts Academy,Reading,396
George Westinghouse Career and Technical Education,Reading,422
George Washington Carver High School for the Scien,Reading,428
Gaynor McCown Expeditionary Learning School,Reading,458
Gateway School for Environmental Research and Tech,Reading,NA
Frederick Douglass Academy VII High School,Reading,407
Frederick Douglass Academy VI High School,Reading,418
Frederick Douglass Academy IV Secondary School,Reading,NA
Frederick Douglass Academy III Secondary School,Reading,386
Frederick Douglass Academy II Secondary School,Reading,384
Frederick Douglass Academy,Reading,452
Franklin Delano Roosevelt High School,Reading,411
Frank Sinatra School of the Arts High School,Reading,543
FRANK McCOURT HIGH SCHOOL,Reading,491
Francis Lewis High School,Reading,483
Frances Perkins Academy,Reading,413
Foundations Academy,Reading,NA
Fort Hamilton High School,Reading,456
Forest Hills High School,Reading,485
Foreign Language Academy of Global Studies,Reading,NA
Fordham Leadership Academy for Business and Techno,Reading,373
Fordham High School for the Arts,Reading,404
Food and Finance High School,Reading,435
Flushing International High School,Reading,323
Flushing High School,Reading,407
Fiorello H. LaGuardia High School of Music & Art a,Reading,592
Felisa Rincon de Gautier Institute for Law and Pub,Reading,408
FDNY High School for Fire and Life Safety,Reading,369
Fannie Lou Hamer Freedom High School,Reading,347
"Facing History School, The",Reading,356
Explorations Academy,Reading,372
Expeditionary Learning School for Community Leader,Reading,396
Eximius College Preparatory Academy: A College Boa,Reading,391
Excelsior Preparatory High School,Reading,407
Excellence Boys Charter School,Reading,NA
Essex Street Academy,Reading,411
ESPERANZA PREPARATORY ACADEMY,Reading,NA
Epic High School - South,Reading,NA
Epic High School - North,Reading,NA
Energy Tech High School,Reading,NA
Eleanor Roosevelt High School,Reading,617
El Puente Academy for Peace and Justice,Reading,380
Edward R. Murrow High School,Reading,479
EBC High School for Public Service - Bushwick,Reading,374
East-West School of International Studies,Reading,457
East Side Community School,Reading,428
East New York Family Academy,Reading,451
East Bronx Academy for the Future,Reading,406
Eagle Academy for Young Men III,Reading,NA
Eagle Academy for Young Men II,Reading,NA
Eagle Academy for Young Men,Reading,410
DreamYard Preparatory School,Reading,385
Dr. Susan S. McKinney Secondary School of the Arts,Reading,346
Dr. Richard Izquierdo Health and Science Charter S,Reading,NA
Discovery High School,Reading,396
DeWitt Clinton High School,Reading,436
Democracy Prep Harlem Charter School,Reading,NA
Democracy Prep Charter School,Reading,467
Cypress Hills Collegiate Preparatory School,Reading,370
Curtis High School,Reading,458
Cultural Academy for the Arts and Sciences,Reading,395
CSI High School for International Studies,Reading,468
Crotona International High School,Reading,NA
Coney Island Preparatory Public Charter School,Reading,NA
Comprehensive Model School Project M.S. 327,Reading,NA
Community School for Social Justice,Reading,382
Community Health Academy of the Heights,Reading,389
Columbia Secondary School,Reading,561
Collegiate Institute for Math and Science,Reading,461
Cobble Hill School of American Studies,Reading,420
Coalition School for Social Change,Reading,368
Claremont International HS,Reading,NA
Clara Barton High School,Reading,424
Civic Leadership Academy,Reading,424
"City Polytechnic High School of Engineering, Archi",Reading,477
City College Academy of the Arts,Reading,445
Choir Academy of Harlem,Reading,NA
Chelsea Career and Technical Education High School,Reading,418
Channel View School for Research,Reading,430
Central Park East High School,Reading,468
"Celia Cruz Bronx High School of Music, The",Reading,434
Cambria Heights Academy,Reading,424
"Business, Computer Applications & Entrepreneurship",Reading,402
Business Technology Early College High School,Reading,NA
BUSINESS OF SPORTS SCHOOL,Reading,386
Bushwick School for Social Justice,Reading,357
Bushwick Leaders High School for Academic Excellen,Reading,368
Brownsville Collegiate Charter School,Reading,NA
Brooklyn Theatre Arts High School,Reading,393
Brooklyn Technical High School,Reading,608
Brooklyn Studio Secondary School,Reading,434
Brooklyn Secondary School for Collaborative Studie,Reading,411
Brooklyn School for Music & Theatre,Reading,393
Brooklyn School for Global Studies,Reading,381
Brooklyn Prospect Charter School,Reading,NA
Brooklyn Preparatory High School,Reading,406
"Brooklyn Latin School, The",Reading,588
Brooklyn Lab School,Reading,376
Brooklyn International High School,Reading,334
Brooklyn Institute for Liberal Arts,Reading,NA
Brooklyn High School of the Arts,Reading,441
Brooklyn High School for Law and Technology,Reading,401
Brooklyn Generation School,Reading,406
Brooklyn East Collegiate Charter School,Reading,NA
"Brooklyn Community High School of Communication, A",Reading,386
Brooklyn Collegiate: A College Board School,Reading,395
Brooklyn College Academy,Reading,495
Brooklyn Academy of Science and the Environment,Reading,411
Bronxdale High School,Reading,432
Bronx Theatre High School,Reading,384
Bronx Studio School for Writers and Artists,Reading,412
Bronx School of Law and Finance,Reading,394
"Bronx School for Law, Government and Justice",Reading,409
Bronx River High School,Reading,NA
Bronx Preparatory Charter School,Reading,NA
Bronx Lighthouse Charter School,Reading,457
Bronx Leadership Academy II High School,Reading,355
Bronx Leadership Academy High School,Reading,372
Bronx Latin,Reading,381
Bronx Lab School,Reading,416
Bronx International High School,Reading,330
Bronx High School of Science,Reading,660
Bronx High School of Business,Reading,360
Bronx High School for Writing and Communication Ar,Reading,437
Bronx High School for the Visual Arts,Reading,428
Bronx High School for Medical Science,Reading,421
Bronx High School for Law and Community Service,Reading,402
Bronx Health Sciences High School,Reading,421
Bronx Guild,Reading,393
Bronx Envision Academy,Reading,385
Bronx Engineering and Technology Academy,Reading,406
Bronx Early College Academy for Teaching & Learnin,Reading,413
Bronx Design and Construction Academy,Reading,NA
Bronx Compass High School,Reading,NA
Bronx Collegiate Academy,Reading,401
Bronx Collaborative High School,Reading,NA
Bronx Center for Science and Mathematics,Reading,468
Bronx Career and College Preparatory High School,Reading,379
BRONX BRIDGES HIGH SCHOOL,Reading,NA
Bronx Aerospace High School,Reading,410
Bronx Academy of Health Careers,Reading,380
Bronx Academy for Software Engineering (BASE),Reading,NA
Bread & Roses Integrated Arts High School,Reading,375
Boys and Girls High School,Reading,392
Benjamin N. Cardozo High School,Reading,505
Benjamin Franklin High School for Finance & Inform,Reading,NA
Benjamin Banneker Academy,Reading,484
Belmont Preparatory High School,Reading,408
Bedford Stuyvesant Collegiate -Uncommon Collegiate,Reading,NA
Bedford Academy High School,Reading,464
