"","Ranking","School Name","Graduation Rate (%)","Post-secondary Enrolment Rate, 6 Months (%)","Averaged Score (%)"
"306",270,"Frederick Douglass Academy III Secondary School",67,44,56
"309",271,"Franklin Delano Roosevelt High School",63,50,56
"326",272,"Fannie Lou Hamer Freedom High School",66,47,56
"384",273,"Bushwick Leaders High School for Academic Excellen",65,46,56
"414",274,"Bronx Leadership Academy II High School",60,52,56
"484",275,"Academy for College Preparation and Career Explora",59,52,56
"10",276,"Women's Academy of Excellence",61,49,55
"202",277,"Leadership and Public Service High School",64,46,55
"364",278,"Community Health Academy of the Heights",63,47,55
"11",279,"Wings Academy",62,45,54
"39",280,"Urban Assembly High School of Music and Art",56,52,54
"76",281,"The Bronxwood Preparatory Academy",62,45,54
"114",282,"Ralph R. McKee Career and Technical Education High",63,46,54
"127",283,"PROGRESS High School for Professional Careers",68,40,54
"168",284,"Morris Academy for Collaborative Studies",65,42,54
"172",285,"Millennium Art Academy",61,46,54
"224",286,"Jacqueline Kennedy Onassis High School",63,46,54
"276",287,"High School for Contemporary Arts",60,49,54
"298",288,"Gotham Professional Arts Academy",57,52,54
"305",289,"Frederick Douglass Academy IV Secondary School",71,38,54
"437",290,"Bronx Aerospace High School",68,41,54
"479",291,"Academy for Scholarship and Entrepreneurship: A Co",70,38,54
"482",292,"Academy for Environmental Leadership",70,39,54
"55",293,"The Urban Assembly School for Green Careers",66,40,53
"403",294,"Brooklyn Collegiate: A College Board School",64,42,53
"9",295,"World Academy for Total Community Health High Scho",68,36,52
"27",296,"Validus Preparatory Academy: An Expeditionary Lear",62,42,52
"62",297,"The Opportunity Charter School",69,34,52
"89",298,"Secondary School for Journalism",64,41,52
"142",299,"Pablo Neruda Academy",59,45,52
"148",300,"Newtown High School",59,45,52
"175",301,"Metropolitan High School, The",65,38,52
"255",302,"High School of Arts and Technology",64,40,52
"287",303,"Harry S Truman High School",63,42,52
"325",304,"FDNY High School for Fire and Life Safety",74,30,52
"327",305,"Facing History School, The",67,38,52
"339",306,"El Puente Academy for Peace and Justice",66,38,52
"358",307,"Cultural Academy for the Arts and Sciences",61,43,52
"400",308,"Brooklyn Generation School",68,36,52
"409",309,"Bronx School of Law and Finance",64,39,52
"428",310,"Bronx Engineering and Technology Academy",70,35,52
"436",311,"BRONX BRIDGES HIGH SCHOOL",57,46,52
"462",312,"Antonia Pantoja Preparatory Academy: A College Boa",61,44,52
"140",313,"Pan American International High School",76,26,51
"204",314,"Landmark High School",52,50,51
"322",315,"Flushing High School",58,44,51
"415",316,"Bronx Leadership Academy High School",56,46,51
"464",317,"Alfred E. Smith Career and Technical Education Hig",70,32,51
"465",318,"ACORN Community High School",49,53,51
"42",319,"Urban Action Academy",60,39,50
"68",320,"The High School for Global Citizenship",59,40,50
"131",321,"Performing Arts and Technology High School",69,32,50
"260",322,"High School for Violin and Dance",66,33,50
"261",323,"High School for Teaching and the Professions",59,41,50
"285",324,"Health Opportunities High School",61,40,50
"293",325,"Grover Cleveland High School",62,37,50
"295",326,"Green School: An Academy for Environmental Careers",65,35,50
"341",327,"EBC High School for Public Service - Bushwick",63,38,50
"352",328,"Discovery High School",60,39,50
"363",329,"Community School for Social Justice",55,46,50
"391",330,"Brooklyn School for Global Studies",71,30,50
"473",331,"Academy of Hospitality and Tourism",63,38,50
"22",332,"Wadleigh Secondary School for the Performing & Vis",64,34,49
"220",333,"John Adams High School",62,36,49
"265",334,"High School for Media and Communications",55,43,49
"282",335,"Heritage School, The",60,38,49
"48",336,"Transit Tech Career and Technical Education High S",58,39,48
"124",337,"Queens High School for Information, Research, and",55,40,48
"181",338,"Martin Van Buren High School",55,42,48
"194",339,"Lyons Community School",65,31,48
"200",340,"Legacy School for Integrated Studies",65,30,48
"203",341,"Law, Government and Community Service High School",64,32,48
"248",342,"High School of World Cultures",56,41,48
"349",343,"DreamYard Preparatory School",61,34,48
"356",344,"Cypress Hills Collegiate Preparatory School",58,38,48
"374",345,"Choir Academy of Harlem",40,56,48
"488",346,"47 The American Sign Language and English Secondar",55,40,48
"72",347,"The College Academy",52,42,47
"99",348,"School for Democracy and  Leadership",54,40,47
"215",349,"Juan Morel Campos Secondary School",48,46,47
"303",350,"Frederick Douglass Academy VII High School",57,37,47
"87",351,"Sheepshead Bay High School",54,37,46
"98",352,"School for Excellence",61,30,46
"108",353,"Richmond Hill High School",55,36,46
"185",354,"Manhattan Theatre Lab High School",54,39,46
"245",355,"Holcombe L. Rucker School of Community Research",59,32,46
"328",356,"Explorations Academy",59,32,46
"350",357,"Dr. Susan S. McKinney Secondary School of the Arts",51,42,46
"395",358,"Brooklyn Lab School",54,38,46
"421",359,"Bronx High School for Writing and Communication Ar",51,40,46
"426",360,"Bronx Guild",57,34,46
"432",361,"Bronx Collegiate Academy",55,37,46
"461",362,"Archimedes Academy for Math, Science and Technolog",58,33,46
"113",363,"Renaissance Charter High School for Innovation",53,37,45
"284",364,"Henry Street School for International Studies",64,26,45
"422",365,"Bronx High School for the Visual Arts",52,38,45
"478",366,"Academy for Social Action: A College Board School",58,32,45
"16",367,"William E. Grady Career and Technical Education Hi",62,25,44
"163",368,"Multicultural High School",54,33,44
"191",369,"MANHATTAN ACADEMY FOR ARTS & LANGUAGE",54,35,44
"231",370,"International High School at Union Square",54,34,44
"279",371,"High School for Civil Rights",68,21,44
"75",372,"The Brooklyn Academy of Global Finance",62,24,43
"470",373,"Academy of Urban Planning",55,31,43
"23",374,"W. H. Maxwell Career and Technical Education High",58,27,42
"162",375,"Murry Bergtraum High School for Business Careers",48,37,42
"235",376,"International Community High School",57,28,42
"252",377,"High School of Graphic Communication Arts",46,37,42
"380",378,"Business, Computer Applications & Entrepreneurship",58,26,42
"20",379,"Washington Irving High School",51,31,41
"102",380,"Rockaway Park High School for Environmental Sustai",54,28,41
"155",381,"New Explorers High School",58,24,41
"164",382,"Mott Haven Village Preparatory High School",45,37,41
"169",383,"Monroe Academy for Visual Arts & Design",52,28,40
"221",384,"Jane Addams High School for Academic Careers",56,25,40
"317",385,"Foreign Language Academy of Global Studies",44,35,40
"353",386,"DeWitt Clinton High School",46,35,40
"182",387,"Marta Valle High School",48,30,39
"283",388,"Herbert H. Lehman High School",40,36,38
"304",389,"Frederick Douglass Academy VI High School",45,32,38
"420",390,"Bronx High School of Business",39,37,38
"435",391,"Bronx Career and College Preparatory High School",46,29,38
"441",392,"Boys and Girls High School",50,26,38
"459",393,"Arts & Media Preparatory Academy",48,29,38
"95",394,"School for Legal Studies",40,31,36
"318",395,"Fordham Leadership Academy for Business and Techno",49,22,36
"456",396,"Automotive High School",46,26,36
"302",397,"Gateway School for Environmental Research and Tech",36,32,34
"324",398,"Felisa Rincon de Gautier Institute for Law and Pub",46,23,34
"368",399,"Coalition School for Social Change",44,22,33
"453",400,"Banana Kelly High School",41,25,33
"101",401,"Samuel Gompers Career and Technical Education High",39,20,30
"297",402,"Grace Dodge Career and Technical Education High Sc",37,23,30
"216",403,"Jonathan Levin High School for Media and Communica",41,15,28
"440",404,"Bread & Roses Integrated Arts High School",36,19,28
"201",405,"Leadership Institute",28,26,27
"314",406,"Foundations Academy",32,16,24
"457",407,"August Martin High School",25,24,24
"134",408,"Peace and Diversity Academy",29,13,21
"4",409,"Young Women's Leadership School of Brooklyn",100,NA,NA
"7",410,"World View High School",NA,NA,NA
"18",411,"Westchester Square Academy",NA,NA,NA
"25",412,"Veritas Academy",NA,NA,NA
"37",413,"Urban Assembly Maker Academy",NA,NA,NA
"40",414,"Urban Assembly Gateway School for Technology",89,NA,NA
"47",415,"Union Square Academy for Health Sciences",NA,NA,NA
"56",416,"The Urban Assembly School for Global Commerce",NA,NA,NA
"57",417,"The Urban Assembly School for Emergency Management",NA,NA,NA
"58",418,"The Urban Assembly School for Collaborative Health",NA,NA,NA
"64",419,"The Metropolitan Soundview High School",76,NA,NA
"71",420,"The Equality Charter School",NA,NA,NA
"74",421,"The Brooklyn School for Math and Research",76,NA,NA
"81",422,"Summit Academy Charter School",NA,NA,NA
"83",423,"Stephen T. Mather Building Arts & Craftsmanship Hi",NA,NA,NA
"85",424,"Special Music School",NA,NA,NA
"92",425,"Schuylerville Preparatory High School",NA,NA,NA
"94",426,"School for Tourism and Hospitality",NA,NA,NA
"103",427,"Rockaway Collegiate High School",52,NA,NA
"116",428,"Quest to Learn",NA,NA,NA
"123",429,"Queens High School for Language Studies",NA,NA,NA
"133",430,"Pelham Lab High School",NA,NA,NA
"135",431,"Pathways in Technology Early College High School (",72,NA,NA
"143",432,"Origins High School",NA,NA,NA
"144",433,"Ocean Hill Collegiate Charter School",NA,NA,NA
"151",434,"New Visions Charter High School for the Humanities",72,NA,NA
"152",435,"New Visions Charter High School for Advanced Math",91,NA,NA
"159",436,"Nelson Mandela High School",NA,NA,NA
"171",437,"Millennium Brooklyn HS",95,NA,NA
"176",438,"Metropolitan Expeditionary Learning School",NA,NA,NA
"179",439,"Math, Engineering, and Science Academy Charter Hig",NA,NA,NA
"180",440,"Maspeth High School",97,NA,NA
"187",441,"Manhattan Early College School for Advertising",NA,NA,NA
"193",442,"M.S. 223 The Laboratory School of Finance and Tech",NA,NA,NA
"213",443,"Kings Collegiate Charter School",90,NA,NA
"214",444,"Khalil Gibran International Academy",NA,NA,NA
"217",445,"John W. Lavelle Preparatory Charter School",NA,NA,NA
"225",446,"J.H.S. 157 Stephen A. Halsey",NA,NA,NA
"227",447,"Inwood Early College for Health and Information Te",NA,NA,NA
"230",448,"International High School for Health Sciences",NA,NA,NA
"238",449,"Institute for Health Professions at Cambria Height",NA,NA,NA
"250",450,"High School of Language and Innovation",73,NA,NA
"274",451,"High School for Energy and Technology",NA,NA,NA
"286",452,"Harvest Collegiate High School",NA,NA,NA
"289",453,"Harlem Village Academy Charter School",100,NA,NA
"290",454,"Harlem Children's Zone Promise Academy II Charter",NA,NA,NA
"291",455,"Harlem Children's Zone Promise Academy 1 Charter S",NA,NA,NA
"292",456,"H.E.R.O. High (Health, Education, and Research Occ",NA,NA,NA
"332",457,"Excellence Boys Charter School",NA,NA,NA
"334",458,"ESPERANZA PREPARATORY ACADEMY",NA,NA,NA
"335",459,"Epic High School - South",NA,NA,NA
"336",460,"Epic High School - North",NA,NA,NA
"337",461,"Energy Tech High School",NA,NA,NA
"346",462,"Eagle Academy for Young Men III",NA,NA,NA
"347",463,"Eagle Academy for Young Men II",95,NA,NA
"351",464,"Dr. Richard Izquierdo Health and Science Charter S",NA,NA,NA
"354",465,"Democracy Prep Harlem Charter School",NA,NA,NA
"360",466,"Crotona International High School",45,NA,NA
"361",467,"Coney Island Preparatory Public Charter School",NA,NA,NA
"362",468,"Comprehensive Model School Project M.S. 327",NA,NA,NA
"369",469,"Claremont International HS",NA,NA,NA
"381",470,"Business Technology Early College High School",NA,NA,NA
"385",471,"Brownsville Collegiate Charter School",NA,NA,NA
"392",472,"Brooklyn Prospect Charter School",NA,NA,NA
"397",473,"Brooklyn Institute for Liberal Arts",NA,NA,NA
"401",474,"Brooklyn East Collegiate Charter School",NA,NA,NA
"406",475,"Bronxdale High School",78,NA,NA
"411",476,"Bronx River High School",NA,NA,NA
"413",477,"Bronx Lighthouse Charter School",76,NA,NA
"427",478,"Bronx Envision Academy",74,NA,NA
"430",479,"Bronx Design and Construction Academy",53,NA,NA
"431",480,"Bronx Compass High School",NA,NA,NA
"433",481,"Bronx Collaborative High School",NA,NA,NA
"439",482,"Bronx Academy for Software Engineering (BASE)",NA,NA,NA
"443",483,"Benjamin Franklin High School for Finance & Inform",NA,NA,NA
"446",484,"Bedford Stuyvesant Collegiate -Uncommon Collegiate",NA,NA,NA
"467",485,"Achievement First East New York Charter School",NA,NA,NA
"469",486,"Achievement First Bushwick Charter School",96,NA,NA
"477",487,"Academy for Software Engineering",NA,NA,NA
