"","Ranking","School Name","Graduation Rate (%)","Post-secondary Enrolment Rate, 6 Months (%)","Averaged Score (%)"
"49",1,"Townsend Harris High School",100,100,100
"257",2,"High School of American Studies at Lehman College",99,100,100
"419",3,"Bronx High School of Science",99,99,99
"82",4,"Stuyvesant High School",99,98,98
"338",5,"Eleanor Roosevelt High School",100,95,98
"184",6,"Manhattan Village Academy",98,96,97
"5",7,"Young Women's Leadership School",99,94,96
"122",8,"Queens High School for the Sciences at York Colleg",98,94,96
"192",9,"Manhattan / Hunter Science High School",99,92,96
"209",10,"KIPP AMP Charter School",100,91,96
"310",11,"Frank Sinatra School of the Arts High School",97,96,96
"387",12,"Brooklyn Technical High School",97,96,96
"450",13,"Baruch College Campus High School",100,91,96
"452",14,"Bard High School Early College",97,96,96
"84",15,"Staten Island Technical High School",99,91,95
"100",16,"Scholars' Academy",99,91,95
"170",17,"Millennium High School",100,90,95
"394",18,"Brooklyn Latin School, The",98,92,95
"454",19,"Baccalaureate School for Global Education",100,90,95
"125",20,"Queens Gateway to Health Sciences Secondary School",98,90,94
"199",21,"Leon M. Goldstein High School for the Sciences",99,90,94
"266",22,"High School for Mathematics, Science and Engineeri",98,90,94
"275",23,"High School for Dual Language and Asian Studies",97,90,94
"377",24,"Central Park East High School",98,90,94
"404",25,"Brooklyn College Academy",99,89,94
"3",26,"Young Women's Leadership School, Astoria",96,90,93
"43",27,"University Prep Charter High School",96,90,93
"373",28,"City College Academy of the Arts",95,91,93
"6",29,"York Early College Academy",94,91,92
"118",30,"Queens School of Inquiry, The",93,90,92
"160",31,"N.Y.C. Museum School",100,83,92
"323",32,"Fiorello H. LaGuardia High School of Music & Art a",98,85,92
"448",33,"Beacon High School",100,85,92
"365",34,"Columbia Secondary School",99,83,91
"451",35,"Bard High School Early College Queens",98,84,91
"8",36,"World Journalism Preparatory: A College Board Scho",97,82,90
"145",37,"NYC iSchool",99,81,90
"156",38,"New Explorations into Science, Technology and Math",98,82,90
"207",39,"KIPP STAR College Prep Charter School",90,91,90
"425",40,"Bronx Health Sciences High School",96,83,90
"78",41,"Talent Unlimited High School",96,82,89
"447",42,"Bedford Academy High School",96,82,89
"468",43,"Achievement First Crown Heights Charter School",88,90,89
"90",44,"Science, Technology and Research Early College Hig",97,80,88
"161",45,"N.Y.C. Lab School for Collaborative Studies",96,81,88
"210",46,"KIPP Academy Charter School",95,82,88
"212",47,"Kingsborough Early College School",94,81,88
"241",48,"Hyde Leadership Charter School",91,85,88
"263",49,"High School for Public Service: Heroes  of Tomorro",96,81,88
"311",50,"FRANK McCOURT HIGH SCHOOL",92,84,88
"455",51,"Aviation Career & Technical Education High School",91,86,88
"110",52,"Repertory Company High School for Theatre Arts",100,74,87
"188",53,"Manhattan Center for Science and Mathematics",95,79,87
"288",54,"Harlem Village Academy Leadership Charter School",94,80,87
"38",55,"Urban Assembly Institute of Math and Science for Y",84,89,86
"45",56,"University Heights Secondary School",97,76,86
"173",57,"Midwood High School",91,80,86
"177",58,"Medgar Evers College Preparatory School",95,76,86
"208",59,"KIPP Infinity Charter School",83,88,86
"226",60,"It Takes a Village Academy",92,79,86
"229",61,"International Leadership Charter High School",93,79,86
"277",62,"High School for Construction Trades, Engineering a",95,78,86
"359",63,"CSI High School for International Studies",95,78,86
"444",64,"Benjamin Banneker Academy",92,80,86
"475",65,"Academy of American Studies",88,83,86
"429",66,"Bronx Early College Academy for Teaching & Learnin",97,73,85
"485",67,"Academy for Careers in Television and Film",98,72,85
"12",68,"Williamsburg Preparatory School",91,77,84
"33",69,"Urban Assembly School for Criminal Justice",90,78,84
"93",70,"School of the Future High School",97,72,84
"121",71,"Queens High School of Teaching, Liberal Arts and t",90,78,84
"183",72,"Marble Hill High School for International Studies",91,77,84
"271",73,"High School for Health Professions and Human Servi",90,79,84
"342",74,"East-West School of International Studies",88,80,84
"442",75,"Benjamin N. Cardozo High School",91,77,84
"449",76,"Bayside High School",92,77,84
"474",77,"Academy of Finance and  Enterprise",94,74,84
"120",78,"QUEENS METROPOLITAN HIGH SCHOOL",92,74,83
"41",79,"Urban Assembly Academy of Government and Law, The",87,78,82
"54",80,"The Urban Assembly School for Law and Justice",86,79,82
"66",81,"The High School of Fashion Industries",91,72,82
"132",82,"Pelham Preparatory Academy",86,79,82
"138",83,"Park East High School",97,68,82
"141",84,"Pace High School",88,76,82
"233",85,"International High School at LaGuardia Community C",85,78,82
"258",86,"High School of  Telecommunication Arts and Technol",88,77,82
"312",87,"Francis Lewis High School",88,75,82
"330",88,"Eximius College Preparatory Academy: A College Boa",85,78,82
"375",89,"Chelsea Career and Technical Education High School",87,76,82
"378",90,"Celia Cruz Bronx High School of Music, The",92,72,82
"434",91,"Bronx Center for Science and Mathematics",90,73,82
"190",92,"Manhattan Bridges High School",94,68,81
"14",93,"Williamsburg Collegiate Charter School",78,81,80
"104",94,"Robert H. Goddard High School of Communication Art",92,68,80
"106",95,"Robert F. Kennedy Community High School",84,76,80
"112",96,"Renaissance Charter School",79,82,80
"154",97,"New Heights Academy Charter School",89,71,80
"198",98,"Life Academy High School for Film and Music",95,65,80
"239",99,"Institute for Collaborative Education",93,67,80
"264",100,"High School for Medical Professions",95,65,80
"281",101,"High School for Arts and Business",90,71,80
"316",102,"Forest Hills High School",88,72,80
"396",103,"Brooklyn International High School",90,71,80
"412",104,"Bronx Preparatory Charter School",85,74,80
"423",105,"Bronx High School for Medical Science",85,74,80
"52",106,"Thomas A. Edison Career and Technical Education Hi",89,69,79
"128",107,"Professional Performing Arts High School",98,60,79
"343",108,"East Side Community School",86,72,79
"2",109,"Young Women's Leadership School, Queens",88,69,78
"50",110,"Tottenville High School",86,69,78
"73",111,"THE CINEMA SCHOOL",98,57,78
"86",112,"South Bronx Preparatory: A College Board School",92,65,78
"237",113,"In-Tech Academy (M.S. / High School 368)",84,71,78
"273",114,"High School for Environmental Studies",82,73,78
"301",115,"Gaynor McCown Expeditionary Learning School",80,76,78
"366",116,"Collegiate Institute for Math and Science",82,73,78
"376",117,"Channel View School for Research",85,72,78
"389",118,"Brooklyn Secondary School for Collaborative Studie",89,66,78
"416",119,"Bronx Latin",84,73,78
"480",120,"Academy for Language and Technology",94,61,78
"79",121,"Susan E. Wagner High School",79,75,77
"223",122,"Jamaica Gateway to the Sciences",90,64,77
"253",123,"High School of Economics and Finance",74,80,77
"319",124,"Fordham High School for the Arts",91,63,77
"371",125,"Civic Leadership Academy",87,67,77
"63",126,"The Michael J. Petrides School",82,70,76
"88",127,"Secondary School for Law",89,62,76
"105",128,"Robert F. Wagner, Jr. Secondary School for Arts an",83,68,76
"165",129,"Mott Hall V",82,71,76
"329",130,"Expeditionary Learning School for Community Leader",82,71,76
"340",131,"Edward R. Murrow High School",82,71,76
"398",132,"Brooklyn High School of the Arts",93,60,76
"51",133,"Thurgood Marshall Academy for Learning and Social",81,69,75
"69",134,"The High School for Enterprise, Business and Techn",76,74,75
"189",135,"MANHATTAN BUSINESS ACADEMY",87,63,75
"13",136,"Williamsburg High School for Architecture and Desi",93,56,74
"150",137,"New World High School",88,59,74
"222",138,"James Madison High School",81,66,74
"463",139,"All City Leadership Secondary School",90,58,74
"107",140,"Riverdale / Kingsbridge Academy (Middle School / H",79,67,73
"126",141,"Queens Collegiate: A College Board School",78,68,73
"35",142,"Urban Assembly School for Applied Math and Science",88,56,72
"53",143,"Theatre Arts Production Company School",77,67,72
"139",144,"Pan American International High School at Monroe",88,55,72
"147",145,"Northside Charter High School",75,68,72
"243",146,"Hudson High School of Learning Technologies",73,72,72
"244",147,"Hostos-Lincoln Academy of Science",83,60,72
"246",148,"Hillside Arts & Letters Academy",81,64,72
"333",149,"Essex Street Academy",84,61,72
"372",150,"City Polytechnic High School of Engineering, Archi",89,56,72
"460",151,"Art and Design High School",85,59,72
"466",152,"Achievement First Endeavor Charter School",72,71,72
"247",153,"Hillcrest High School",76,63,70
"278",154,"High School for Community Leadership",84,55,70
"320",155,"Food and Finance High School",81,59,70
"344",156,"East New York Family Academy",87,54,70
"487",157,"A. Philip Randolph Campus High School",83,58,70
"111",158,"Renaissance High School for Musical Theater & Tech",74,64,69
"251",159,"High School of Hospitality Management",82,56,69
"410",160,"Bronx School for Law, Government and Justice",76,62,69
"15",161,"Williamsburg Charter High School",78,57,68
"29",162,"Urban Assembly School of Business for Young Women,",76,60,68
"31",163,"Urban Assembly School for the Performing Arts",76,61,68
"34",164,"Urban Assembly School for Careers in Sports",79,56,68
"44",165,"University Neighborhood High School",84,51,68
"117",166,"Queens Vocational and Technical High School",80,57,68
"146",167,"NYC Charter High School for Architecture, Engineer",87,50,68
"174",168,"Middle College High School at LaGuardia Community",66,70,68
"197",169,"Life Sciences Secondary School",81,54,68
"300",170,"George Washington Carver High School for the Scien",74,61,68
"355",171,"Democracy Prep Charter School",69,66,68
"388",172,"Brooklyn Studio Secondary School",75,62,68
"60",173,"The Uft Charter School",78,56,67
"136",174,"Pathways College Preparatory School: A College Boa",70,64,67
"158",175,"New Design High School",75,59,67
"186",176,"Manhattan International High School",73,61,67
"206",177,"Knowledge and Power Preparatory Academy Internatio",78,56,67
"218",178,"John Dewey High School",70,64,67
"19",179,"West Bronx Academy for the Future",82,49,66
"21",180,"Washington Heights Expeditionary Learning School",74,58,66
"26",181,"Vanguard High School",73,60,66
"70",182,"The Global Learning Collaborative",77,55,66
"115",183,"Rachel Carson High School for Coastal Studies",84,48,66
"157",184,"New Dorp High School",77,56,66
"195",185,"Lower Manhattan Arts Academy",67,65,66
"205",186,"Kurt Hahn Expeditionary Learning School",76,56,66
"240",187,"Information Technology High School",78,55,66
"249",188,"High School of Sports Management",71,61,66
"254",189,"High School of Computers and Technology",77,55,66
"256",190,"High School of Applied Communication",82,51,66
"270",191,"High School for Innovation in Advertising and Medi",80,53,66
"296",192,"Gramercy Arts High School",88,43,66
"315",193,"Fort Hamilton High School",74,57,66
"321",194,"Flushing International High School",72,61,66
"357",195,"Curtis High School",76,56,66
"370",196,"Clara Barton High School",69,63,66
"393",197,"Brooklyn Preparatory High School",86,47,66
"405",198,"Brooklyn Academy of Science and the Environment",75,57,66
"36",199,"Urban Assembly New York Harbor School",78,52,65
"153",200,"New Utrecht High School",74,56,65
"167",201,"Mott Hall Bronx High School",80,50,65
"65",202,"The Marie Curie School for Medicine, Nursing, and",69,60,64
"97",203,"School for Human Rights, The",81,46,64
"119",204,"Queens Preparatory Academy",76,52,64
"129",205,"Preparatory Academy for Writers: A College Board S",76,52,64
"259",206,"High School for Youth and Community Development at",80,49,64
"262",207,"High School for Service & Learning at Erasmus",69,58,64
"308",208,"Frederick Douglass Academy",68,59,64
"331",209,"Excelsior Preparatory High School",75,54,64
"348",210,"Eagle Academy for Young Men",70,59,64
"417",211,"Bronx Lab School",83,44,64
"424",212,"Bronx High School for Law and Community Service",73,54,64
"472",213,"Academy of Innovative Technology",78,49,64
"30",214,"Urban Assembly School for Wildlife Conservation",77,49,63
"267",215,"High School for Law, Advocacy and Community Justic",73,53,63
"294",216,"Gregorio Luperon High School for Science and Mathe",76,50,63
"80",217,"Sunset Park High School",67,58,62
"91",218,"Science Skills Center High School for Science, Tec",72,51,62
"219",219,"John Bowne High School",70,53,62
"234",220,"International High School at Lafayette",77,48,62
"242",221,"Humanities & Arts Magnet High School",76,49,62
"280",222,"High School for Arts, Imagination and Inquiry",78,47,62
"379",223,"Cambria Heights Academy",73,51,62
"399",224,"Brooklyn High School for Law and Technology",73,52,62
"402",225,"Brooklyn Community High School of Communication, A",78,47,62
"438",226,"Bronx Academy of Health Careers",70,53,62
"24",227,"Victory Collegiate High School",73,49,61
"211",228,"Kingsbridge International High School",66,56,61
"345",229,"East Bronx Academy for the Future",78,44,61
"390",230,"Brooklyn School for Music & Theatre",83,39,61
"476",231,"Academy for Young Writers",75,47,61
"17",232,"William Cullen Bryant High School",68,52,60
"96",233,"School for International Studies",65,56,60
"149",234,"Newcomers High School",72,48,60
"268",235,"High School for Law Enforcement and Public Safety",74,47,60
"299",236,"George Westinghouse Career and Technical Education",74,47,60
"367",237,"Cobble Hill School of American Studies",79,40,60
"382",238,"BUSINESS OF SPORTS SCHOOL",70,51,60
"386",239,"Brooklyn Theatre Arts High School",70,50,60
"408",240,"Bronx Studio School for Writers and Artists",70,49,60
"418",241,"Bronx International High School",72,47,60
"481",242,"Academy for Health Careers",73,48,60
"483",243,"Academy for Conservation and the Environment",82,37,60
"486",244,"Abraham Lincoln High School",66,54,60
"61",245,"The School for Classics: An Academy of Thinkers, W",81,37,59
"445",246,"Belmont Preparatory High School",61,57,59
"28",247,"Urban Assembly School of Design and Construction,",62,53,58
"32",248,"Urban Assembly School for Media Studies, The",72,45,58
"59",249,"The Urban Assembly Bronx Academy of Letters",64,51,58
"67",250,"THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY",71,46,58
"109",251,"Richard R. Green High School of Teaching",62,53,58
"166",252,"Mott Hall High School",69,46,58
"269",253,"High School for Law and Public Service",63,54,58
"307",254,"Frederick Douglass Academy II Secondary School",64,52,58
"407",255,"Bronx Theatre High School",64,52,58
"458",256,"Astor Collegiate Academy",71,44,58
"471",257,"Academy of Medical Technology: A College Board Sch",64,52,58
"313",258,"Frances Perkins Academy",73,41,57
"383",259,"Bushwick School for Social Justice",69,45,57
"46",260,"Unity Center for Urban Technologies",79,33,56
"77",261,"Teachers Preparatory High School",68,43,56
"130",262,"Port Richmond High School",64,47,56
"137",263,"Park Slope Collegiate",65,47,56
"178",264,"Mathematics, Science Research and Technology Magne",65,48,56
"196",265,"Long Island City High School",65,48,56
"228",266,"International School for Liberal Arts",67,46,56
"232",267,"International High School at Prospect Heights",69,43,56
"236",268,"International Arts Business School",67,45,56
"272",269,"High School for Health Careers and Sciences",70,42,56
