loc,lat,lon
787 SOUTHERN BLVD NYC,40.8160598,-73.8968935
9 EAST   40 STREET NYC,40.7520421,-73.9809465
141 GRAND ST NYC,40.7200927,-73.9996426
507 COLUMBUS AVE NYC,40.7853068,-73.9726621
71-32A MAIN STREET NYC,40.7269901,-73.8222341
1449 NOSTRAND AVENUE NYC,40.6509823,-73.9493594
6147 188 STREET NYC,40.7395493,-73.7855813
10720 ATLANTIC AVENUE NYC,40.6909391,-73.8375974
320 PARK AVENUE NYC,40.7576734,-73.9742188
25 WEST   45 STREET NYC,40.7561529,-73.9806861
54 RICHMOND TER NYC,40.6440773,-74.0770609
16103 CROSSBAY BOULEVARD NYC,40.6557138,-73.8385917
3976 61ST ST NYC,40.7452754,-73.9035356
1720 2 AVENUE NYC,40.7799439,-73.9498615
2601 BROADWAY NYC,40.7961844,-73.9710304
319 GREENWICH STREET NYC,40.7170258,-74.0104987
4127 162ND ST NYC,40.7606039,-73.8037557
4028 BROADWAY NYC,40.8418106,-73.9389251
759 BROADWAY NYC,40.7309346,-73.9925306
4916 ARTHUR KILL ROAD NYC,40.5221678,-74.2389125
315 W 39TH ST NYC,40.7559712,-73.9920453
13618 39 AVENUE NYC,40.7602502,-73.8294493
5725A ROOSEVELT AVE NYC,40.7455,-73.9067122
162 PARK PL NYC,40.6774706,-73.9732112
22113 LINDEN BOULEVARD NYC,40.6949104,-73.7387093
7218 3 AVENUE NYC,40.7286208,-73.9906003
3819 69 STREET NYC,40.7466281,-73.8960966
31 NEW DORP PLAZA NYC,40.5741062,-74.1171116
2241 31ST ST NYC,40.7750641,-73.9116188
313 WEST   46 STREET NYC,40.7602592,-73.9885929
24 HARRISON STREET NYC,40.7189227,-74.0099594
1053 ST NICHOLAS AVENUE NYC,40.8368928,-73.9403464
93 RALPH AVE NYC,40.6868805,-73.9232548
1347 2 AVENUE NYC,40.768135,-73.959204
35 NEPTUNE AVENUE NYC,40.5831687,-73.9557209
324A UTICA AVE NYC,40.6668616,-73.9315218
22 HOWARD STREET NYC,40.7195836,-74.0001862
918B FULTON STREET NYC,40.6828563,-73.9642756
15 EAST    7 STREET NYC,40.728815,-73.9896635
29 UNION SQUARE WEST NYC,40.7365123,-73.9910286
102 NORTH END AVENUE NYC,40.7150015,-74.0152218
10 UNION SQUARE EAST NYC,40.7347829,-73.9899125
80 NASSAU STREET NYC,40.7098525,-74.0079555
161 8TH AVE NYC,40.742471,-74.000898
