"","DBN","School Name","Average Score ACT Math","Percentage of 4-year Cohort Taking ACT Math","Percentage College Ready ACT Math","Average Score ACT English","Percentage of 4-year Cohort Taking ACT English","Percentage College Ready ACT English","Average Score ACT Reading","Percentage of 4-year Cohort Taking ACT Reading","Average Score ACT Science","Percentage of 4-year Cohort Taking ACT Science"
"2","01M292","Henry Street School for International Studies",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"3","01M448","University Neighborhood High School",NA,"0.133","1",NA,"0.133","1",NA,"0.12",NA,"0.133"
"4","01M450","East Side Community School","19","0.216","1","19","0.216","1","20","0.216","20","0.216"
"5","01M509","Marta Valle High School",NA,"0.04","1",NA,"0.04","0",NA,"0.02",NA,"0.04"
"6","01M539","New Explorations into Science, Technology and Math","27","0.262","1","27","0.262","1","28","0.254","26","0.262"
"7","01M696","Bard High School Early College","27","0.357","1","29","0.357","1","26","0.227","27","0.357"
"8","02M047","47 The American Sign Language and English Secondar",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"9","02M135","The Urban Assembly School for Emergency Management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","02M139","Stephen T. Mather Building Arts & Craftsmanship Hi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","02M280","Manhattan Early College School for Advertising",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","02M282","Urban Assembly Maker Academy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","02M288","Food and Finance High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"14","02M294","Essex Street Academy",NA,"0.022","0",NA,"0.022","0",NA,"0.022",NA,"0.022"
"15","02M296","High School of Hospitality Management",NA,"0.048","1",NA,"0.048","1",NA,"0.038",NA,"0.048"
"16","02M298","Pace High School","17","0.633","1","16","0.633","1","15","0.367","17","0.633"
"17","02M300","Urban Assembly School of Design and Construction,",NA,"0.018","0",NA,"0.018","0",NA,"0.009",NA,"0.018"
"18","02M303","Facing History School, The",NA,"0.052","1",NA,"0.052","1",NA,"0.042",NA,"0.052"
"19","02M305","Urban Assembly Academy of Government and Law, The",NA,"0.038","1",NA,"0.038","1",NA,"0.038",NA,"0.038"
"20","02M308","Lower Manhattan Arts Academy",NA,"0.128","1",NA,"0.128","1",NA,"0.128",NA,"0.128"
"21","02M316","Urban Assembly School of Business for Young Women,",NA,"0.053","0",NA,"0.053","1",NA,"0.039",NA,"0.053"
"22","02M374","Gramercy Arts High School","18","0.133","1","17","0.133","1",NA,"0.097","18","0.133"
"23","02M376","NYC iSchool","23","0.29","1","22","0.29","1","22","0.2","22","0.29"
"24","02M392","MANHATTAN BUSINESS ACADEMY",NA,"0.02","0",NA,"0.02","0",NA,"0.01",NA,"0.02"
