"","Ranking","School Name","Averaged Score (%)"
"1",1,"International High School for Health Sciences",98
"2",2,"International High School at LaGuardia Community C",98
"3",3,"All City Leadership Secondary School",98
"4",4,"Life Academy High School for Film and Music",97
"5",5,"International Community High School",97
"6",6,"Hillcrest High School",97
"7",7,"High School for Community Leadership",97
"8",8,"Fannie Lou Hamer Freedom High School",97
"9",9,"Expeditionary Learning School for Community Leader",97
"10",10,"Brooklyn International High School",97
"11",11,"Williamsburg Preparatory School",96
"12",12,"Williamsburg High School for Architecture and Desi",96
"13",13,"Vanguard High School",96
"14",14,"Staten Island Technical High School",96
"15",15,"Schuylerville Preparatory High School",96
"16",16,"Queens High School for Language Studies",96
"17",17,"NYC iSchool",96
"18",18,"Manhattan Theatre Lab High School",96
"19",19,"Khalil Gibran International Academy",96
"20",20,"Institute for Collaborative Education",96
"21",21,"High School of American Studies at Lehman College",96
"22",22,"Gregorio Luperon High School for Science and Mathe",96
"23",23,"Flushing International High School",96
"24",24,"Essex Street Academy",96
"25",25,"DreamYard Preparatory School",96
"26",26,"Discovery High School",96
"27",27,"Community School for Social Justice",96
"28",28,"Central Park East High School",96
"29",29,"Business Technology Early College High School",96
"30",30,"Bronx Latin",96
"31",31,"Academy for Software Engineering",96
"32",32,"Williamsburg Collegiate Charter School",95
"33",33,"Urban Assembly Gateway School for Technology",95
"34",34,"University Neighborhood High School",95
"35",35,"Special Music School",95
"36",36,"Scholars' Academy",95
"37",37,"Park East High School",95
"38",38,"Nelson Mandela High School",95
"39",39,"Math, Engineering, and Science Academy Charter Hig",95
"40",40,"KIPP Infinity Charter School",95
"41",41,"Jamaica Gateway to the Sciences",95
"42",42,"Inwood Early College for Health and Information Te",95
"43",43,"Institute for Health Professions at Cambria Height",95
"44",44,"Hillside Arts & Letters Academy",95
"45",45,"High School for Energy and Technology",95
"46",46,"El Puente Academy for Peace and Justice",95
"47",47,"East Side Community School",95
"48",48,"Community Health Academy of the Heights",95
"49",49,"Brooklyn Preparatory High School",95
"50",50,"Brooklyn Latin School, The",95
"51",51,"Bronx Collaborative High School",95
"52",52,"Bronx Academy for Software Engineering (BASE)",95
"53",53,"Baruch College Campus High School",95
"54",54,"Academy for Careers in Television and Film",95
"55",55,"Young Women's Leadership School",94
"56",56,"Urban Assembly School for Careers in Sports",94
"57",57,"The Urban Assembly School for Law and Justice",94
"58",58,"The Urban Assembly School for Global Commerce",94
"59",59,"Stephen T. Mather Building Arts & Craftsmanship Hi",94
"60",60,"Science, Technology and Research Early College Hig",94
"61",61,"School for Human Rights, The",94
"62",62,"Robert H. Goddard High School of Communication Art",94
"63",63,"Repertory Company High School for Theatre Arts",94
"64",64,"Pan American International High School at Monroe",94
"65",65,"N.Y.C. Lab School for Collaborative Studies",94
"66",66,"Millennium Brooklyn HS",94
"67",67,"Middle College High School at LaGuardia Community",94
"68",68,"Manhattan Early College School for Advertising",94
"69",69,"Kings Collegiate Charter School",94
"70",70,"High School of Computers and Technology",94
"71",71,"High School for Public Service: Heroes  of Tomorro",94
"72",72,"Green School: An Academy for Environmental Careers",94
"73",73,"Facing History School, The",94
"74",74,"Energy Tech High School",94
"75",75,"Columbia Secondary School",94
"76",76,"Channel View School for Research",94
"77",77,"Brooklyn Prospect Charter School",94
"78",78,"Bronx Leadership Academy II High School",94
"79",79,"Bronx Design and Construction Academy",94
"80",80,"Bronx Compass High School",94
"81",81,"Bronx Collegiate Academy",94
"82",82,"Achievement First Bushwick Charter School",94
"83",83,"Academy of Innovative Technology",94
"84",84,"Young Women's Leadership School of Brooklyn",93
"85",85,"World View High School",93
"86",86,"Westchester Square Academy",93
"87",87,"Urban Assembly School of Design and Construction,",93
"88",88,"Urban Assembly Maker Academy",93
"89",89,"The Brooklyn Academy of Global Finance",93
"90",90,"Renaissance High School for Musical Theater & Tech",93
"91",91,"Rachel Carson High School for Coastal Studies",93
"92",92,"Pablo Neruda Academy",93
"93",93,"Origins High School",93
"94",94,"Newtown High School",93
"95",95,"Multicultural High School",93
"96",96,"Millennium Art Academy",93
"97",97,"Metropolitan Expeditionary Learning School",93
"98",98,"Marble Hill High School for International Studies",93
"99",99,"Manhattan Bridges High School",93
"100",100,"Lyons Community School",93
"101",101,"Leadership Institute",93
"102",102,"Knowledge and Power Preparatory Academy Internatio",93
"103",103,"John W. Lavelle Preparatory Charter School",93
"104",104,"High School of Applied Communication",93
"105",105,"High School of  Telecommunication Arts and Technol",93
"106",106,"High School for Civil Rights",93
"107",107,"High School for Arts and Business",93
"108",108,"Harvest Collegiate High School",93
"109",109,"FRANK McCOURT HIGH SCHOOL",93
"110",110,"Eximius College Preparatory Academy: A College Boa",93
"111",111,"Epic High School - North",93
"112",112,"East Bronx Academy for the Future",93
"113",113,"Eagle Academy for Young Men II",93
"114",114,"Democracy Prep Charter School",93
"115",115,"Comprehensive Model School Project M.S. 327",93
"116",116,"Choir Academy of Harlem",93
"117",117,"Bushwick School for Social Justice",93
"118",118,"Brooklyn Secondary School for Collaborative Studie",93
"119",119,"Brooklyn East Collegiate Charter School",93
"120",120,"Brooklyn College Academy",93
"121",121,"Bronx International High School",93
"122",122,"Bronx High School for Law and Community Service",93
"123",123,"Bronx Center for Science and Mathematics",93
"124",124,"Benjamin Franklin High School for Finance & Inform",93
"125",125,"Bedford Stuyvesant Collegiate -Uncommon Collegiate",93
"126",126,"Washington Heights Expeditionary Learning School",92
"127",127,"Veritas Academy",92
"128",128,"University Heights Secondary School",92
"129",129,"Townsend Harris High School",92
"130",130,"The Michael J. Petrides School",92
"131",131,"The Brooklyn School for Math and Research",92
"132",132,"Talent Unlimited High School",92
"133",133,"School of the Future High School",92
"134",134,"Robert F. Kennedy Community High School",92
"135",135,"Queens High School for Information, Research, and",92
"136",136,"Pelham Preparatory Academy",92
"137",137,"Park Slope Collegiate",92
"138",138,"Ocean Hill Collegiate Charter School",92
"139",139,"New Dorp High School",92
"140",140,"New Design High School",92
"141",141,"Mott Hall V",92
"142",142,"MANHATTAN ACADEMY FOR ARTS & LANGUAGE",92
"143",143,"Landmark High School",92
"144",144,"KIPP STAR College Prep Charter School",92
"145",145,"Jonathan Levin High School for Media and Communica",92
"146",146,"Jane Addams High School for Academic Careers",92
"147",147,"International School for Liberal Arts",92
"148",148,"Hudson High School of Learning Technologies",92
"149",149,"High School of Language and Innovation",92
"150",150,"High School for Teaching and the Professions",92
"151",151,"Harlem Village Academy Charter School",92
"152",152,"George Washington Carver High School for the Scien",92
"153",153,"Francis Lewis High School",92
"154",154,"Frances Perkins Academy",92
"155",155,"Epic High School - South",92
"156",156,"Edward R. Murrow High School",92
"157",157,"CSI High School for International Studies",92
"158",158,"Coney Island Preparatory Public Charter School",92
"159",159,"Coalition School for Social Change",92
"160",160,"Bronxdale High School",92
"161",161,"Bronx High School for Writing and Communication Ar",92
"162",162,"Bronx Guild",92
"163",163,"Bronx Career and College Preparatory High School",92
"164",164,"Bedford Academy High School",92
"165",165,"Beacon High School",92
"166",166,"Bard High School Early College Queens",92
"167",167,"Bard High School Early College",92
"168",168,"Achievement First Endeavor Charter School",92
"169",169,"Academy of Finance and  Enterprise",92
"170",170,"Academy for Young Writers",92
"171",171,"York Early College Academy",91
"172",172,"World Journalism Preparatory: A College Board Scho",91
"173",173,"Williamsburg Charter High School",91
"174",174,"Victory Collegiate High School",91
"175",175,"Urban Assembly Academy of Government and Law, The",91
"176",176,"Urban Action Academy",91
"177",177,"Thurgood Marshall Academy for Learning and Social",91
"178",178,"Theatre Arts Production Company School",91
"179",179,"The Urban Assembly School for Emergency Management",91
"180",180,"The School for Classics: An Academy of Thinkers, W",91
"181",181,"South Bronx Preparatory: A College Board School",91
"182",182,"School for Tourism and Hospitality",91
"183",183,"Robert F. Wagner, Jr. Secondary School for Arts an",91
"184",184,"Queens Vocational and Technical High School",91
"185",185,"Professional Performing Arts High School",91
"186",186,"Preparatory Academy for Writers: A College Board S",91
"187",187,"Port Richmond High School",91
"188",188,"Pace High School",91
"189",189,"NYC Charter High School for Architecture, Engineer",91
"190",190,"Northside Charter High School",91
"191",191,"New World High School",91
"192",192,"New Visions Charter High School for the Humanities",91
"193",193,"New Visions Charter High School for Advanced Math",91
"194",194,"Lower Manhattan Arts Academy",91
"195",195,"KIPP Academy Charter School",91
"196",196,"Kingsbridge International High School",91
"197",197,"Kingsborough Early College School",91
"198",198,"Juan Morel Campos Secondary School",91
"199",199,"It Takes a Village Academy",91
"200",200,"International High School at Union Square",91
"201",201,"International High School at Prospect Heights",91
"202",202,"Holcombe L. Rucker School of Community Research",91
"203",203,"High School of Hospitality Management",91
"204",204,"High School for Law and Public Service",91
"205",205,"High School for Health Professions and Human Servi",91
"206",206,"High School for Construction Trades, Engineering a",91
"207",207,"Health Opportunities High School",91
"208",208,"Excelsior Preparatory High School",91
"209",209,"East-West School of International Studies",91
