"","Ranking","School Name","Averaged Score"
"362",165,"Comprehensive Model School Project M.S. 327",85
"382",166,"BUSINESS OF SPORTS SCHOOL",85
"387",167,"Brooklyn Technical High School",85
"389",168,"Brooklyn Secondary School for Collaborative Studie",85
"397",169,"Brooklyn Institute for Liberal Arts",85
"435",170,"Bronx Career and College Preparatory High School",85
"460",171,"Art and Design High School",85
"488",172,"47 The American Sign Language and English Secondar",85
"7",173,"World View High School",84
"18",174,"Westchester Square Academy",84
"28",175,"Urban Assembly School of Design and Construction,",84
"37",176,"Urban Assembly Maker Academy",84
"43",177,"University Prep Charter High School",84
"54",178,"The Urban Assembly School for Law and Justice",84
"61",179,"The School for Classics: An Academy of Thinkers, W",84
"66",180,"The High School of Fashion Industries",84
"68",181,"The High School for Global Citizenship",84
"78",182,"Talent Unlimited High School",84
"80",183,"Sunset Park High School",84
"111",184,"Renaissance High School for Musical Theater & Tech",84
"128",185,"Professional Performing Arts High School",84
"136",186,"Pathways College Preparatory School: A College Boa",84
"144",187,"Ocean Hill Collegiate Charter School",84
"154",188,"New Heights Academy Charter School",84
"160",189,"N.Y.C. Museum School",84
"163",190,"Multicultural High School",84
"180",191,"Maspeth High School",84
"185",192,"Manhattan Theatre Lab High School",84
"194",193,"Lyons Community School",84
"205",194,"Kurt Hahn Expeditionary Learning School",84
"210",195,"KIPP Academy Charter School",84
"211",196,"Kingsbridge International High School",84
"225",197,"J.H.S. 157 Stephen A. Halsey",84
"241",198,"Hyde Leadership Charter School",84
"245",199,"Holcombe L. Rucker School of Community Research",84
"249",200,"High School of Sports Management",84
"261",201,"High School for Teaching and the Professions",84
"273",202,"High School for Environmental Studies",84
"274",203,"High School for Energy and Technology",84
"285",204,"Health Opportunities High School",84
"334",205,"ESPERANZA PREPARATORY ACADEMY",84
"340",206,"Edward R. Murrow High School",84
"342",207,"East-West School of International Studies",84
"345",208,"East Bronx Academy for the Future",84
"352",209,"Discovery High School",84
"369",210,"Claremont International HS",84
"375",211,"Chelsea Career and Technical Education High School",84
"402",212,"Brooklyn Community High School of Communication, A",84
"421",213,"Bronx High School for Writing and Communication Ar",84
"429",214,"Bronx Early College Academy for Teaching & Learnin",84
"445",215,"Belmont Preparatory High School",84
"466",216,"Achievement First Endeavor Charter School",84
"471",217,"Academy of Medical Technology: A College Board Sch",84
"8",218,"World Journalism Preparatory: A College Board Scho",83
"30",219,"Urban Assembly School for Wildlife Conservation",83
"31",220,"Urban Assembly School for the Performing Arts",83
"81",221,"Summit Academy Charter School",83
"106",222,"Robert F. Kennedy Community High School",83
"115",223,"Rachel Carson High School for Coastal Studies",83
"126",224,"Queens Collegiate: A College Board School",83
"135",225,"Pathways in Technology Early College High School (",83
"137",226,"Park Slope Collegiate",83
"147",227,"Northside Charter High School",83
"168",228,"Morris Academy for Collaborative Studies",83
"191",229,"MANHATTAN ACADEMY FOR ARTS & LANGUAGE",83
"202",230,"Leadership and Public Service High School",83
"204",231,"Landmark High School",83
"221",232,"Jane Addams High School for Academic Careers",83
"253",233,"High School of Economics and Finance",83
"256",234,"High School of Applied Communication",83
"295",235,"Green School: An Academy for Environmental Careers",83
"309",236,"Franklin Delano Roosevelt High School",83
"313",237,"Frances Perkins Academy",83
"325",238,"FDNY High School for Fire and Life Safety",83
"328",239,"Explorations Academy",83
"336",240,"Epic High School - North",83
"341",241,"EBC High School for Public Service - Bushwick",83
"351",242,"Dr. Richard Izquierdo Health and Science Charter S",83
"360",243,"Crotona International High School",83
"368",244,"Coalition School for Social Change",83
"383",245,"Bushwick School for Social Justice",83
"384",246,"Bushwick Leaders High School for Academic Excellen",83
"385",247,"Brownsville Collegiate Charter School",83
"400",248,"Brooklyn Generation School",83
"401",249,"Brooklyn East Collegiate Charter School",83
"455",250,"Aviation Career & Technical Education High School",83
"22",251,"Wadleigh Secondary School for the Performing & Vis",82
"23",252,"W. H. Maxwell Career and Technical Education High",82
"27",253,"Validus Preparatory Academy: An Expeditionary Lear",82
"38",254,"Urban Assembly Institute of Math and Science for Y",82
"47",255,"Union Square Academy for Health Sciences",82
"56",256,"The Urban Assembly School for Global Commerce",82
"73",257,"THE CINEMA SCHOOL",82
"79",258,"Susan E. Wagner High School",82
"83",259,"Stephen T. Mather Building Arts & Craftsmanship Hi",82
"107",260,"Riverdale / Kingsbridge Academy (Middle School / H",82
"113",261,"Renaissance Charter High School for Innovation",82
"116",262,"Quest to Learn",82
"117",263,"Queens Vocational and Technical High School",82
"125",264,"Queens Gateway to Health Sciences Secondary School",82
"132",265,"Pelham Preparatory Academy",82
"134",266,"Peace and Diversity Academy",82
"157",267,"New Dorp High School",82
"167",268,"Mott Hall Bronx High School",82
"189",269,"MANHATTAN BUSINESS ACADEMY",82
"196",270,"Long Island City High School",82
"215",271,"Juan Morel Campos Secondary School",82
"226",272,"It Takes a Village Academy",82
"229",273,"International Leadership Charter High School",82
"243",274,"Hudson High School of Learning Technologies",82
"286",275,"Harvest Collegiate High School",82
"301",276,"Gaynor McCown Expeditionary Learning School",82
"302",277,"Gateway School for Environmental Research and Tech",82
"361",278,"Coney Island Preparatory Public Charter School",82
"388",279,"Brooklyn Studio Secondary School",82
"423",280,"Bronx High School for Medical Science",82
"430",281,"Bronx Design and Construction Academy",82
"436",282,"BRONX BRIDGES HIGH SCHOOL",82
"441",283,"Boys and Girls High School",82
"482",284,"Academy for Environmental Leadership",82
"15",285,"Williamsburg Charter High School",81
"19",286,"West Bronx Academy for the Future",81
"25",287,"Veritas Academy",81
"32",288,"Urban Assembly School for Media Studies, The",81
"53",289,"Theatre Arts Production Company School",81
"71",290,"The Equality Charter School",81
"72",291,"The College Academy",81
"74",292,"The Brooklyn School for Math and Research",81
"75",293,"The Brooklyn Academy of Global Finance",81
"87",294,"Sheepshead Bay High School",81
"95",295,"School for Legal Studies",81
"112",296,"Renaissance Charter School",81
"146",297,"NYC Charter High School for Architecture, Engineer",81
"152",298,"New Visions Charter High School for Advanced Math",81
"153",299,"New Utrecht High School",81
"166",300,"Mott Hall High School",81
"172",301,"Millennium Art Academy",81
"182",302,"Marta Valle High School",81
"209",303,"KIPP AMP Charter School",81
"217",304,"John W. Lavelle Preparatory Charter School",81
"237",305,"In-Tech Academy (M.S. / High School 368)",81
"240",306,"Information Technology High School",81
"264",307,"High School for Medical Professions",81
"265",308,"High School for Media and Communications",81
"269",309,"High School for Law and Public Service",81
"272",310,"High School for Health Careers and Sciences",81
"307",311,"Frederick Douglass Academy II Secondary School",81
"315",312,"Fort Hamilton High School",81
"316",313,"Forest Hills High School",81
"320",314,"Food and Finance High School",81
"323",315,"Fiorello H. LaGuardia High School of Music & Art a",81
"346",316,"Eagle Academy for Young Men III",81
"350",317,"Dr. Susan S. McKinney Secondary School of the Arts",81
"411",318,"Bronx River High School",81
"424",319,"Bronx High School for Law and Community Service",81
"440",320,"Bread & Roses Integrated Arts High School",81
"442",321,"Benjamin N. Cardozo High School",81
"468",322,"Achievement First Crown Heights Charter School",81
"470",323,"Academy of Urban Planning",81
"29",324,"Urban Assembly School of Business for Young Women,",80
"35",325,"Urban Assembly School for Applied Math and Science",80
"41",326,"Urban Assembly Academy of Government and Law, The",80
"42",327,"Urban Action Academy",80
"50",328,"Tottenville High School",80
"52",329,"Thomas A. Edison Career and Technical Education Hi",80
"67",330,"THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY",80
"70",331,"The Global Learning Collaborative",80
"121",332,"Queens High School of Teaching, Liberal Arts and t",80
"130",333,"Port Richmond High School",80
"207",334,"KIPP STAR College Prep Charter School",80
"216",335,"Jonathan Levin High School for Media and Communica",80
"248",336,"High School of World Cultures",80
"250",337,"High School of Language and Innovation",80
"252",338,"High School of Graphic Communication Arts",80
"259",339,"High School for Youth and Community Development at",80
"288",340,"Harlem Village Academy Leadership Charter School",80
"289",341,"Harlem Village Academy Charter School",80
"290",342,"Harlem Children's Zone Promise Academy II Charter",80
"297",343,"Grace Dodge Career and Technical Education High Sc",80
"298",344,"Gotham Professional Arts Academy",80
"303",345,"Frederick Douglass Academy VII High School",80
"331",346,"Excelsior Preparatory High School",80
"344",347,"East New York Family Academy",80
"366",348,"Collegiate Institute for Math and Science",80
"372",349,"City Polytechnic High School of Engineering, Archi",80
"386",350,"Brooklyn Theatre Arts High School",80
"403",351,"Brooklyn Collegiate: A College Board School",80
"406",352,"Bronxdale High School",80
"410",353,"Bronx School for Law, Government and Justice",80
"425",354,"Bronx Health Sciences High School",80
"426",355,"Bronx Guild",80
"461",356,"Archimedes Academy for Math, Science and Technolog",80
"483",357,"Academy for Conservation and the Environment",80
"486",358,"Abraham Lincoln High School",80
"2",359,"Young Women's Leadership School, Queens",79
"36",360,"Urban Assembly New York Harbor School",79
"39",361,"Urban Assembly High School of Music and Art",79
"51",362,"Thurgood Marshall Academy for Learning and Social",79
"62",363,"The Opportunity Charter School",79
"65",364,"The Marie Curie School for Medicine, Nursing, and",79
"89",365,"Secondary School for Journalism",79
"98",366,"School for Excellence",79
"102",367,"Rockaway Park High School for Environmental Sustai",79
"108",368,"Richmond Hill High School",79
"109",369,"Richard R. Green High School of Teaching",79
"124",370,"Queens High School for Information, Research, and",79
"155",371,"New Explorers High School",79
"177",372,"Medgar Evers College Preparatory School",79
"195",373,"Lower Manhattan Arts Academy",79
"201",374,"Leadership Institute",79
"218",375,"John Dewey High School",79
"224",376,"Jacqueline Kennedy Onassis High School",79
"280",377,"High School for Arts, Imagination and Inquiry",79
"300",378,"George Washington Carver High School for the Scien",79
"308",379,"Frederick Douglass Academy",79
