"","Ranking","School Name","English Score (%)"
"58",58,"NYC Charter High School for Architecture, Engineer",82
"59",59,"Kings Collegiate Charter School",82
"60",60,"Francis Lewis High School",82
"61",61,"Discovery High School",82
"62",62,"Civic Leadership Academy",82
"63",63,"City College Academy of the Arts",82
"64",64,"Bronx Collaborative High School",82
"65",65,"Academy for Careers in Television and Film",82
"66",66,"Young Women's Leadership School, Queens",81
"67",67,"Williamsburg Collegiate Charter School",81
"68",68,"Science, Technology and Research Early College Hig",81
"69",69,"Millennium High School",81
"70",70,"Midwood High School",81
"71",71,"Jamaica Gateway to the Sciences",81
"72",72,"Inwood Early College for Health and Information Te",81
"73",73,"Democracy Prep Charter School",81
"74",74,"Central Park East High School",81
"75",75,"Benjamin N. Cardozo High School",81
"76",76,"Benjamin Banneker Academy",81
"77",77,"Academy of American Studies",81
"78",78,"Young Women's Leadership School, Astoria",80
"79",79,"Williamsburg High School for Architecture and Desi",80
"80",80,"Thomas A. Edison Career and Technical Education Hi",80
"81",81,"The Michael J. Petrides School",80
"82",82,"The High School of Fashion Industries",80
"83",83,"Rachel Carson High School for Coastal Studies",80
"84",84,"Mott Hall V",80
"85",85,"Kingsborough Early College School",80
"86",86,"High School of Applied Communication",80
"87",87,"High School for Community Leadership",80
"88",88,"Harlem Village Academy Leadership Charter School",80
"89",89,"Edward R. Murrow High School",80
"90",90,"Channel View School for Research",80
"91",91,"Celia Cruz Bronx High School of Music, The",80
"92",92,"Brooklyn East Collegiate Charter School",80
"93",93,"Bronx Health Sciences High School",80
"94",94,"World View High School",79
"95",95,"Tottenville High School",79
"96",96,"Susan E. Wagner High School",79
"97",97,"Robert H. Goddard High School of Communication Art",79
"98",98,"Riverdale / Kingsbridge Academy (Middle School / H",79
"99",99,"Quest to Learn",79
"100",100,"Pathways College Preparatory School: A College Boa",79
"101",101,"Ocean Hill Collegiate Charter School",79
"102",102,"KIPP Infinity Charter School",79
"103",103,"KIPP AMP Charter School",79
"104",104,"KIPP Academy Charter School",79
"105",105,"International Leadership Charter High School",79
"106",106,"High School for Dual Language and Asian Studies",79
