"","Ranking","School Name","Chemistry Score (%)","Physics Score (%)","Averaged Score (%)"
"1",1,"High School of American Studies at Lehman College",100,100,100
"2",2,"Stuyvesant High School",99,99,99
"3",3,"Staten Island Technical High School",99,99,99
"4",4,"Queens High School for the Sciences at York Colleg",98,99,99
"5",5,"Bronx High School of Science",100,98,99
"6",6,"Townsend Harris High School",99,97,98
"7",7,"Academy of Finance and  Enterprise",94,100,97
"8",8,"East-West School of International Studies",97,90,94
"9",9,"High School for Mathematics, Science and Engineeri",95,91,93
"10",10,"Eleanor Roosevelt High School",97,88,93
"11",11,"Scholars' Academy",97,84,91
"12",12,"New Explorations into Science, Technology and Math",94,89,91
"13",13,"Brooklyn Technical High School",92,90,91
"14",14,"Francis Lewis High School",91,89,90
"15",15,"High School for Dual Language and Asian Studies",98,80,89
"16",16,"Manhattan Village Academy",84,92,88
"17",17,"New Utrecht High School",80,91,86
"18",18,"Midwood High School",88,83,86
"19",19,"Information Technology High School",92,80,86
"20",20,"Fort Hamilton High School",80,92,86
"21",21,"Millennium High School",88,83,85
"22",22,"High School for Community Leadership",85,84,85
"23",23,"Aviation Career & Technical Education High School",77,90,84
"24",24,"High School for Health Professions and Human Servi",85,82,83
"25",25,"Leon M. Goldstein High School for the Sciences",82,82,82
"26",26,"Thomas A. Edison Career and Technical Education Hi",80,83,81
"27",27,"High School for Public Service: Heroes  of Tomorro",74,88,81
"28",28,"Newcomers High School",66,94,80
"29",29,"Manhattan Center for Science and Mathematics",79,82,80
"30",30,"Frederick Douglass Academy",66,95,80
"31",31,"Civic Leadership Academy",80,80,80
"32",32,"Martin Van Buren High School",79,77,78
"33",33,"Hostos-Lincoln Academy of Science",66,89,77
"34",34,"Bronx Center for Science and Mathematics",85,67,76
"35",35,"Fiorello H. LaGuardia High School of Music & Art a",77,68,73
"36",36,"Democracy Prep Charter School",90,56,73
"37",37,"Williamsburg Preparatory School",77,67,72
"38",38,"N.Y.C. Lab School for Collaborative Studies",56,89,72
"39",39,"Millennium Brooklyn HS",76,67,72
"40",40,"High School of Applied Communication",61,83,72
"41",41,"City College Academy of the Arts",71,73,72
"42",42,"Benjamin N. Cardozo High School",73,72,72
"43",43,"Queens Gateway to Health Sciences Secondary School",79,63,71
"44",44,"Medgar Evers College Preparatory School",72,71,71
"45",45,"John Bowne High School",65,77,71
"46",46,"Frank Sinatra School of the Arts High School",62,80,71
"47",47,"Manhattan / Hunter Science High School",86,54,70
"48",48,"Franklin Delano Roosevelt High School",62,78,70
"49",49,"Forest Hills High School",70,70,70
"50",50,"New World High School",78,58,68
"51",51,"James Madison High School",55,82,68
"52",52,"Susan E. Wagner High School",64,70,67
"53",53,"Edward R. Murrow High School",58,77,67
"54",54,"KIPP Infinity Charter School",65,65,65
"55",55,"New Dorp High School",57,71,64
"56",56,"William Cullen Bryant High School",65,62,63
"57",57,"The Global Learning Collaborative",78,47,62
"58",58,"High School for Environmental Studies",53,72,62
"59",59,"KIPP Academy Charter School",70,51,61
"60",60,"Central Park East High School",62,60,61
"61",61,"The Brooklyn School for Math and Research",57,64,60
"62",62,"Robert H. Goddard High School of Communication Art",53,67,60
"63",63,"High School for Arts and Business",49,70,60
"64",64,"Brooklyn Studio Secondary School",36,83,60
"65",65,"Benjamin Banneker Academy",71,50,60
"66",66,"Maspeth High School",60,58,59
"67",67,"Jamaica Gateway to the Sciences",63,54,59
"68",68,"High School for Construction Trades, Engineering a",64,54,59
"69",69,"Mott Hall V",33,82,58
"70",70,"Grover Cleveland High School",27,87,57
"71",71,"Art and Design High School",46,69,57
"72",72,"Port Richmond High School",43,69,56
"73",73,"Tottenville High School",48,60,54
"74",74,"Collegiate Institute for Math and Science",47,60,54
"75",75,"Bayside High School",55,53,54
"76",76,"Queens School of Inquiry, The",64,42,53
"77",77,"Talent Unlimited High School",50,53,52
"78",78,"Curtis High School",52,52,52
"79",79,"John Adams High School",54,45,49
"80",80,"Community Health Academy of the Heights",32,67,49
"81",81,"Hyde Leadership Charter School",42,54,48
"82",82,"High School of  Telecommunication Arts and Technol",40,56,48
"83",83,"The Marie Curie School for Medicine, Nursing, and",29,65,47
"84",84,"DeWitt Clinton High School",39,55,47
"85",85,"Riverdale / Kingsbridge Academy (Middle School / H",50,43,46
"86",86,"KIPP STAR College Prep Charter School",52,40,46
"87",87,"Flushing High School",35,53,44
"88",88,"Brooklyn High School for Law and Technology",63,24,43
"89",89,"The High School for Enterprise, Business and Techn",48,37,42
"90",90,"It Takes a Village Academy",29,54,42
"91",91,"John Dewey High School",34,45,40
"92",92,"Marble Hill High School for International Studies",46,31,38
"93",93,"Belmont Preparatory High School",14,61,37
"94",94,"Gregorio Luperon High School for Science and Mathe",30,43,36
"95",95,"Hillcrest High School",38,28,33
"96",96,"Herbert H. Lehman High School",18,48,33
"97",97,"The Michael J. Petrides School",26,37,32
"98",98,"Abraham Lincoln High School",26,37,32
"99",99,"Williamsburg Charter High School",36,27,31
"100",100,"Eximius College Preparatory Academy: A College Boa",25,37,31
"101",101,"Long Island City High School",16,40,28
"102",102,"World Journalism Preparatory: A College Board Scho",31,22,27
"103",103,"Fordham High School for the Arts",24,29,26
"104",104,"Queens Vocational and Technical High School",19,30,25
"105",105,"Queens Preparatory Academy",17,33,25
"106",106,"Bronx Health Sciences High School",18,32,25
"107",107,"High School of Economics and Finance",30,19,24
"108",108,"Bronx High School for the Visual Arts",0,47,24
"109",109,"East Bronx Academy for the Future",17,24,21
"110",110,"Bronx Preparatory Charter School",36,7,21
"111",111,"Urban Assembly Gateway School for Technology",35,4,20
"112",112,"Manhattan Bridges High School",10,30,20
"113",113,"Academy for Careers in Television and Film",24,8,16
"114",114,"Cambria Heights Academy",17,9,13
"115",115,"Brooklyn Preparatory High School",15,2,8
"116",116,"High School for Law and Public Service",10,4,7
"117",117,"School Name",NA,NA,NA
"118",118,"Young Women's Leadership School, Queens",20,NA,NA
"119",119,"Young Women's Leadership School, Astoria",72,NA,NA
"120",120,"Young Women's Leadership School of Brooklyn",NA,NA,NA
"121",121,"Young Women's Leadership School",81,NA,NA
"122",122,"York Early College Academy",93,NA,NA
"123",123,"World View High School",NA,NA,NA
"124",124,"World Academy for Total Community Health High Scho",NA,NA,NA
"125",125,"Women's Academy of Excellence",79,NA,NA
"126",126,"Wings Academy",NA,NA,NA
"127",127,"Williamsburg High School for Architecture and Desi",17,NA,NA
