"","Ranking","School Name","Algebra Score (%)","Geometry Score (%)","Averaged Math Score (%)"
"1",1,"Stuyvesant High School",91,94,92
"2",2,"Bronx High School of Science",86,93,90
"3",3,"Staten Island Technical High School",83,92,88
"4",4,"Townsend Harris High School",80,94,87
"5",5,"Scholars' Academy",86,88,87
"6",6,"High School for Mathematics, Science and Engineeri",85,88,86
"7",7,"Eleanor Roosevelt High School",88,84,86
"8",8,"High School of American Studies at Lehman College",80,87,84
"9",9,"Brooklyn Technical High School",81,88,84
"10",10,"High School for Dual Language and Asian Studies",83,83,83
"11",11,"New Explorations into Science, Technology and Math",80,83,82
"12",12,"N.Y.C. Lab School for Collaborative Studies",77,83,80
"13",13,"Fiorello H. LaGuardia High School of Music & Art a",77,82,80
"14",14,"Bedford Academy High School",75,85,80
"15",15,"Millennium High School",76,82,79
"16",16,"Baruch College Campus High School",77,81,79
"17",17,"Manhattan / Hunter Science High School",77,79,78
"18",18,"Francis Lewis High School",74,83,78
"19",19,"York Early College Academy",76,77,76
"20",20,"Manhattan Village Academy",77,75,76
"21",21,"Manhattan Center for Science and Mathematics",73,78,76
"22",22,"Discovery High School",74,77,76
"23",23,"Brooklyn Latin School, The",72,81,76
"24",24,"Aviation Career & Technical Education High School",76,77,76
"25",25,"All City Leadership Secondary School",73,78,76
"26",26,"Young Women's Leadership School",72,78,75
"27",27,"Leon M. Goldstein High School for the Sciences",68,82,75
"28",28,"Urban Assembly Maker Academy",70,77,74
"29",29,"Talent Unlimited High School",72,76,74
"30",30,"Science, Technology and Research Early College Hig",75,72,74
"31",31,"Robert F. Kennedy Community High School",71,78,74
"32",32,"Queens High School for Language Studies",72,77,74
"33",33,"Newcomers High School",73,75,74
"34",34,"Millennium Brooklyn HS",72,75,74
"35",35,"Midwood High School",71,76,74
"36",36,"FRANK McCOURT HIGH SCHOOL",69,78,74
"37",37,"Forest Hills High School",71,76,74
"38",38,"Democracy Prep Harlem Charter School",69,78,74
"39",39,"Democracy Prep Charter School",70,78,74
"40",40,"Columbia Secondary School",71,77,74
"41",41,"Brooklyn College Academy",73,75,74
"42",42,"Bronx Center for Science and Mathematics",72,76,74
"43",43,"Achievement First Bushwick Charter School",72,77,74
"44",44,"Young Women's Leadership School, Astoria",70,76,73
"45",45,"Special Music School",71,75,73
"46",46,"N.Y.C. Museum School",70,76,73
"47",47,"Franklin Delano Roosevelt High School",72,74,73
"48",48,"CSI High School for International Studies",71,75,73
"49",49,"City College Academy of the Arts",66,80,73
"50",50,"Thomas A. Edison Career and Technical Education Hi",69,76,72
