"","Ranking","School Name","Algebra Score (%)","Geometry Score (%)","Averaged Math Score (%)"
"51",51,"The Equality Charter School",67,77,72
"52",52,"South Bronx Preparatory: A College Board School",67,78,72
"53",53,"New Utrecht High School",70,74,72
"54",54,"Mott Hall V",74,70,72
"55",55,"KIPP AMP Charter School",69,76,72
"56",56,"High School for Health Professions and Human Servi",72,72,72
"57",57,"High School for Construction Trades, Engineering a",71,73,72
"58",58,"Frank Sinatra School of the Arts High School",69,76,72
"59",59,"Central Park East High School",74,70,72
"60",60,"Brooklyn Prospect Charter School",70,74,72
"61",61,"Benjamin N. Cardozo High School",66,79,72
"62",62,"Bayside High School",70,75,72
"63",63,"Achievement First East New York Charter School",69,76,72
"64",64,"Academy of Finance and  Enterprise",71,74,72
"65",65,"Academy of American Studies",71,72,72
"66",66,"Williamsburg Preparatory School",70,72,71
"67",67,"Urban Assembly Academy of Government and Law, The",64,78,71
"68",68,"Medgar Evers College Preparatory School",70,72,71
"69",69,"Information Technology High School",65,77,71
"70",70,"Fort Hamilton High School",70,72,71
"71",71,"Excelsior Preparatory High School",68,74,71
"72",72,"Achievement First Crown Heights Charter School",67,75,71
"73",73,"Williamsburg High School for Architecture and Desi",70,69,70
"74",74,"Urban Assembly School for Applied Math and Science",66,74,70
"75",75,"Theatre Arts Production Company School",69,71,70
"76",76,"The School for Classics: An Academy of Thinkers, W",69,70,70
"77",77,"The Brooklyn School for Math and Research",72,69,70
"78",78,"QUEENS METROPOLITAN HIGH SCHOOL",72,69,70
"79",79,"Professional Performing Arts High School",69,70,70
"80",80,"Maspeth High School",67,72,70
"81",81,"Manhattan Early College School for Advertising",66,73,70
"82",82,"Manhattan Bridges High School",70,69,70
"83",83,"Kingsborough Early College School",70,69,70
"84",84,"Jamaica Gateway to the Sciences",69,70,70
"85",85,"Hostos-Lincoln Academy of Science",63,76,70
"86",86,"East-West School of International Studies",70,70,70
"87",87,"Dr. Richard Izquierdo Health and Science Charter S",69,71,70
"88",88,"Coney Island Preparatory Public Charter School",64,75,70
"89",89,"Comprehensive Model School Project M.S. 327",68,72,70
"90",90,"Community Health Academy of the Heights",67,72,70
"91",91,"Achievement First Endeavor Charter School",68,72,70
"92",92,"Academy for Careers in Television and Film",70,70,70
"93",93,"University Prep Charter High School",67,71,69
"94",94,"THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY",69,69,69
"95",95,"Renaissance Charter School",69,69,69
"96",96,"Marble Hill High School for International Studies",70,68,69
"97",97,"Life Academy High School for Film and Music",70,68,69
"98",98,"James Madison High School",68,70,69
"99",99,"Gaynor McCown Expeditionary Learning School",67,71,69
"100",100,"Collegiate Institute for Math and Science",71,67,69
"101",101,"Young Women's Leadership School of Brooklyn",66,71,68
"102",102,"World Journalism Preparatory: A College Board Scho",68,68,68
"103",103,"William Cullen Bryant High School",70,65,68
"104",104,"Washington Heights Expeditionary Learning School",65,72,68
"105",105,"Tottenville High School",69,67,68
"106",106,"Robert H. Goddard High School of Communication Art",69,67,68
"107",107,"Queens School of Inquiry, The",67,70,68
"108",108,"Queens Gateway to Health Sciences Secondary School",62,75,68
"109",109,"Park East High School",72,64,68
"110",110,"Knowledge and Power Preparatory Academy Internatio",66,70,68
"111",111,"KIPP STAR College Prep Charter School",66,71,68
"112",112,"KIPP Infinity Charter School",62,73,68
"113",113,"KIPP Academy Charter School",64,73,68
"114",114,"Hillside Arts & Letters Academy",66,71,68
"115",115,"High School of Economics and Finance",69,66,68
"116",116,"High School for Community Leadership",68,67,68
"117",117,"Edward R. Murrow High School",66,70,68
"118",118,"Cultural Academy for the Arts and Sciences",63,72,68
"119",119,"Civic Leadership Academy",71,64,68
"120",120,"Channel View School for Research",72,65,68
"121",121,"Business Technology Early College High School",62,73,68
"122",122,"Bronx Lighthouse Charter School",69,67,68
"123",123,"Bronx Latin",68,67,68
"124",124,"The Urban Assembly School for Emergency Management",62,72,67
"125",125,"THE CINEMA SCHOOL",68,66,67
"126",126,"The Bronxwood Preparatory Academy",62,72,67
"127",127,"Rachel Carson High School for Coastal Studies",67,67,67
"128",128,"Preparatory Academy for Writers: A College Board S",67,67,67
"129",129,"New World High School",68,66,67
"130",130,"Metropolitan Expeditionary Learning School",65,69,67
"131",131,"Math, Engineering, and Science Academy Charter Hig",65,69,67
"132",132,"Frederick Douglass Academy",63,71,67
"133",133,"Energy Tech High School",64,70,67
"134",134,"Chelsea Career and Technical Education High School",66,68,67
"135",135,"Art and Design High School",64,70,67
"136",136,"Academy for Software Engineering",69,65,67
"137",137,"Urban Assembly New York Harbor School",65,68,66
"138",138,"University Neighborhood High School",64,68,66
"139",139,"The Urban Assembly School for Law and Justice",67,66,66
"140",140,"The Michael J. Petrides School",65,67,66
"141",141,"The High School of Fashion Industries",68,63,66
"142",142,"Susan E. Wagner High School",64,67,66
"143",143,"Richmond Hill High School",65,66,66
"144",144,"Repertory Company High School for Theatre Arts",72,61,66
"145",145,"Ralph R. McKee Career and Technical Education High",67,64,66
"146",146,"Newtown High School",65,66,66
"147",147,"New Dorp High School",65,66,66
"148",148,"Kingsbridge International High School",68,63,66
"149",149,"John Bowne High School",66,66,66
"150",150,"It Takes a Village Academy",63,68,66
"151",151,"In-Tech Academy (M.S. / High School 368)",64,68,66
"152",152,"High School of Hospitality Management",67,64,66
"153",153,"High School of Computers and Technology",65,66,66
"154",154,"High School for Public Service: Heroes  of Tomorro",64,69,66
"155",155,"High School for Arts and Business",70,61,66
"156",156,"Harlem Village Academy Leadership Charter School",66,65,66
"157",157,"Harlem Children's Zone Promise Academy 1 Charter S",65,67,66
"158",158,"Grover Cleveland High School",64,68,66
"159",159,"Flushing High School",62,70,66
"160",160,"City Polytechnic High School of Engineering, Archi",68,64,66
"161",161,"Brooklyn Studio Secondary School",67,64,66
"162",162,"Brooklyn Institute for Liberal Arts",68,64,66
"163",163,"Bronx River High School",66,67,66
"164",164,"Bronx Collegiate Academy",64,69,66
"165",165,"Academy for Language and Technology",69,62,66
"166",166,"Academy for Health Careers",66,67,66
"167",167,"World Academy for Total Community Health High Scho",61,69,65
"168",168,"Urban Assembly School of Design and Construction,",64,66,65
"169",169,"Urban Assembly Gateway School for Technology",68,62,65
"170",170,"Riverdale / Kingsbridge Academy (Middle School / H",66,64,65
"171",171,"Quest to Learn",66,64,65
"172",172,"Queens Vocational and Technical High School",69,61,65
"173",173,"Pace High School",67,63,65
"174",174,"High School of  Telecommunication Arts and Technol",68,62,65
"175",175,"H.E.R.O. High (Health, Education, and Research Occ",63,67,65
"176",176,"Fordham High School for the Arts",67,63,65
"177",177,"Academy of Medical Technology: A College Board Sch",68,62,65
"178",178,"Young Women's Leadership School, Queens",67,62,64
"179",179,"Urban Assembly School for Media Studies, The",66,61,64
"180",180,"Urban Assembly School for Criminal Justice",62,66,64
"181",181,"Unity Center for Urban Technologies",65,63,64
"182",182,"The Urban Assembly School for Collaborative Health",60,68,64
"183",183,"Teachers Preparatory High School",64,63,64
"184",184,"Rockaway Park High School for Environmental Sustai",63,64,64
"185",185,"Queens High School of Teaching, Liberal Arts and t",64,65,64
"186",186,"Queens Collegiate: A College Board School",64,65,64
"187",187,"NYC Charter High School for Architecture, Engineer",68,60,64
"188",188,"Monroe Academy for Visual Arts & Design",66,62,64
"189",189,"Marta Valle High School",61,66,64
"190",190,"Life Sciences Secondary School",62,65,64
"191",191,"John W. Lavelle Preparatory Charter School",63,64,64
"192",192,"John Dewey High School",66,63,64
"193",193,"John Adams High School",65,64,64
"194",194,"Hillcrest High School",65,64,64
"195",195,"High School of Language and Innovation",62,66,64
"196",196,"High School for Innovation in Advertising and Medi",66,62,64
"197",197,"High School for Environmental Studies",63,66,64
"198",198,"Harry S Truman High School",61,68,64
"199",199,"Harlem Village Academy Charter School",66,61,64
"200",200,"Gramercy Arts High School",65,63,64
"201",201,"EBC High School for Public Service - Bushwick",63,66,64
"202",202,"East New York Family Academy",64,63,64
"203",203,"Eagle Academy for Young Men II",66,63,64
"204",204,"Curtis High School",67,62,64
"205",205,"Celia Cruz Bronx High School of Music, The",64,63,64
"206",206,"Brooklyn High School of the Arts",67,62,64
"207",207,"Brooklyn Academy of Science and the Environment",66,61,64
"208",208,"Bronx School of Law and Finance",65,62,64
"209",209,"Bronx Leadership Academy II High School",65,64,64
"210",210,"Bronx High School for Law and Community Service",64,63,64
"211",211,"Bronx Early College Academy for Teaching & Learnin",64,65,64
"212",212,"Boys and Girls High School",63,64,64
"213",213,"Astor Collegiate Academy",65,63,64
"214",214,"A. Philip Randolph Campus High School",66,61,64
"215",215,"Women's Academy of Excellence",59,67,63
"216",216,"Westchester Square Academy",66,60,63
"217",217,"Robert F. Wagner, Jr. Secondary School for Arts an",63,63,63
"218",218,"Pelham Preparatory Academy",64,62,63
"219",219,"Millennium Art Academy",64,62,63
"220",220,"Lower Manhattan Arts Academy",66,60,63
"221",221,"International School for Liberal Arts",64,62,63
"222",222,"Gregorio Luperon High School for Science and Mathe",64,62,63
"223",223,"Bronx Academy of Health Careers",64,62,63
"224",224,"Benjamin Banneker Academy",64,62,63
"225",225,"Archimedes Academy for Math, Science and Technolog",64,62,63
"226",226,"World View High School",63,60,62
"227",227,"Veritas Academy",62,63,62
"228",228,"Urban Assembly Institute of Math and Science for Y",63,61,62
"229",229,"The Urban Assembly School for Global Commerce",62,63,62
"230",230,"The Urban Assembly Bronx Academy of Letters",62,61,62
"231",231,"The Metropolitan Soundview High School",64,59,62
"232",232,"The High School for Enterprise, Business and Techn",62,62,62
"233",233,"The Global Learning Collaborative",64,60,62
"234",234,"Secondary School for Law",66,58,62
"235",235,"Schuylerville Preparatory High School",61,62,62
"236",236,"School for Excellence",60,63,62
"237",237,"Port Richmond High School",63,61,62
"238",238,"New Visions Charter High School for the Humanities",62,63,62
"239",239,"New Visions Charter High School for Advanced Math",64,61,62
"240",240,"Martin Van Buren High School",64,59,62
"241",241,"Khalil Gibran International Academy",62,63,62
"242",242,"Hyde Leadership Charter School",65,60,62
"243",243,"Health Opportunities High School",62,63,62
"244",244,"East Bronx Academy for the Future",65,59,62
"245",245,"DeWitt Clinton High School",64,60,62
"246",246,"Business, Computer Applications & Entrepreneurship",64,59,62
"247",247,"Brooklyn Theatre Arts High School",64,59,62
"248",248,"Brooklyn Preparatory High School",65,60,62
"249",249,"Brooklyn High School for Law and Technology",60,64,62
"250",250,"Bronx School for Law, Government and Justice",63,61,62
"251",251,"Bronx High School for the Visual Arts",61,63,62
"252",252,"Bronx High School for Medical Science",64,59,62
"253",253,"Belmont Preparatory High School",67,57,62
"254",254,"Abraham Lincoln High School",60,63,62
"255",255,"Urban Assembly School for the Performing Arts",61,61,61
"256",256,"Transit Tech Career and Technical Education High S",58,64,61
"257",257,"The Urban Assembly School for Green Careers",64,58,61
"258",258,"School for Human Rights, The",64,58,61
"259",259,"Northside Charter High School",61,61,61
"260",260,"New Heights Academy Charter School",64,58,61
"261",261,"MANHATTAN BUSINESS ACADEMY",62,60,61
"262",262,"Juan Morel Campos Secondary School",61,61,61
"263",263,"High School for Law Enforcement and Public Safety",62,60,61
"264",264,"Henry Street School for International Studies",64,58,61
"265",265,"Academy of Urban Planning",58,64,61
"266",266,"Academy for College Preparation and Career Explora",62,60,61
"267",267,"William E. Grady Career and Technical Education Hi",62,58,60
"268",268,"Urban Assembly School for Careers in Sports",63,58,60
"269",269,"Union Square Academy for Health Sciences",62,59,60
"270",270,"The College Academy",63,56,60
"271",271,"Science Skills Center High School for Science, Tec",61,59,60
"272",272,"School for Democracy and  Leadership",56,63,60
"273",273,"Park Slope Collegiate",63,56,60
"274",274,"Mott Hall High School",58,61,60
"275",275,"Morris Academy for Collaborative Studies",58,61,60
"276",276,"Mathematics, Science Research and Technology Magne",65,56,60
"277",277,"MANHATTAN ACADEMY FOR ARTS & LANGUAGE",62,59,60
"278",278,"Long Island City High School",63,56,60
"279",279,"Jacqueline Kennedy Onassis High School",61,58,60
"280",280,"High School of Applied Communication",63,58,60
"281",281,"High School for Health Careers and Sciences",62,59,60
"282",282,"High School for Energy and Technology",61,59,60
"283",283,"High School for Arts, Imagination and Inquiry",63,58,60
"284",284,"Heritage School, The",62,58,60
"285",285,"George Washington Carver High School for the Scien",62,59,60
"286",286,"Food and Finance High School",63,56,60
"287",287,"FDNY High School for Fire and Life Safety",61,59,60
"288",288,"Eagle Academy for Young Men",62,57,60
"289",289,"BUSINESS OF SPORTS SCHOOL",63,56,60
"290",290,"Bushwick School for Social Justice",61,59,60
"291",291,"Brooklyn School for Music & Theatre",62,58,60
"292",292,"Bronx Theatre High School",66,54,60
"293",293,"Bronx Preparatory Charter School",63,58,60
"294",294,"Bronx High School of Business",64,57,60
"295",295,"Bronx Design and Construction Academy",61,60,60
"296",296,"Alfred E. Smith Career and Technical Education Hig",61,59,60
"297",297,"Academy of Innovative Technology",61,58,60
"298",298,"The Marie Curie School for Medicine, Nursing, and",63,55,59
"299",299,"Summit Academy Charter School",61,57,59
"300",300,"Richard R. Green High School of Teaching",62,56,59
"301",301,"Renaissance High School for Musical Theater & Tech",61,57,59
"302",302,"Leadership and Public Service High School",61,57,59
"303",303,"High School for Medical Professions",65,53,59
"304",304,"Herbert H. Lehman High School",63,55,59
"305",305,"DreamYard Preparatory School",61,57,59
"306",306,"Clara Barton High School",58,60,59
"307",307,"Bronx Studio School for Writers and Artists",64,54,59
"308",308,"Williamsburg Charter High School",63,53,58
"309",309,"W. H. Maxwell Career and Technical Education High",63,52,58
"310",310,"Urban Assembly School of Business for Young Women,",57,58,58
"311",311,"Sunset Park High School",66,49,58
"312",312,"School for Legal Studies",61,54,58
"313",313,"Queens Preparatory Academy",59,57,58
"314",314,"PROGRESS High School for Professional Careers",61,56,58
"315",315,"Pathways in Technology Early College High School (",67,48,58
"316",316,"Murry Bergtraum High School for Business Careers",62,54,58
"317",317,"Mott Hall Bronx High School",63,53,58
"318",318,"Metropolitan High School, The",64,53,58
"319",319,"Law, Government and Community Service High School",66,51,58
"320",320,"Humanities & Arts Magnet High School",62,53,58
"321",321,"High School of Arts and Technology",61,56,58
"322",322,"High School for Law, Advocacy and Community Justic",61,56,58
"323",323,"High School for Law and Public Service",60,55,58
"324",324,"High School for Civil Rights",60,55,58
"325",325,"Frederick Douglass Academy III Secondary School",61,56,58
"326",326,"Frederick Douglass Academy II Secondary School",61,54,58
"327",327,"Frances Perkins Academy",68,48,58
"328",328,"Eximius College Preparatory Academy: A College Boa",63,53,58
"329",329,"Eagle Academy for Young Men III",56,59,58
"330",330,"Cobble Hill School of American Studies",61,55,58
"331",331,"Brooklyn School for Global Studies",57,58,58
"332",332,"Brooklyn Collegiate: A College Board School",63,54,58
"333",333,"Bronxdale High School",60,55,58
"334",334,"Bronx High School for Writing and Communication Ar",59,58,58
"335",335,"Bronx Engineering and Technology Academy",61,56,58
"336",336,"Bronx Aerospace High School",58,59,58
"337",337,"ACORN Community High School",66,51,58
"338",338,"Academy for Environmental Leadership",58,58,58
"339",339,"47 The American Sign Language and English Secondar",60,57,58
"340",340,"West Bronx Academy for the Future",59,55,57
"341",341,"School for International Studies",56,58,57
"342",342,"Pathways College Preparatory School: A College Boa",63,51,57
"343",343,"High School of Sports Management",58,56,57
"344",344,"Fordham Leadership Academy for Business and Techno",60,54,57
"345",345,"Bronx Health Sciences High School",59,55,57
"346",346,"Bronx Career and College Preparatory High School",60,54,57
"347",347,"Urban Action Academy",58,53,56
"348",348,"The High School for Global Citizenship",62,50,56
"349",349,"Stephen T. Mather Building Arts & Craftsmanship Hi",60,52,56
"350",350,"Rockaway Collegiate High School",61,52,56
"351",351,"High School for Teaching and the Professions",62,51,56
"352",352,"George Westinghouse Career and Technical Education",57,56,56
"353",353,"Dr. Susan S. McKinney Secondary School of the Arts",59,52,56
"354",354,"Cypress Hills Collegiate Preparatory School",62,49,56
"355",355,"Cambria Heights Academy",62,51,56
"356",356,"Brooklyn Community High School of Communication, A",61,52,56
"357",357,"Bronx Envision Academy",60,51,56
"358",358,"Bronx Compass High School",57,56,56
"359",359,"Academy of Hospitality and Tourism",63,50,56
"360",360,"Academy for Young Writers",57,56,56
"361",361,"Academy for Scholarship and Entrepreneurship: A Co",63,50,56
"362",362,"Academy for Conservation and the Environment",62,51,56
"363",363,"Epic High School - North",54,56,55
"364",364,"Brooklyn Lab School",57,53,55
"365",365,"Bronx Leadership Academy High School",61,49,55
"366",366,"Automotive High School",60,50,55
"367",367,"Secondary School for Journalism",57,52,54
"368",368,"Hudson High School of Learning Technologies",58,49,54
"369",369,"High School for Media and Communications",57,50,54
"370",370,"Frederick Douglass Academy VII High School",60,49,54
"371",371,"Felisa Rincon de Gautier Institute for Law and Pub",56,52,54
"372",372,"Explorations Academy",61,47,54
"373",373,"BRONX BRIDGES HIGH SCHOOL",62,46,54
"374",374,"Arts & Media Preparatory Academy",59,50,54
"375",375,"The Uft Charter School",57,49,53
"376",376,"The Brooklyn Academy of Global Finance",60,46,53
"377",377,"High School of Graphic Communication Arts",58,48,53
"378",378,"Bushwick Leaders High School for Academic Excellen",58,48,53
"379",379,"Academy for Social Action: A College Board School",55,51,53
"380",380,"Wadleigh Secondary School for the Performing & Vis",57,48,52
"381",381,"Renaissance Charter High School for Innovation",55,50,52
"382",382,"Mott Haven Village Preparatory High School",55,50,52
"383",383,"Jonathan Levin High School for Media and Communica",59,46,52
"384",384,"Coalition School for Social Change",59,46,52
"385",385,"August Martin High School",55,50,52
"386",386,"Pablo Neruda Academy",58,44,51
"387",387,"Leadership Institute",59,43,51
"388",388,"High School for Contemporary Arts",59,43,51
"389",389,"Wings Academy",56,45,50
"390",390,"Queens High School for Information, Research, and",57,44,50
"391",391,"High School of World Cultures",57,44,50
"392",392,"ESPERANZA PREPARATORY ACADEMY",54,44,49
"393",393,"Williamsburg Collegiate Charter School",NA,69,NA
"394",394,"Washington Irving High School",NA,NA,NA
"395",395,"Victory Collegiate High School",63,NA,NA
"396",396,"Vanguard High School",NA,NA,NA
"397",397,"Validus Preparatory Academy: An Expeditionary Lear",64,NA,NA
"398",398,"Urban Assembly School for Wildlife Conservation",64,NA,NA
"399",399,"Urban Assembly High School of Music and Art",63,NA,NA
"400",400,"University Heights Secondary School",NA,NA,NA
"401",401,"Thurgood Marshall Academy for Learning and Social",64,NA,NA
"402",402,"The Opportunity Charter School",62,NA,NA
"403",403,"Sheepshead Bay High School",61,NA,NA
"404",404,"School of the Future High School",NA,NA,NA
"405",405,"School for Tourism and Hospitality",67,NA,NA
"406",406,"Samuel Gompers Career and Technical Education High",NA,NA,NA
"407",407,"Queens High School for the Sciences at York Colleg",NA,88,NA
"408",408,"Performing Arts and Technology High School",58,NA,NA
"409",409,"Pelham Lab High School",58,NA,NA
"410",410,"Peace and Diversity Academy",59,NA,NA
"411",411,"Pan American International High School at Monroe",67,NA,NA
"412",412,"Pan American International High School",64,NA,NA
"413",413,"Origins High School",65,NA,NA
"414",414,"Ocean Hill Collegiate Charter School",NA,72,NA
"415",415,"NYC iSchool",70,NA,NA
"416",416,"New Explorers High School",65,NA,NA
"417",417,"New Design High School",68,NA,NA
"418",418,"Nelson Mandela High School",53,NA,NA
"419",419,"Multicultural High School",61,NA,NA
"420",420,"Middle College High School at LaGuardia Community",NA,NA,NA
"421",421,"Manhattan Theatre Lab High School",63,NA,NA
"422",422,"Manhattan International High School",NA,NA,NA
"423",423,"M.S. 223 The Laboratory School of Finance and Tech",66,NA,NA
"424",424,"Lyons Community School",NA,NA,NA
"425",425,"Legacy School for Integrated Studies",NA,NA,NA
"426",426,"Landmark High School",NA,NA,NA
"427",427,"Kurt Hahn Expeditionary Learning School",65,NA,NA
"428",428,"Kings Collegiate Charter School",NA,67,NA
"429",429,"Jane Addams High School for Academic Careers",65,NA,NA
"430",430,"J.H.S. 157 Stephen A. Halsey",67,NA,NA
"431",431,"Inwood Early College for Health and Information Te",71,NA,NA
"432",432,"International Leadership Charter High School",75,NA,NA
"433",433,"International High School for Health Sciences",59,NA,NA
"434",434,"International High School at Union Square",63,NA,NA
"435",435,"International High School at Prospect Heights",64,NA,NA
"436",436,"International High School at LaGuardia Community C",NA,NA,NA
"437",437,"International High School at Lafayette",65,NA,NA
"438",438,"International Community High School",NA,NA,NA
"439",439,"International Arts Business School",NA,NA,NA
"440",440,"Institute for Health Professions at Cambria Height",NA,NA,NA
"441",441,"Institute for Collaborative Education",NA,NA,NA
"442",442,"Holcombe L. Rucker School of Community Research",61,NA,NA
"443",443,"High School for Youth and Community Development at",67,NA,NA
"444",444,"High School for Violin and Dance",62,NA,NA
"445",445,"High School for Service & Learning at Erasmus",70,NA,NA
"446",446,"Harvest Collegiate High School",NA,NA,NA
"447",447,"Harlem Children's Zone Promise Academy II Charter",73,NA,NA
"448",448,"Green School: An Academy for Environmental Careers",60,NA,NA
"449",449,"Grace Dodge Career and Technical Education High Sc",59,NA,NA
"450",450,"Gotham Professional Arts Academy",NA,NA,NA
"451",451,"Gateway School for Environmental Research and Tech",NA,NA,NA
"452",452,"Frederick Douglass Academy VI High School",60,NA,NA
"453",453,"Frederick Douglass Academy IV Secondary School",62,NA,NA
"454",454,"Foundations Academy",52,NA,NA
"455",455,"Foreign Language Academy of Global Studies",60,NA,NA
"456",456,"Flushing International High School",67,NA,NA
"457",457,"Fannie Lou Hamer Freedom High School",NA,NA,NA
"458",458,"Facing History School, The",NA,NA,NA
"459",459,"Expeditionary Learning School for Community Leader",NA,NA,NA
"460",460,"Excellence Boys Charter School",NA,65,NA
"461",461,"Essex Street Academy",NA,NA,NA
"462",462,"Epic High School - South",67,NA,NA
"463",463,"El Puente Academy for Peace and Justice",NA,NA,NA
"464",464,"East Side Community School",NA,NA,NA
"465",465,"Crotona International High School",55,NA,NA
"466",466,"Community School for Social Justice",NA,NA,NA
"467",467,"Claremont International HS",56,NA,NA
"468",468,"Choir Academy of Harlem",NA,NA,NA
"469",469,"Brownsville Collegiate Charter School",NA,70,NA
"470",470,"Brooklyn Secondary School for Collaborative Studie",NA,NA,NA
"471",471,"Brooklyn International High School",NA,NA,NA
"472",472,"Brooklyn Generation School",62,NA,NA
"473",473,"Brooklyn East Collegiate Charter School",NA,73,NA
"474",474,"Bronx Lab School",NA,NA,NA
"475",475,"Bronx International High School",NA,NA,NA
"476",476,"Bronx Guild",61,NA,NA
"477",477,"Bronx Collaborative High School",NA,NA,NA
"478",478,"Bronx Academy for Software Engineering (BASE)",62,NA,NA
"479",479,"Bread & Roses Integrated Arts High School",58,NA,NA
"480",480,"Benjamin Franklin High School for Finance & Inform",61,NA,NA
"481",481,"Bedford Stuyvesant Collegiate -Uncommon Collegiate",NA,63,NA
"482",482,"Beacon High School",NA,NA,NA
"483",483,"Bard High School Early College Queens",74,NA,NA
"484",484,"Bard High School Early College",73,NA,NA
"485",485,"Banana Kelly High School",58,NA,NA
"486",486,"Baccalaureate School for Global Education",NA,92,NA
"487",487,"Antonia Pantoja Preparatory Academy: A College Boa",64,NA,NA
