,ID,SchoolName,Type,Number
229,24Q236,International High School for Health Sciences,No.Enrollment,NA
230,02M438,International High School at Union Square,No.Enrollment,NA
231,17K524,International High School at Prospect Heights,No.Enrollment,0.48
232,24Q530,International High School at LaGuardia Community C,No.Enrollment,0.21
233,21K337,International High School at Lafayette,No.Enrollment,0.49
234,07X334,International Community High School,No.Enrollment,0.70
235,17K544,International Arts Business School,No.Enrollment,0.54
236,10X368,In-Tech Academy (M.S. / High School 368),No.Enrollment,0.33
237,29Q243,Institute for Health Professions at Cambria Height,No.Enrollment,NA
238,02M407,Institute for Collaborative Education,No.Enrollment,0.09
239,30Q502,Information Technology High School,No.Enrollment,0.37
240,84X345,Hyde Leadership Charter School,No.Enrollment,0.09
241,29Q498,Humanities & Arts Magnet High School,No.Enrollment,0.35
242,02M437,Hudson High School of Learning Technologies,No.Enrollment,NA
243,07X500,Hostos-Lincoln Academy of Science,No.Enrollment,0.29
244,08X332,Holcombe L. Rucker School of Community Research,No.Enrollment,0.63
245,28Q325,Hillside Arts & Letters Academy,No.Enrollment,NA
246,28Q505,Hillcrest High School,No.Enrollment,0.32
247,12X550,High School of World Cultures,No.Enrollment,0.62
248,21K348,High School of Sports Management,No.Enrollment,0.49
249,11X509,High School of Language and Innovation,No.Enrollment,NA
250,02M296,High School of Hospitality Management,No.Enrollment,0.42
251,02M625,High School of Graphic Communication Arts,No.Enrollment,0.55
252,02M489,High School of Economics and Finance,No.Enrollment,0.25
253,11X275,High School of Computers and Technology,No.Enrollment,0.34
254,03M494,High School of Arts and Technology,No.Enrollment,0.49
255,24Q267,High School of Applied Communication,No.Enrollment,0.40
256,10X696,High School of American Studies at Lehman College,No.Enrollment,0.01
257,20K485,High School of  Telecommunication Arts and Technol,No.Enrollment,0.19
258,17K537,High School for Youth and Community Development at,No.Enrollment,0.48
259,09X543,High School for Violin and Dance,No.Enrollment,0.59
260,10X433,High School for Teaching and the Professions,No.Enrollment,0.42
261,17K539,High School for Service & Learning at Erasmus,No.Enrollment,0.45
262,17K546,High School for Public Service: Heroes  of Tomorro,No.Enrollment,0.15
263,18K633,High School for Medical Professions,No.Enrollment,0.24
264,06M463,High School for Media and Communications,No.Enrollment,0.54
265,05M692,"High School for Mathematics, Science and Engineeri",No.Enrollment,0.04
266,03M492,"High School for Law, Advocacy and Community Justic",No.Enrollment,0.44
267,28Q690,High School for Law Enforcement and Public Safety,No.Enrollment,0.37
268,06M467,High School for Law and Public Service,No.Enrollment,0.39
269,18K617,High School for Innovation in Advertising and Medi,No.Enrollment,0.41
270,02M420,High School for Health Professions and Human Servi,No.Enrollment,0.18
271,06M468,High School for Health Careers and Sciences,No.Enrollment,0.57
272,02M400,High School for Environmental Studies,No.Enrollment,0.21
273,10X565,High School for Energy and Technology,No.Enrollment,NA
274,02M545,High School for Dual Language and Asian Studies,No.Enrollment,0.16
275,11X544,High School for Contemporary Arts,No.Enrollment,0.58
276,27Q650,"High School for Construction Trades, Engineering a",No.Enrollment,0.18
277,28Q328,High School for Community Leadership,No.Enrollment,NA
278,19K504,High School for Civil Rights,No.Enrollment,0.65
279,03M299,"High School for Arts, Imagination and Inquiry",No.Enrollment,0.43
280,24Q550,High School for Arts and Business,No.Enrollment,0.31
281,04M680,"Heritage School, The",No.Enrollment,0.50
282,08X405,Herbert H. Lehman High School,No.Enrollment,0.51
283,01M292,Henry Street School for International Studies,No.Enrollment,0.48
284,07X670,Health Opportunities High School,No.Enrollment,0.43
285,02M534,Harvest Collegiate High School,No.Enrollment,NA
286,11X455,Harry S Truman High School,No.Enrollment,0.57
287,84M335,Harlem Village Academy Leadership Charter School,No.Enrollment,0.08
288,84M709,Harlem Village Academy Charter School,No.Enrollment,0.17
289,84M341,Harlem Children's Zone Promise Academy II Charter,No.Enrollment,NA
290,84M284,Harlem Children's Zone Promise Academy 1 Charter S,No.Enrollment,0.09
291,07X259,"H.E.R.O. High (Health, Education, and Research Occ",No.Enrollment,NA
292,24Q485,Grover Cleveland High School,No.Enrollment,0.52
293,06M552,Gregorio Luperon High School for Science and Mathe,No.Enrollment,0.40
294,14K454,Green School: An Academy for Environmental Careers,No.Enrollment,0.68
295,02M374,Gramercy Arts High School,No.Enrollment,0.35
296,10X660,Grace Dodge Career and Technical Education High Sc,No.Enrollment,0.70
297,16K594,Gotham Professional Arts Academy,No.Enrollment,0.35
298,13K605,George Westinghouse Career and Technical Education,No.Enrollment,0.51
299,29Q272,George Washington Carver High School for the Scien,No.Enrollment,0.34
300,31R064,Gaynor McCown Expeditionary Learning School,No.Enrollment,0.30
301,08X295,Gateway School for Environmental Research and Tech,No.Enrollment,0.70
302,23K514,Frederick Douglass Academy VII High School,No.Enrollment,0.55
303,27Q260,Frederick Douglass Academy VI High School,No.Enrollment,0.50
304,16K393,Frederick Douglass Academy IV Secondary School,No.Enrollment,0.47
305,09X517,Frederick Douglass Academy III Secondary School,No.Enrollment,0.57
306,03M860,Frederick Douglass Academy II Secondary School,No.Enrollment,0.51
307,05M499,Frederick Douglass Academy,No.Enrollment,0.18
308,20K505,Franklin Delano Roosevelt High School,No.Enrollment,0.41
309,30Q501,Frank Sinatra School of the Arts High School,No.Enrollment,0.06
310,03M417,FRANK McCOURT HIGH SCHOOL,No.Enrollment,NA
311,26Q430,Francis Lewis High School,No.Enrollment,0.19
312,14K632,Frances Perkins Academy,No.Enrollment,0.68
313,14K322,Foundations Academy,No.Enrollment,0.81
314,20K490,Fort Hamilton High School,No.Enrollment,0.31
315,28Q440,Forest Hills High School,No.Enrollment,0.19
316,07X520,Foreign Language Academy of Global Studies,No.Enrollment,0.51
317,10X438,Fordham Leadership Academy for Business and Techno,No.Enrollment,0.61
318,10X437,Fordham High School for the Arts,No.Enrollment,0.44
319,02M288,Food and Finance High School,No.Enrollment,0.45
320,25Q263,Flushing International High School,No.Enrollment,0.23
321,25Q460,Flushing High School,No.Enrollment,0.49
322,03M485,Fiorello H. LaGuardia High School of Music & Art a,No.Enrollment,0.12
323,08X519,Felisa Rincon de Gautier Institute for Law and Pub,No.Enrollment,0.68
324,19K502,FDNY High School for Fire and Life Safety,No.Enrollment,0.64
325,12X682,Fannie Lou Hamer Freedom High School,No.Enrollment,0.49
326,02M303,"Facing History School, The",No.Enrollment,0.41
327,12X251,Explorations Academy,No.Enrollment,0.56
328,21K572,Expeditionary Learning School for Community Leader,No.Enrollment,0.27
329,09X250,Eximius College Preparatory Academy: A College Boa,No.Enrollment,0.32
330,29Q265,Excelsior Preparatory High School,No.Enrollment,0.36
331,84K593,Excellence Boys Charter School,No.Enrollment,NA
332,02M294,Essex Street Academy,No.Enrollment,0.40
333,04M372,ESPERANZA PREPARATORY ACADEMY,No.Enrollment,NA
334,27Q314,Epic High School - South,No.Enrollment,NA
335,27Q334,Epic High School - North,No.Enrollment,NA
336,30Q258,Energy Tech High School,No.Enrollment,NA
337,02M416,Eleanor Roosevelt High School,No.Enrollment,0.06
338,14K685,El Puente Academy for Peace and Justice,No.Enrollment,0.43
339,21K525,Edward R. Murrow High School,No.Enrollment,0.23
340,32K545,EBC High School for Public Service - Bushwick,No.Enrollment,0.37
341,25Q281,East-West School of International Studies,No.Enrollment,0.13
342,01M450,East Side Community School,No.Enrollment,0.23
343,19K409,East New York Family Academy,No.Enrollment,0.20
344,12X271,East Bronx Academy for the Future,No.Enrollment,0.51
345,29Q327,Eagle Academy for Young Men III,No.Enrollment,NA
346,23K644,Eagle Academy for Young Men II,No.Enrollment,NA
347,09X231,Eagle Academy for Young Men,No.Enrollment,0.39
348,09X329,DreamYard Preparatory School,No.Enrollment,0.67
349,13K265,Dr. Susan S. McKinney Secondary School of the Arts,No.Enrollment,0.48
350,84X482,Dr. Richard Izquierdo Health and Science Charter S,No.Enrollment,NA
351,10X549,Discovery High School,No.Enrollment,0.54
352,10X440,DeWitt Clinton High School,No.Enrollment,0.49
353,84M481,Democracy Prep Harlem Charter School,No.Enrollment,NA
354,84M350,Democracy Prep Charter School,No.Enrollment,0.32
355,19K659,Cypress Hills Collegiate Preparatory School,No.Enrollment,0.52
356,31R450,Curtis High School,No.Enrollment,0.35
357,18K629,Cultural Academy for the Arts and Sciences,No.Enrollment,0.54
358,31R047,CSI High School for International Studies,No.Enrollment,0.09
359,10X524,Crotona International High School,No.Enrollment,NA
360,84K744,Coney Island Preparatory Public Charter School,No.Enrollment,NA
361,09X327,Comprehensive Model School Project M.S. 327,No.Enrollment,NA
362,07X427,Community School for Social Justice,No.Enrollment,0.40
363,06M346,Community Health Academy of the Heights,No.Enrollment,0.34
364,05M362,Columbia Secondary School,No.Enrollment,NA
365,11X288,Collegiate Institute for Math and Science,No.Enrollment,0.19
366,15K519,Cobble Hill School of American Studies,No.Enrollment,0.37
367,04M409,Coalition School for Social Change,No.Enrollment,0.59
368,09X564,Claremont International HS,No.Enrollment,NA
369,17K600,Clara Barton High School,No.Enrollment,0.30
370,24Q293,Civic Leadership Academy,No.Enrollment,0.17
371,13K674,"City Polytechnic High School of Engineering, Archi",No.Enrollment,0.11
372,06M293,City College Academy of the Arts,No.Enrollment,0.06
373,05M469,Choir Academy of Harlem,No.Enrollment,0.70
374,02M615,Chelsea Career and Technical Education High School,No.Enrollment,0.30
375,27Q262,Channel View School for Research,No.Enrollment,0.26
376,04M555,Central Park East High School,No.Enrollment,0.13
377,10X442,"Celia Cruz Bronx High School of Music, The",No.Enrollment,0.28
378,29Q326,Cambria Heights Academy,No.Enrollment,NA
379,29Q496,"Business, Computer Applications & Entrepreneurship",No.Enrollment,0.62
380,26Q315,Business Technology Early College High School,No.Enrollment,NA
381,02M393,BUSINESS OF SPORTS SCHOOL,No.Enrollment,0.38
382,32K549,Bushwick School for Social Justice,No.Enrollment,0.57
383,32K556,Bushwick Leaders High School for Academic Excellen,No.Enrollment,0.48
384,84K710,Brownsville Collegiate Charter School,No.Enrollment,NA
385,18K567,Brooklyn Theatre Arts High School,No.Enrollment,0.49
386,13K430,Brooklyn Technical High School,No.Enrollment,0.03
387,21K690,Brooklyn Studio Secondary School,No.Enrollment,0.33
388,15K448,Brooklyn Secondary School for Collaborative Studie,No.Enrollment,0.23
389,17K548,Brooklyn School for Music & Theatre,No.Enrollment,0.43
390,15K429,Brooklyn School for Global Studies,No.Enrollment,0.37
391,84K707,Brooklyn Prospect Charter School,No.Enrollment,NA
392,14K488,Brooklyn Preparatory High School,No.Enrollment,0.39
393,14K449,"Brooklyn Latin School, The",No.Enrollment,0.02
394,19K639,Brooklyn Lab School,No.Enrollment,0.67
395,13K439,Brooklyn International High School,No.Enrollment,0.25
396,17K745,Brooklyn Institute for Liberal Arts,No.Enrollment,NA
397,15K656,Brooklyn High School of the Arts,No.Enrollment,0.28
398,16K498,Brooklyn High School for Law and Technology,No.Enrollment,0.58
399,18K566,Brooklyn Generation School,No.Enrollment,0.49
400,84K780,Brooklyn East Collegiate Charter School,No.Enrollment,NA
401,13K412,"Brooklyn Community High School of Communication, A",No.Enrollment,0.42
402,23K493,Brooklyn Collegiate: A College Board School,No.Enrollment,0.41
403,22K555,Brooklyn College Academy,No.Enrollment,0.08
404,17K547,Brooklyn Academy of Science and the Environment,No.Enrollment,0.45
405,11X508,Bronxdale High School,No.Enrollment,NA
406,10X546,Bronx Theatre High School,No.Enrollment,0.38
407,08X269,Bronx Studio School for Writers and Artists,No.Enrollment,0.42
408,10X284,Bronx School of Law and Finance,No.Enrollment,0.35
409,09X505,"Bronx School for Law, Government and Justice",No.Enrollment,0.22
410,08X349,Bronx River High School,No.Enrollment,NA
411,84X703,Bronx Preparatory Charter School,No.Enrollment,0.15
412,84X185,Bronx Lighthouse Charter School,No.Enrollment,NA
413,07X527,Bronx Leadership Academy II High School,No.Enrollment,0.40
414,09X525,Bronx Leadership Academy High School,No.Enrollment,0.53
415,12X267,Bronx Latin,No.Enrollment,0.50
416,11X265,Bronx Lab School,No.Enrollment,0.44
417,09X403,Bronx International High School,No.Enrollment,0.55
418,10X445,Bronx High School of Science,No.Enrollment,0.02
419,09X412,Bronx High School of Business,No.Enrollment,0.62
420,11X253,Bronx High School for Writing and Communication Ar,No.Enrollment,0.69
421,11X418,Bronx High School for the Visual Arts,No.Enrollment,0.53
422,09X413,Bronx High School for Medical Science,No.Enrollment,0.25
423,10X439,Bronx High School for Law and Community Service,No.Enrollment,0.41
424,11X249,Bronx Health Sciences High School,No.Enrollment,0.22
425,08X452,Bronx Guild,No.Enrollment,0.57
426,12X511,Bronx Envision Academy,No.Enrollment,NA
427,10X213,Bronx Engineering and Technology Academy,No.Enrollment,0.34
428,09X324,Bronx Early College Academy for Teaching & Learnin,No.Enrollment,0.22
429,07X522,Bronx Design and Construction Academy,No.Enrollment,NA
430,08X561,Bronx Compass High School,No.Enrollment,NA
431,09X227,Bronx Collegiate Academy,No.Enrollment,0.57
432,10X351,Bronx Collaborative High School,No.Enrollment,NA
433,09X260,Bronx Center for Science and Mathematics,No.Enrollment,0.14
434,12X479,Bronx Career and College Preparatory High School,No.Enrollment,0.46
435,08X432,BRONX BRIDGES HIGH SCHOOL,No.Enrollment,NA
436,11X545,Bronx Aerospace High School,No.Enrollment,0.48
437,11X290,Bronx Academy of Health Careers,No.Enrollment,0.37
438,10X264,Bronx Academy for Software Engineering (BASE),No.Enrollment,NA
439,05M685,Bread & Roses Integrated Arts High School,No.Enrollment,0.69
