,ID,SchoolName,Type,Number
1,28Q896,"Young Women's Leadership School, Queens",No.Enrollment,0.15
2,30Q286,"Young Women's Leadership School, Astoria",No.Enrollment,0.07
3,14K614,Young Women's Leadership School of Brooklyn,No.Enrollment,NA
4,04M610,Young Women's Leadership School,No.Enrollment,0.03
5,28Q284,York Early College Academy,No.Enrollment,0.06
6,10X353,World View High School,No.Enrollment,NA
7,25Q285,World Journalism Preparatory: A College Board Scho,No.Enrollment,0.16
8,19K510,World Academy for Total Community Health High Scho,No.Enrollment,0.46
9,08X282,Women's Academy of Excellence,No.Enrollment,0.40
10,12X684,Wings Academy,No.Enrollment,0.48
11,14K561,Williamsburg Preparatory School,No.Enrollment,0.22
12,14K558,Williamsburg High School for Architecture and Desi,No.Enrollment,0.33
13,84K355,Williamsburg Collegiate Charter School,No.Enrollment,0.03
14,84K473,Williamsburg Charter High School,No.Enrollment,0.30
15,21K620,William E. Grady Career and Technical Education Hi,No.Enrollment,0.58
16,30Q445,William Cullen Bryant High School,No.Enrollment,0.39
17,08X558,Westchester Square Academy,No.Enrollment,NA
18,10X243,West Bronx Academy for the Future,No.Enrollment,0.40
19,02M460,Washington Irving High School,No.Enrollment,0.59
20,06M348,Washington Heights Expeditionary Learning School,No.Enrollment,0.28
21,03M415,Wadleigh Secondary School for the Performing & Vis,No.Enrollment,0.61
22,19K660,W. H. Maxwell Career and Technical Education High,No.Enrollment,0.60
23,18K576,Victory Collegiate High School,No.Enrollment,0.31
24,25Q240,Veritas Academy,No.Enrollment,NA
25,02M449,Vanguard High School,No.Enrollment,0.40
26,09X263,Validus Preparatory Academy: An Expeditionary Lear,No.Enrollment,0.40
27,02M300,"Urban Assembly School of Design and Construction,",No.Enrollment,0.38
28,02M316,"Urban Assembly School of Business for Young Women,",No.Enrollment,0.26
29,12X372,Urban Assembly School for Wildlife Conservation,No.Enrollment,NA
30,05M369,Urban Assembly School for the Performing Arts,No.Enrollment,0.43
31,03M307,"Urban Assembly School for Media Studies, The",No.Enrollment,0.49
32,20K609,Urban Assembly School for Criminal Justice,No.Enrollment,NA
33,07X548,Urban Assembly School for Careers in Sports,No.Enrollment,0.46
34,09X241,Urban Assembly School for Applied Math and Science,No.Enrollment,0.23
35,02M551,Urban Assembly New York Harbor School,No.Enrollment,0.39
36,02M282,Urban Assembly Maker Academy,No.Enrollment,NA
37,13K527,Urban Assembly Institute of Math and Science for Y,No.Enrollment,0.19
38,13K350,Urban Assembly High School of Music and Art,No.Enrollment,0.59
39,02M507,Urban Assembly Gateway School for Technology,No.Enrollment,NA
40,02M305,"Urban Assembly Academy of Government and Law, The",No.Enrollment,0.28
41,18K642,Urban Action Academy,No.Enrollment,0.36
42,84X393,University Prep Charter High School,No.Enrollment,0.13
43,01M448,University Neighborhood High School,No.Enrollment,0.40
44,07X495,University Heights Secondary School,No.Enrollment,0.22
45,02M500,Unity Center for Urban Technologies,No.Enrollment,0.59
46,02M533,Union Square Academy for Health Sciences,No.Enrollment,NA
47,19K615,Transit Tech Career and Technical Education High S,No.Enrollment,0.50
48,25Q525,Townsend Harris High School,No.Enrollment,0.00
49,31R455,Tottenville High School,No.Enrollment,0.26
50,05M670,Thurgood Marshall Academy for Learning and Social,No.Enrollment,0.11
51,28Q620,Thomas A. Edison Career and Technical Education Hi,No.Enrollment,0.26
52,10X225,Theatre Arts Production Company School,No.Enrollment,0.21
53,13K483,The Urban Assembly School for Law and Justice,No.Enrollment,0.09
54,03M402,The Urban Assembly School for Green Careers,No.Enrollment,0.57
55,05M157,The Urban Assembly School for Global Commerce,No.Enrollment,NA
56,02M135,The Urban Assembly School for Emergency Management,No.Enrollment,NA
57,19K764,The Urban Assembly School for Collaborative Health,No.Enrollment,NA
58,07X551,The Urban Assembly Bronx Academy of Letters,No.Enrollment,0.26
59,84K359,The Uft Charter School,No.Enrollment,0.20
60,19K683,"The School for Classics: An Academy of Thinkers, W",No.Enrollment,0.49
61,84M279,The Opportunity Charter School,No.Enrollment,0.57
62,31R080,The Michael J. Petrides School,No.Enrollment,0.14
63,12X521,The Metropolitan Soundview High School,No.Enrollment,NA
64,10X237,"The Marie Curie School for Medicine, Nursing, and",No.Enrollment,0.38
65,02M600,The High School of Fashion Industries,No.Enrollment,0.23
66,02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,No.Enrollment,0.39
67,17K528,The High School for Global Citizenship,No.Enrollment,0.51
68,14K478,"The High School for Enterprise, Business and Techn",No.Enrollment,0.27
69,03M403,The Global Learning Collaborative,No.Enrollment,0.55
70,84X488,The Equality Charter School,No.Enrollment,NA
71,06M462,The College Academy,No.Enrollment,0.42
72,12X478,THE CINEMA SCHOOL,No.Enrollment,0.24
73,32K168,The Brooklyn School for Math and Research,No.Enrollment,NA
74,16K688,The Brooklyn Academy of Global Finance,No.Enrollment,0.60
75,11X514,The Bronxwood Preparatory Academy,No.Enrollment,0.56
76,23K697,Teachers Preparatory High School,No.Enrollment,0.41
77,02M519,Talent Unlimited High School,No.Enrollment,0.12
78,31R460,Susan E. Wagner High School,No.Enrollment,0.23
79,15K667,Sunset Park High School,No.Enrollment,0.37
80,84K730,Summit Academy Charter School,No.Enrollment,NA
81,02M475,Stuyvesant High School,No.Enrollment,0.01
82,02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,No.Enrollment,NA
83,31R605,Staten Island Technical High School,No.Enrollment,0.01
84,03M859,Special Music School,No.Enrollment,NA
85,07X221,South Bronx Preparatory: A College Board School,No.Enrollment,0.33
86,22K495,Sheepshead Bay High School,No.Enrollment,0.55
87,15K462,Secondary School for Law,No.Enrollment,0.32
88,15K463,Secondary School for Journalism,No.Enrollment,0.44
89,17K543,"Science, Technology and Research Early College Hig",No.Enrollment,0.07
90,13K419,"Science Skills Center High School for Science, Tec",No.Enrollment,0.44
91,08X348,Schuylerville Preparatory High School,No.Enrollment,NA
92,02M413,School of the Future High School,No.Enrollment,0.10
93,08X559,School for Tourism and Hospitality,No.Enrollment,NA
94,14K477,School for Legal Studies,No.Enrollment,0.64
95,15K497,School for International Studies,No.Enrollment,0.41
96,17K531,"School for Human Rights, The",No.Enrollment,0.45
97,09X404,School for Excellence,No.Enrollment,0.54
98,17K533,School for Democracy and  Leadership,No.Enrollment,0.56
99,27Q323,Scholars' Academy,No.Enrollment,0.01
100,07X655,Samuel Gompers Career and Technical Education High,No.Enrollment,0.75
101,27Q324,Rockaway Park High School for Environmental Sustai,No.Enrollment,NA
102,27Q351,Rockaway Collegiate High School,No.Enrollment,NA
103,27Q308,Robert H. Goddard High School of Communication Art,No.Enrollment,0.21
104,24Q560,"Robert F. Wagner, Jr. Secondary School for Arts an",No.Enrollment,0.22
105,25Q670,Robert F. Kennedy Community High School,No.Enrollment,0.25
106,10X141,Riverdale / Kingsbridge Academy (Middle School / H,No.Enrollment,0.25
107,27Q475,Richmond Hill High School,No.Enrollment,0.52
108,02M580,Richard R. Green High School of Teaching,No.Enrollment,0.35
109,02M531,Repertory Company High School for Theatre Arts,No.Enrollment,0.18
110,08X293,Renaissance High School for Musical Theater & Tech,No.Enrollment,0.37
111,84Q705,Renaissance Charter School,No.Enrollment,0.09
112,84M433,Renaissance Charter High School for Innovation,No.Enrollment,NA
113,31R600,Ralph R. McKee Career and Technical Education High,No.Enrollment,0.48
114,21K344,Rachel Carson High School for Coastal Studies,No.Enrollment,0.27
115,02M422,Quest to Learn,No.Enrollment,NA
116,24Q600,Queens Vocational and Technical High School,No.Enrollment,0.29
117,25Q252,"Queens School of Inquiry, The",No.Enrollment,0.09
118,29Q248,Queens Preparatory Academy,No.Enrollment,0.50
119,28Q686,QUEENS METROPOLITAN HIGH SCHOOL,No.Enrollment,NA
120,26Q566,"Queens High School of Teaching, Liberal Arts and t",No.Enrollment,0.18
121,28Q687,Queens High School for the Sciences at York Colleg,No.Enrollment,0.07
122,25Q241,Queens High School for Language Studies,No.Enrollment,NA
123,27Q302,"Queens High School for Information, Research, and",No.Enrollment,0.64
124,28Q680,Queens Gateway to Health Sciences Secondary School,No.Enrollment,0.02
125,28Q310,Queens Collegiate: A College Board School,No.Enrollment,0.25
126,14K474,PROGRESS High School for Professional Careers,No.Enrollment,0.53
127,02M408,Professional Performing Arts High School,No.Enrollment,0.27
128,29Q283,Preparatory Academy for Writers: A College Board S,No.Enrollment,0.37
129,31R445,Port Richmond High School,No.Enrollment,0.46
130,19K507,Performing Arts and Technology High School,No.Enrollment,0.54
131,11X542,Pelham Preparatory Academy,No.Enrollment,0.14
132,08X320,Pelham Lab High School,No.Enrollment,NA
133,12X278,Peace and Diversity Academy,No.Enrollment,0.70
134,17K122,Pathways in Technology Early College High School (,No.Enrollment,NA
135,29Q259,Pathways College Preparatory School: A College Boa,No.Enrollment,0.32
136,15K464,Park Slope Collegiate,No.Enrollment,0.54
137,04M495,Park East High School,No.Enrollment,0.37
138,12X388,Pan American International High School at Monroe,No.Enrollment,0.45
139,24Q296,Pan American International High School,No.Enrollment,0.61
140,02M298,Pace High School,No.Enrollment,0.18
141,08X305,Pablo Neruda Academy,No.Enrollment,0.63
142,22K611,Origins High School,No.Enrollment,NA
143,84K777,Ocean Hill Collegiate Charter School,No.Enrollment,NA
144,02M376,NYC iSchool,No.Enrollment,0.17
145,84X395,"NYC Charter High School for Architecture, Engineer",No.Enrollment,0.48
146,84K693,Northside Charter High School,No.Enrollment,0.24
147,24Q455,Newtown High School,No.Enrollment,0.49
148,30Q555,Newcomers High School,No.Enrollment,0.38
149,11X513,New World High School,No.Enrollment,0.23
150,84X553,New Visions Charter High School for the Humanities,No.Enrollment,NA
151,84X539,New Visions Charter High School for Advanced Math,No.Enrollment,NA
152,20K445,New Utrecht High School,No.Enrollment,0.38
153,84M353,New Heights Academy Charter School,No.Enrollment,0.24
154,07X547,New Explorers High School,No.Enrollment,0.59
155,01M539,"New Explorations into Science, Technology and Math",No.Enrollment,0.07
156,31R440,New Dorp High School,No.Enrollment,0.39
157,02M543,New Design High School,No.Enrollment,0.38
158,16K765,Nelson Mandela High School,No.Enrollment,NA
159,02M414,N.Y.C. Museum School,No.Enrollment,0.10
160,02M412,N.Y.C. Lab School for Collaborative Studies,No.Enrollment,0.07
161,02M520,Murry Bergtraum High School for Business Careers,No.Enrollment,0.50
162,19K583,Multicultural High School,No.Enrollment,0.67
163,07X473,Mott Haven Village Preparatory High School,No.Enrollment,0.58
164,12X242,Mott Hall V,No.Enrollment,NA
165,05M304,Mott Hall High School,No.Enrollment,0.36
166,09X252,Mott Hall Bronx High School,No.Enrollment,0.21
167,09X297,Morris Academy for Collaborative Studies,No.Enrollment,0.54
168,12X692,Monroe Academy for Visual Arts & Design,No.Enrollment,0.64
169,02M418,Millennium High School,No.Enrollment,0.08
170,15K684,Millennium Brooklyn HS,No.Enrollment,NA
171,08X312,Millennium Art Academy,No.Enrollment,0.47
172,22K405,Midwood High School,No.Enrollment,0.18
173,24Q520,Middle College High School at LaGuardia Community,No.Enrollment,0.26
174,12X248,"Metropolitan High School, The",No.Enrollment,0.37
175,28Q167,Metropolitan Expeditionary Learning School,No.Enrollment,NA
176,17K590,Medgar Evers College Preparatory School,No.Enrollment,0.21
177,29Q492,"Mathematics, Science Research and Technology Magne",No.Enrollment,0.38
178,84K733,"Math, Engineering, and Science Academy Charter Hig",No.Enrollment,NA
179,24Q585,Maspeth High School,No.Enrollment,NA
180,26Q435,Martin Van Buren High School,No.Enrollment,0.47
181,01M509,Marta Valle High School,No.Enrollment,0.70
182,10X477,Marble Hill High School for International Studies,No.Enrollment,0.17
183,02M439,Manhattan Village Academy,No.Enrollment,0.07
184,03M283,Manhattan Theatre Lab High School,No.Enrollment,0.49
185,02M459,Manhattan International High School,No.Enrollment,0.30
186,02M280,Manhattan Early College School for Advertising,No.Enrollment,NA
187,04M435,Manhattan Center for Science and Mathematics,No.Enrollment,0.15
188,02M392,MANHATTAN BUSINESS ACADEMY,No.Enrollment,0.28
189,02M542,Manhattan Bridges High School,No.Enrollment,0.28
190,02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,No.Enrollment,NA
191,03M541,Manhattan / Hunter Science High School,No.Enrollment,0.08
192,07X223,M.S. 223 The Laboratory School of Finance and Tech,No.Enrollment,NA
193,14K586,Lyons Community School,No.Enrollment,0.54
194,02M308,Lower Manhattan Arts Academy,No.Enrollment,0.27
195,30Q450,Long Island City High School,No.Enrollment,0.45
196,02M655,Life Sciences Secondary School,No.Enrollment,0.43
197,21K559,Life Academy High School for Film and Music,No.Enrollment,0.44
198,22K535,Leon M. Goldstein High School for the Sciences,No.Enrollment,0.06
199,02M429,Legacy School for Integrated Studies,No.Enrollment,0.61
200,09X276,Leadership Institute,No.Enrollment,0.63
201,02M425,Leadership and Public Service High School,No.Enrollment,0.45
202,29Q494,"Law, Government and Community Service High School",No.Enrollment,0.58
203,02M419,Landmark High School,No.Enrollment,0.54
204,18K569,Kurt Hahn Expeditionary Learning School,No.Enrollment,0.41
205,10X374,Knowledge and Power Preparatory Academy Internatio,No.Enrollment,0.26
206,84M726,KIPP STAR College Prep Charter School,No.Enrollment,0.14
207,84M336,KIPP Infinity Charter School,No.Enrollment,0.04
208,84K357,KIPP AMP Charter School,No.Enrollment,0.23
209,84X704,KIPP Academy Charter School,No.Enrollment,0.06
210,10X268,Kingsbridge International High School,No.Enrollment,0.50
211,21K468,Kingsborough Early College School,No.Enrollment,0.10
212,84K608,Kings Collegiate Charter School,No.Enrollment,NA
213,15K592,Khalil Gibran International Academy,No.Enrollment,NA
214,14K071,Juan Morel Campos Secondary School,No.Enrollment,0.60
215,09X414,Jonathan Levin High School for Media and Communica,No.Enrollment,0.74
216,84R067,John W. Lavelle Preparatory Charter School,No.Enrollment,NA
217,21K540,John Dewey High School,No.Enrollment,0.33
218,25Q425,John Bowne High School,No.Enrollment,0.39
219,27Q480,John Adams High School,No.Enrollment,0.56
220,08X650,Jane Addams High School for Academic Careers,No.Enrollment,0.64
221,22K425,James Madison High School,No.Enrollment,0.27
222,28Q350,Jamaica Gateway to the Sciences,No.Enrollment,0.15
223,02M529,Jacqueline Kennedy Onassis High School,No.Enrollment,0.46
224,28Q157,J.H.S. 157 Stephen A. Halsey,No.Enrollment,NA
225,18K563,It Takes a Village Academy,No.Enrollment,0.17
226,06M211,Inwood Early College for Health and Information Te,No.Enrollment,NA
227,10X342,International School for Liberal Arts,No.Enrollment,0.41
228,84X347,International Leadership Charter High School,No.Enrollment,0.04
