"","Ranking","School Name","Averaged Score (%)"
"151",151,"Hudson High School of Learning Technologies",87
"152",152,"Harlem Children's Zone Promise Academy 1 Charter S",87
"153",153,"Fordham High School for the Arts",87
"154",154,"Excelsior Preparatory High School",87
"155",155,"Edward R. Murrow High School",87
"156",156,"East Bronx Academy for the Future",87
"157",157,"Eagle Academy for Young Men II",87
"158",158,"Dr. Richard Izquierdo Health and Science Charter S",87
"159",159,"Bushwick School for Social Justice",87
"160",160,"Brooklyn Generation School",87
"161",161,"Brooklyn Community High School of Communication, A",87
"162",162,"Bronxdale High School",87
"163",163,"Bronx High School for Law and Community Service",87
"164",164,"Bronx Guild",87
"165",165,"Bronx Design and Construction Academy",87
"166",166,"Bronx Compass High School",87
"167",167,"Bronx Career and College Preparatory High School",87
"168",168,"Bronx Academy for Software Engineering (BASE)",87
"169",169,"Aviation Career & Technical Education High School",87
"170",170,"Academy for Language and Technology",87
"171",171,"Washington Heights Expeditionary Learning School",86
"172",172,"The Brooklyn School for Math and Research",86
"173",173,"Stephen T. Mather Building Arts & Craftsmanship Hi",86
"174",174,"Robert F. Wagner, Jr. Secondary School for Arts an",86
"175",175,"Rachel Carson High School for Coastal Studies",86
"176",176,"Queens School of Inquiry, The",86
"177",177,"Port Richmond High School",86
"178",178,"Pelham Preparatory Academy",86
"179",179,"Pathways in Technology Early College High School (",86
"180",180,"Pablo Neruda Academy",86
"181",181,"Multicultural High School",86
"182",182,"Mott Hall V",86
"183",183,"Millennium High School",86
"184",184,"Marble Hill High School for International Studies",86
"185",185,"Lower Manhattan Arts Academy",86
"186",186,"Kingsbridge International High School",86
"187",187,"Juan Morel Campos Secondary School",86
"188",188,"Jonathan Levin High School for Media and Communica",86
"189",189,"J.H.S. 157 Stephen A. Halsey",86
"190",190,"Hyde Leadership Charter School",86
"191",191,"Holcombe L. Rucker School of Community Research",86
"192",192,"High School of Hospitality Management",86
"193",193,"High School for Health Professions and Human Servi",86
"194",194,"Health Opportunities High School",86
"195",195,"Democracy Prep Harlem Charter School",86
"196",196,"Bronx River High School",86
"197",197,"Bronx High School for Medical Science",86
"198",198,"Academy of Urban Planning",86
"199",199,"Academy of Finance and  Enterprise",86
"200",200,"Williamsburg Charter High School",85
"201",201,"William E. Grady Career and Technical Education Hi",85
"202",202,"Washington Irving High School",85
"203",203,"Victory Collegiate High School",85
"204",204,"Urban Assembly Maker Academy",85
"205",205,"Urban Assembly Institute of Math and Science for Y",85
"206",206,"Urban Action Academy",85
"207",207,"Theatre Arts Production Company School",85
"208",208,"The Metropolitan Soundview High School",85
"209",209,"The College Academy",85
"210",210,"Sunset Park High School",85
"211",211,"Secondary School for Law",85
"212",212,"School for Legal Studies",85
"213",213,"Robert F. Kennedy Community High School",85
"214",214,"Queens Vocational and Technical High School",85
"215",215,"Professional Performing Arts High School",85
"216",216,"NYC Charter High School for Architecture, Engineer",85
"217",217,"Northside Charter High School",85
"218",218,"New Visions Charter High School for Advanced Math",85
"219",219,"New Heights Academy Charter School",85
"220",220,"Millennium Art Academy",85
"221",221,"Manhattan Center for Science and Mathematics",85
"222",222,"Legacy School for Integrated Studies",85
"223",223,"Leadership Institute",85
"224",224,"Law, Government and Community Service High School",85
"225",225,"Landmark High School",85
"226",226,"James Madison High School",85
"227",227,"High School of Sports Management",85
"228",228,"High School for Youth and Community Development at",85
"229",229,"Harlem Children's Zone Promise Academy II Charter",85
"230",230,"H.E.R.O. High (Health, Education, and Research Occ",85
"231",231,"George Washington Carver High School for the Scien",85
"232",232,"Gaynor McCown Expeditionary Learning School",85
"233",233,"Gateway School for Environmental Research and Tech",85
"234",234,"Frank Sinatra School of the Arts High School",85
"235",235,"Eleanor Roosevelt High School",85
"236",236,"East-West School of International Studies",85
"237",237,"Coalition School for Social Change",85
"238",238,"Choir Academy of Harlem",85
"239",239,"Chelsea Career and Technical Education High School",85
"240",240,"Bronx Leadership Academy II High School",85
"241",241,"Bronx High School of Science",85
"242",242,"Bronx High School for Writing and Communication Ar",85
"243",243,"W. H. Maxwell Career and Technical Education High",84
"244",244,"Urban Assembly School of Business for Young Women,",84
"245",245,"Urban Assembly School for Media Studies, The",84
"246",246,"Urban Assembly Academy of Government and Law, The",84
"247",247,"Unity Center for Urban Technologies",84
"248",248,"Thurgood Marshall Academy for Learning and Social",84
"249",249,"The Urban Assembly School for Emergency Management",84
"250",250,"The Equality Charter School",84
"251",251,"The Bronxwood Preparatory Academy",84
"252",252,"Susan E. Wagner High School",84
"253",253,"Summit Academy Charter School",84
"254",254,"Rockaway Park High School for Environmental Sustai",84
"255",255,"Richard R. Green High School of Teaching",84
"256",256,"Renaissance Charter School",84
"257",257,"PROGRESS High School for Professional Careers",84
"258",258,"Performing Arts and Technology High School",84
"259",259,"Pathways College Preparatory School: A College Boa",84
"260",260,"Newcomers High School",84
"261",261,"New Visions Charter High School for the Humanities",84
"262",262,"Metropolitan High School, The",84
"263",263,"Maspeth High School",84
"264",264,"Jane Addams High School for Academic Careers",84
"265",265,"International Leadership Charter High School",84
"266",266,"International High School at Lafayette",84
"267",267,"High School for Medical Professions",84
"268",268,"High School for Law and Public Service",84
"269",269,"High School for Environmental Studies",84
"270",270,"High School for Dual Language and Asian Studies",84
"271",271,"Frederick Douglass Academy IV Secondary School",84
"272",272,"Food and Finance High School",84
"273",273,"East New York Family Academy",84
"274",274,"Crotona International High School",84
"275",275,"Claremont International HS",84
"276",276,"Brooklyn Academy of Science and the Environment",84
"277",277,"Bronx Lighthouse Charter School",84
"278",278,"Baccalaureate School for Global Education",84
"279",279,"Academy of American Studies",84
"280",280,"Academy for Young Writers",84
"281",281,"Academy for Social Action: A College Board School",84
"282",282,"Academy for Scholarship and Entrepreneurship: A Co",84
"283",283,"Academy for Conservation and the Environment",84
"284",284,"A. Philip Randolph Campus High School",84
"285",285,"Young Women's Leadership School, Queens",83
"286",286,"West Bronx Academy for the Future",83
"287",287,"Urban Assembly School for the Performing Arts",83
"288",288,"Science Skills Center High School for Science, Tec",83
"289",289,"Peace and Diversity Academy",83
"290",290,"New Design High School",83
"291",291,"Mott Hall Bronx High School",83
"292",292,"Morris Academy for Collaborative Studies",83
"293",293,"Medgar Evers College Preparatory School",83
"294",294,"John Bowne High School",83
"295",295,"High School for Law, Advocacy and Community Justic",83
"296",296,"Harry S Truman High School",83
"297",297,"Frederick Douglass Academy III Secondary School",83
"298",298,"Franklin Delano Roosevelt High School",83
"299",299,"Fort Hamilton High School",83
"300",300,"Eagle Academy for Young Men",83
"301",301,"Bushwick Leaders High School for Academic Excellen",83
"302",302,"Brooklyn Theatre Arts High School",83
"303",303,"Brooklyn Collegiate: A College Board School",83
"304",304,"Bronx Studio School for Writers and Artists",83
"305",305,"Benjamin N. Cardozo High School",83
"306",306,"Belmont Preparatory High School",83
"307",307,"ACORN Community High School",83
"308",308,"Academy of Hospitality and Tourism",83
"309",309,"World Academy for Total Community Health High Scho",82
"310",310,"Validus Preparatory Academy: An Expeditionary Lear",82
"311",311,"Urban Assembly School for Applied Math and Science",82
"312",312,"Union Square Academy for Health Sciences",82
"313",313,"Thomas A. Edison Career and Technical Education Hi",82
"314",314,"The Urban Assembly School for Collaborative Health",82
"315",315,"THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY",82
"316",316,"The High School for Enterprise, Business and Techn",82
"317",317,"THE CINEMA SCHOOL",82
"318",318,"Stuyvesant High School",82
