"","Ranking","School Name","Averaged Score (%)"
"1",1,"International High School at LaGuardia Community C",98
"2",2,"Williamsburg Collegiate Charter School",98
"3",3,"School for Human Rights, The",98
"4",4,"Academy for Software Engineering",98
"5",5,"Young Women's Leadership School",97
"6",6,"Veritas Academy",97
"7",7,"Special Music School",97
"8",8,"Knowledge and Power Preparatory Academy Internatio",97
"9",9,"Flushing International High School",97
"10",10,"Fannie Lou Hamer Freedom High School",97
"11",11,"Expeditionary Learning School for Community Leader",97
"12",12,"DreamYard Preparatory School",97
"13",13,"Academy for Careers in Television and Film",97
"14",14,"World View High School",97
"15",15,"Vanguard High School",97
"16",16,"Talent Unlimited High School",97
"17",17,"Origins High School",97
"18",18,"Nelson Mandela High School",97
"19",19,"Manhattan Theatre Lab High School",97
"20",20,"International High School for Health Sciences",97
"21",21,"International Arts Business School",97
"22",22,"Institute for Collaborative Education",97
"23",23,"Holcombe L. Rucker School of Community Research",97
"24",24,"FRANK McCOURT HIGH SCHOOL",97
"25",25,"Essex Street Academy",97
"26",26,"Epic High School - South",97
"27",27,"Epic High School - North",97
"28",28,"Energy Tech High School",97
"29",29,"Discovery High School",97
"30",30,"Business Technology Early College High School",97
"31",31,"Brooklyn International High School",97
"32",32,"Bronx Latin",97
"33",33,"Bronx Collaborative High School",97
"34",34,"Benjamin Franklin High School for Finance & Inform",97
"35",35,"Bedford Stuyvesant Collegiate -Uncommon Collegiate",97
"36",36,"All City Leadership Secondary School",97
"37",37,"Academy of Urban Planning",97
"38",38,"University Neighborhood High School",96
"39",39,"Life Academy High School for Film and Music",96
"40",40,"Kingsborough Early College School",96
"41",41,"Hillside Arts & Letters Academy",96
"42",42,"Urban Assembly School for Careers in Sports",96
"43",43,"Science, Technology and Research Early College Hig",96
"44",44,"School of the Future High School",96
"45",45,"Scholars' Academy",96
"46",46,"Metropolitan Expeditionary Learning School",96
"47",47,"Math, Engineering, and Science Academy Charter Hig",96
"48",48,"International Community High School",96
"49",49,"Democracy Prep Charter School",96
"50",50,"Channel View School for Research",96
"51",51,"The Urban Assembly School for Global Commerce",95
"52",52,"Queens High School for the Sciences at York Colleg",95
"53",53,"Institute for Health Professions at Cambria Height",95
"54",54,"Young Women's Leadership School, Astoria",95
"55",55,"The Brooklyn Academy of Global Finance",95
"56",56,"Stephen T. Mather Building Arts & Craftsmanship Hi",95
"57",57,"Repertory Company High School for Theatre Arts",95
"58",58,"Queens High School for Language Studies",95
"59",59,"Lyons Community School",95
"60",60,"KIPP Infinity Charter School",95
"61",61,"High School of Language and Innovation",95
"62",62,"Harvest Collegiate High School",95
"63",63,"East Side Community School",95
"64",64,"Park East High School",95
"65",65,"Pan American International High School at Monroe",95
"66",66,"Bronx Early College Academy for Teaching & Learnin",95
"67",67,"John W. Lavelle Preparatory Charter School",94
"68",68,"High School for Community Leadership",94
"69",69,"Community Health Academy of the Heights",94
"70",70,"Academy for Social Action: A College Board School",94
"71",71,"Staten Island Technical High School",94
"72",72,"Queens High School for Information, Research, and",94
"73",73,"NYC iSchool",94
"74",74,"Millennium Brooklyn HS",94
"75",75,"MANHATTAN ACADEMY FOR ARTS & LANGUAGE",94
"76",76,"Jamaica Gateway to the Sciences",94
"77",77,"High School for Teaching and the Professions",94
"78",78,"High School for Public Service: Heroes  of Tomorro",94
"79",79,"High School for Arts and Business",94
"80",80,"Excelsior Preparatory High School",94
"81",81,"El Puente Academy for Peace and Justice",94
"82",82,"Comprehensive Model School Project M.S. 327",94
"83",83,"Central Park East High School",94
"84",84,"Bronx Design and Construction Academy",94
"85",85,"Bronx Collegiate Academy",94
"86",86,"Williamsburg High School for Architecture and Desi",93
"87",87,"Green School: An Academy for Environmental Careers",93
"88",88,"Brooklyn Institute for Liberal Arts",93
"89",89,"Bronx Guild",93
"90",90,"Baruch College Campus High School",93
"91",91,"Urban Assembly Gateway School for Technology",93
"92",92,"Renaissance High School for Musical Theater & Tech",93
"93",93,"Preparatory Academy for Writers: A College Board S",93
"94",94,"Park Slope Collegiate",93
"95",95,"Newtown High School",93
"96",96,"James Madison High School",93
"97",97,"International School for Liberal Arts",93
"98",98,"High School of  Telecommunication Arts and Technol",93
"99",99,"Gregorio Luperon High School for Science and Mathe",93
"100",100,"Achievement First Endeavor Charter School",93
"101",101,"Achievement First Bushwick Charter School",93
"102",102,"Westchester Square Academy",93
"103",103,"The Urban Assembly School for Law and Justice",93
"104",104,"Bronx High School for Law and Community Service",93
"105",105,"World Journalism Preparatory: A College Board Scho",92
"106",106,"Williamsburg Preparatory School",92
"107",107,"South Bronx Preparatory: A College Board School",92
"108",108,"Schuylerville Preparatory High School",92
"109",109,"Jonathan Levin High School for Media and Communica",92
"110",110,"High School for Civil Rights",92
"111",111,"Urban Assembly School of Business for Young Women,",92
"112",112,"University Heights Secondary School",92
"113",113,"The School for Classics: An Academy of Thinkers, W",92
"114",114,"The Michael J. Petrides School",92
