"","Ranking","School Name","Averaged Score (%)"
"115",115,"Robert H. Goddard High School of Communication Art",92
"116",116,"Ocean Hill Collegiate Charter School",92
"117",117,"New Dorp High School",92
"118",118,"Manhattan Early College School for Advertising",92
"119",119,"Manhattan Center for Science and Mathematics",92
"120",120,"It Takes a Village Academy",92
"121",121,"Inwood Early College for Health and Information Te",92
"122",122,"Hudson High School of Learning Technologies",92
"123",123,"Hillcrest High School",92
"124",124,"High School of Hospitality Management",92
"125",125,"High School of Applied Communication",92
"126",126,"High School of American Studies at Lehman College",92
"127",127,"High School for Energy and Technology",92
"128",128,"H.E.R.O. High (Health, Education, and Research Occ",92
"129",129,"Frances Perkins Academy",92
"130",130,"Eximius College Preparatory Academy: A College Boa",92
"131",131,"CSI High School for International Studies",92
"132",132,"Community School for Social Justice",92
"133",133,"Bushwick School for Social Justice",92
"134",134,"Brooklyn Prospect Charter School",92
"135",135,"Brooklyn East Collegiate Charter School",92
"136",136,"Brooklyn Community High School of Communication, A",92
"137",137,"Brooklyn College Academy",92
"138",138,"Bronxdale High School",92
"139",139,"Bronx High School for Medical Science",92
"140",140,"Beacon High School",92
"141",141,"Juan Morel Campos Secondary School",92
"142",142,"Coney Island Preparatory Public Charter School",92
"143",143,"Brooklyn Preparatory High School",92
"144",144,"Brooklyn Latin School, The",92
"145",145,"York Early College Academy",91
"146",146,"Urban Assembly School of Design and Construction,",91
"147",147,"PROGRESS High School for Professional Careers",91
"148",148,"Pelham Preparatory Academy",91
"149",149,"N.Y.C. Lab School for Collaborative Studies",91
"150",150,"Manhattan / Hunter Science High School",91
"151",151,"High School for Construction Trades, Engineering a",91
"152",152,"George Washington Carver High School for the Scien",91
"153",153,"Francis Lewis High School",91
"154",154,"Facing History School, The",91
"155",155,"East Bronx Academy for the Future",91
"156",156,"Columbia Secondary School",91
"157",157,"Civic Leadership Academy",91
"158",158,"Brooklyn Secondary School for Collaborative Studie",91
"159",159,"Brooklyn Generation School",91
"160",160,"Bronx International High School",91
"161",161,"Bronx Center for Science and Mathematics",91
"162",162,"Bedford Academy High School",91
"163",163,"Achievement First East New York Charter School",91
"164",164,"Academy for Scholarship and Entrepreneurship: A Co",91
"165",165,"The Brooklyn School for Math and Research",90
"166",166,"Pablo Neruda Academy",90
"167",167,"New World High School",90
"168",168,"KIPP STAR College Prep Charter School",90
"169",169,"Thurgood Marshall Academy for Learning and Social",90
"170",170,"The High School of Fashion Industries",90
"171",171,"The College Academy",90
"172",172,"Robert F. Wagner, Jr. Secondary School for Arts an",90
"173",173,"Robert F. Kennedy Community High School",90
"174",174,"Richard R. Green High School of Teaching",90
"175",175,"Queens Vocational and Technical High School",90
"176",176,"New Visions Charter High School for Advanced Math",90
"177",177,"Life Sciences Secondary School",90
"178",178,"International High School at Prospect Heights",90
"179",179,"High School of Computers and Technology",90
"180",180,"High School for Mathematics, Science and Engineeri",90
"181",181,"High School for Law, Advocacy and Community Justic",90
"182",182,"Heritage School, The",90
"183",183,"Harry S Truman High School",90
"184",184,"Bronx River High School",90
"185",185,"Bronx Career and College Preparatory High School",90
"186",186,"Bard High School Early College",90
"187",187,"Aviation Career & Technical Education High School",90
"188",188,"Kurt Hahn Expeditionary Learning School",90
"189",189,"Khalil Gibran International Academy",90
"190",190,"Urban Assembly Institute of Math and Science for Y",89
"191",191,"Urban Assembly Academy of Government and Law, The",89
"192",192,"The Bronxwood Preparatory Academy",89
"193",193,"School for Legal Studies",89
"194",194,"Port Richmond High School",89
"195",195,"Performing Arts and Technology High School",89
"196",196,"Pace High School",89
"197",197,"Northside Charter High School",89
"198",198,"New Heights Academy Charter School",89
"199",199,"Multicultural High School",89
"200",200,"Medgar Evers College Preparatory School",89
"201",201,"Manhattan Bridges High School",89
"202",202,"Kings Collegiate Charter School",89
"203",203,"John Bowne High School",89
"204",204,"J.H.S. 157 Stephen A. Halsey",89
"205",205,"High School for Youth and Community Development at",89
"206",206,"High School for Medical Professions",89
"207",207,"Harlem Village Academy Charter School",89
"208",208,"Franklin Delano Roosevelt High School",89
"209",209,"Fort Hamilton High School",89
"210",210,"Edward R. Murrow High School",89
"211",211,"Dr. Richard Izquierdo Health and Science Charter S",89
"212",212,"Democracy Prep Harlem Charter School",89
"213",213,"Coalition School for Social Change",89
"214",214,"Bronx Compass High School",89
"215",215,"Bronx Academy for Software Engineering (BASE)",89
"216",216,"Academy of Innovative Technology",89
"217",217,"Academy of Finance and  Enterprise",89
"218",218,"Academy for Language and Technology",89
"219",219,"Washington Irving High School",88
"220",220,"Urban Assembly School for Criminal Justice",88
"221",221,"Urban Assembly Maker Academy",88
"222",222,"Excellence Boys Charter School",88
"223",223,"Young Women's Leadership School of Brooklyn",88
"224",224,"William E. Grady Career and Technical Education Hi",88
"225",225,"Urban Assembly School for Media Studies, The",88
"226",226,"Urban Action Academy",88
"227",227,"The Urban Assembly School for Emergency Management",88
"228",228,"The Urban Assembly School for Collaborative Health",88
"229",229,"Renaissance Charter School",88
"230",230,"Rachel Carson High School for Coastal Studies",88
"231",231,"QUEENS METROPOLITAN HIGH SCHOOL",88
"232",232,"NYC Charter High School for Architecture, Engineer",88
"233",233,"New Visions Charter High School for the Humanities",88
"234",234,"Millennium High School",88
"235",235,"Middle College High School at LaGuardia Community",88
"236",236,"Landmark High School",88
"237",237,"KIPP Academy Charter School",88
"238",238,"International High School at Union Square",88
"239",239,"High School of Sports Management",88
"240",240,"High School for Service & Learning at Erasmus",88
"241",241,"Food and Finance High School",88
"242",242,"Claremont International HS",88
"243",243,"Choir Academy of Harlem",88
"244",244,"Brownsville Collegiate Charter School",88
"245",245,"Brooklyn Theatre Arts High School",88
"246",246,"Bronx High School for Writing and Communication Ar",88
"247",247,"Benjamin Banneker Academy",88
"248",248,"Bard High School Early College Queens",88
"249",249,"Astor Collegiate Academy",88
"250",250,"47 The American Sign Language and English Secondar",88
"251",251,"World Academy for Total Community Health High Scho",87
"252",252,"Washington Heights Expeditionary Learning School",87
"253",253,"W. H. Maxwell Career and Technical Education High",87
"254",254,"Urban Assembly School for the Performing Arts",87
"255",255,"Theatre Arts Production Company School",87
"256",256,"The Urban Assembly School for Green Careers",87
"257",257,"THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY",87
"258",258,"Rockaway Park High School for Environmental Sustai",87
"259",259,"Queens School of Inquiry, The",87
"260",260,"Queens Preparatory Academy",87
"261",261,"Pan American International High School",87
"262",262,"Newcomers High School",87
"263",263,"Mott Hall V",87
"264",264,"Metropolitan High School, The",87
"265",265,"Marble Hill High School for International Studies",87
"266",266,"Manhattan Village Academy",87
"267",267,"Lower Manhattan Arts Academy",87
"268",268,"Long Island City High School",87
"269",269,"Legacy School for Integrated Studies",87
"270",270,"Kingsbridge International High School",87
"271",271,"High School for Health Professions and Human Servi",87
"272",272,"Health Opportunities High School",87
"273",273,"Frederick Douglass Academy IV Secondary School",87
"274",274,"Frank Sinatra School of the Arts High School",87
"275",275,"Forest Hills High School",87
"276",276,"Eagle Academy for Young Men II",87
"277",277,"Chelsea Career and Technical Education High School",87
"278",278,"Brooklyn Collegiate: A College Board School",87
"279",279,"Bronx Theatre High School",87
"280",280,"Bronx Leadership Academy II High School",87
"281",281,"ACORN Community High School",87
"282",282,"Academy of American Studies",87
"283",283,"Academy for Health Careers",87
"284",284,"Academy for Conservation and the Environment",87
"285",285,"Abraham Lincoln High School",87
"286",286,"The High School for Global Citizenship",86
"287",287,"Harlem Children's Zone Promise Academy II Charter",86
"288",288,"Thomas A. Edison Career and Technical Education Hi",86
"289",289,"Susan E. Wagner High School",86
"290",290,"Secondary School for Journalism",86
"291",291,"Samuel Gompers Career and Technical Education High",86
"292",292,"Professional Performing Arts High School",86
"293",293,"Pathways in Technology Early College High School (",86
"294",294,"New Utrecht High School",86
"295",295,"Mott Hall Bronx High School",86
"296",296,"Millennium Art Academy",86
"297",297,"Maspeth High School",86
"298",298,"International Leadership Charter High School",86
"299",299,"High School for Law and Public Service",86
"300",300,"Harlem Village Academy Leadership Charter School",86
"301",301,"Gramercy Arts High School",86
"302",302,"Frederick Douglass Academy",86
"303",303,"Fordham Leadership Academy for Business and Techno",86
"304",304,"East-West School of International Studies",86
"305",305,"Eagle Academy for Young Men",86
"306",306,"Brooklyn Academy of Science and the Environment",86
"307",307,"Bronx Lighthouse Charter School",86
"308",308,"Bronx Academy of Health Careers",86
"309",309,"Benjamin N. Cardozo High School",86
"310",310,"Belmont Preparatory High School",86
"311",311,"Academy of Hospitality and Tourism",86
"312",312,"Young Women's Leadership School, Queens",85
"313",313,"Williamsburg Charter High School",85
"314",314,"West Bronx Academy for the Future",85
"315",315,"Summit Academy Charter School",85
"316",316,"School for International Studies",85
"317",317,"Peace and Diversity Academy",85
"318",318,"Leadership Institute",85
"319",319,"International High School at Lafayette",85
"320",320,"High School for Environmental Studies",85
"321",321,"Gateway School for Environmental Research and Tech",85
"322",322,"Fordham High School for the Arts",85
"323",323,"East New York Family Academy",85
"324",324,"Dr. Susan S. McKinney Secondary School of the Arts",85
"325",325,"Bronx Engineering and Technology Academy",85
"326",326,"Bread & Roses Integrated Arts High School",85
"327",327,"Bayside High School",85
"328",328,"Academy of Medical Technology: A College Board Sch",85
"329",329,"Academy for Young Writers",85
"330",330,"Women's Academy of Excellence",84
"331",331,"Victory Collegiate High School",84
"332",332,"Urban Assembly High School of Music and Art",84
"333",333,"Townsend Harris High School",84
"334",334,"Sunset Park High School",84
"335",335,"Science Skills Center High School for Science, Tec",84
"336",336,"School for Excellence",84
"337",337,"New Design High School",84
"338",338,"Monroe Academy for Visual Arts & Design",84
"339",339,"Jane Addams High School for Academic Careers",84
"340",340,"Information Technology High School",84
"341",341,"Hyde Leadership Charter School",84
"342",342,"Gaynor McCown Expeditionary Learning School",84
"343",343,"Frederick Douglass Academy III Secondary School",84
"344",344,"Bronx Studio School for Writers and Artists",84
"345",345,"Achievement First Crown Heights Charter School",84
"346",346,"A. Philip Randolph Campus High School",84
"347",347,"Wings Academy",83
"348",348,"The Metropolitan Soundview High School",83
"349",349,"The Equality Charter School",83
"350",350,"School for Tourism and Hospitality",83
"351",351,"Queens Collegiate: A College Board School",83
"352",352,"Pathways College Preparatory School: A College Boa",83
"353",353,"Law, Government and Community Service High School",83
"354",354,"Bushwick Leaders High School for Academic Excellen",83
"355",355,"Bronx High School of Science",83
"356",356,"Urban Assembly School for Applied Math and Science",82
"357",357,"Teachers Preparatory High School",82
"358",358,"Morris Academy for Collaborative Studies",82
"359",359,"KIPP AMP Charter School",82
"360",360,"Jacqueline Kennedy Onassis High School",82
"361",361,"High School of World Cultures",82
"362",362,"High School of Economics and Finance",82
"363",363,"Gotham Professional Arts Academy",82
"364",364,"George Westinghouse Career and Technical Education",82
"365",365,"Felisa Rincon de Gautier Institute for Law and Pub",82
"366",366,"Curtis High School",82
"367",367,"Bronx Lab School",82
"368",368,"Bronx Health Sciences High School",82
"369",369,"Validus Preparatory Academy: An Expeditionary Lear",81
"370",370,"Union Square Academy for Health Sciences",81
"371",371,"Tottenville High School",81
"372",372,"The Urban Assembly Bronx Academy of Letters",81
"373",373,"The High School for Enterprise, Business and Techn",81
"374",374,"Riverdale / Kingsbridge Academy (Middle School / H",81
"375",375,"Mott Hall High School",81
"376",376,"Martin Van Buren High School",81
"377",377,"MANHATTAN BUSINESS ACADEMY",81
"378",378,"Leon M. Goldstein High School for the Sciences",81
"379",379,"Leadership and Public Service High School",81
"380",380,"High School for Contemporary Arts",81
"381",381,"Frederick Douglass Academy VII High School",81
"382",382,"Celia Cruz Bronx High School of Music, The",81
"383",383,"Boys and Girls High School",81
"384",384,"Baccalaureate School for Global Education",81
"385",385,"Unity Center for Urban Technologies",80
"386",386,"THE CINEMA SCHOOL",80
"387",387,"Stuyvesant High School",80
"388",388,"Renaissance Charter High School for Innovation",80
"389",389,"Midwood High School",80
"390",390,"John Adams High School",80
"391",391,"High School for Law Enforcement and Public Safety",80
"392",392,"Harlem Children's Zone Promise Academy 1 Charter S",80
"393",393,"Flushing High School",80
"394",394,"Explorations Academy",80
"395",395,"Eleanor Roosevelt High School",80
"396",396,"DeWitt Clinton High School",80
"397",397,"Brooklyn Technical High School",80
"398",398,"Bronx School for Law, Government and Justice",80
"399",399,"Bronx Envision Academy",80
"400",400,"BRONX BRIDGES HIGH SCHOOL",80
"401",401,"August Martin High School",80
"402",402,"Secondary School for Law",79
"403",403,"Ralph R. McKee Career and Technical Education High",79
"404",404,"Quest to Learn",79
"405",405,"N.Y.C. Museum School",79
"406",406,"Mott Haven Village Preparatory High School",79
"407",407,"Mathematics, Science Research and Technology Magne",79
"408",408,"Hostos-Lincoln Academy of Science",79
"409",409,"Foundations Academy",79
"410",410,"City College Academy of the Arts",79
"411",411,"Bronx Aerospace High School",79
"412",412,"The Uft Charter School",78
"413",413,"The Marie Curie School for Medicine, Nursing, and",78
"414",414,"Sheepshead Bay High School",78
"415",415,"Rockaway Collegiate High School",78
"416",416,"Manhattan International High School",78
"417",417,"John Dewey High School",78
"418",418,"High School for Media and Communications",78
"419",419,"Crotona International High School",78
"420",420,"Archimedes Academy for Math, Science and Technolog",78
"421",421,"Wadleigh Secondary School for the Performing & Vis",77
"422",422,"Queens High School of Teaching, Liberal Arts and t",77
"423",423,"Humanities & Arts Magnet High School",77
"424",424,"High School for Violin and Dance",77
"425",425,"High School for Dual Language and Asian Studies",77
"426",426,"Henry Street School for International Studies",77
"427",427,"Foreign Language Academy of Global Studies",77
"428",428,"ESPERANZA PREPARATORY ACADEMY",77
"429",429,"EBC High School for Public Service - Bushwick",77
"430",430,"BUSINESS OF SPORTS SCHOOL",77
"431",431,"Brooklyn School for Music & Theatre",77
"432",432,"Alfred E. Smith Career and Technical Education Hig",77
"433",433,"Academy for Environmental Leadership",77
"434",434,"Urban Assembly School for Wildlife Conservation",76
"435",435,"Transit Tech Career and Technical Education High S",76
"436",436,"Marta Valle High School",76
"437",437,"M.S. 223 The Laboratory School of Finance and Tech",76
"438",438,"Grace Dodge Career and Technical Education High Sc",76
"439",439,"Frederick Douglass Academy II Secondary School",76
"440",440,"Brooklyn High School for Law and Technology",76
"441",441,"Bronx Preparatory Charter School",76
"442",442,"Art and Design High School",76
"443",443,"Academy for College Preparation and Career Explora",76
"444",444,"Richmond Hill High School",75
"445",445,"Pelham Lab High School",75
"446",446,"High School for Arts, Imagination and Inquiry",75
"447",447,"Grover Cleveland High School",75
"448",448,"Brooklyn Studio Secondary School",75
"449",449,"Arts & Media Preparatory Academy",75
"450",450,"High School for Health Careers and Sciences",74
"451",451,"Clara Barton High School",74
"452",452,"Bronx School of Law and Finance",74
"453",453,"Bronx Leadership Academy High School",74
"454",454,"Bronx High School of Business",74
"455",455,"Automotive High School",74
"456",456,"The Global Learning Collaborative",73
"457",457,"New Explorers High School",73
"458",458,"New Explorations into Science, Technology and Math",73
"459",459,"In-Tech Academy (M.S. / High School 368)",73
"460",460,"High School for Innovation in Advertising and Medi",73
"461",461,"Brooklyn School for Global Studies",73
"462",462,"Urban Assembly New York Harbor School",72
"463",463,"School for Democracy and  Leadership",72
"464",464,"Herbert H. Lehman High School",72
"465",465,"Frederick Douglass Academy VI High School",72
"466",466,"Cambria Heights Academy",72
"467",467,"Brooklyn High School of the Arts",72
"468",468,"William Cullen Bryant High School",71
"469",469,"Murry Bergtraum High School for Business Careers",71
"470",470,"FDNY High School for Fire and Life Safety",71
"471",471,"Cultural Academy for the Arts and Sciences",71
"472",472,"City Polytechnic High School of Engineering, Archi",71
"473",473,"Antonia Pantoja Preparatory Academy: A College Boa",71
"474",474,"Fiorello H. LaGuardia High School of Music & Art a",70
"475",475,"Cobble Hill School of American Studies",70
"476",476,"Brooklyn Lab School",70
"477",477,"The Opportunity Charter School",69
"478",478,"High School of Graphic Communication Arts",69
"479",479,"Eagle Academy for Young Men III",66
"480",480,"University Prep Charter High School",65
"481",481,"Collegiate Institute for Math and Science",65
"482",482,"High School of Arts and Technology",64
"483",483,"Cypress Hills Collegiate Preparatory School",64
"484",484,"Bronx High School for the Visual Arts",62
"485",485,"Queens Gateway to Health Sciences Secondary School",59
"486",486,"Banana Kelly High School",59
"487",487,"Business, Computer Applications & Entrepreneurship",57
