"","DBN","School Name","Average Score ACT Math","Percentage of 4-year Cohort Taking ACT Math","Percentage College Ready ACT Math","Average Score ACT English","Percentage of 4-year Cohort Taking ACT English","Percentage College Ready ACT English","Average Score ACT Reading","Percentage of 4-year Cohort Taking ACT Reading","Average Score ACT Science","Percentage of 4-year Cohort Taking ACT Science"
"57","02M135","The Urban Assembly School for Emergency Management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","19K764","The Urban Assembly School for Collaborative Health",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","07X551","The Urban Assembly Bronx Academy of Letters",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"60","84K359","The Uft Charter School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"61","19K683","The School for Classics: An Academy of Thinkers, W",NA,"0.139","0",NA,"0.139","1",NA,"0.056",NA,"0.139"
"62","84M279","The Opportunity Charter School",NA,"0.049","1",NA,"0.049","0",NA,"0.016",NA,"0.049"
"63","31R080","The Michael J. Petrides School","23","0.125","1","21","0.125","1",NA,"0.108","19","0.125"
"64","12X521","The Metropolitan Soundview High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"65","10X237","The Marie Curie School for Medicine, Nursing, and",NA,"0.036","1",NA,"0.036","1",NA,"0.036",NA,"0.036"
"66","02M600","The High School of Fashion Industries","18","0.102","1","17","0.102","1","19","0.091","18","0.102"
"67","02M399","THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY",NA,"0.071","1",NA,"0.071","1",NA,"0.071",NA,"0.071"
"68","17K528","The High School for Global Citizenship",NA,"0.016","0",NA,"0.016","1",NA,"0.016",NA,"0.016"
"69","14K478","The High School for Enterprise, Business and Techn",NA,"0.019","1",NA,"0.019","1",NA,"0.015",NA,"0.019"
"70","03M403","The Global Learning Collaborative",NA,"0.055","1",NA,"0.055","1",NA,"0.039",NA,"0.055"
"71","84X488","The Equality Charter School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","06M462","The College Academy",NA,"0.044","0",NA,"0.044","0",NA,"0.044",NA,"0.044"
"73","12X478","THE CINEMA SCHOOL",NA,"0.064","0",NA,"0.064","1",NA,"0.053",NA,"0.064"
"74","32K168","The Brooklyn School for Math and Research",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"75","16K688","The Brooklyn Academy of Global Finance",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"76","11X514","The Bronxwood Preparatory Academy",NA,"0.058","1",NA,"0.058","0",NA,"0.05",NA,"0.058"
"77","23K697","Teachers Preparatory High School",NA,"0.048","1",NA,"0.048","1",NA,"0.048",NA,"0.048"
"78","02M519","Talent Unlimited High School","21","0.214","1","21","0.214","1","23","0.179","19","0.214"
"79","31R460","Susan E. Wagner High School","23","0.09","1","22","0.09","1","22","0.072","22","0.09"
"80","15K667","Sunset Park High School",NA,"0.003","1",NA,"0.003","0",NA,"0.003",NA,"0.003"
"81","84K730","Summit Academy Charter School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","02M475","Stuyvesant High School","34","0.439","1","32","0.439","1","31","0.329","31","0.439"
"83","02M139","Stephen T. Mather Building Arts & Craftsmanship Hi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","31R605","Staten Island Technical High School","30","0.383","1","30","0.383","1","30","0.329","28","0.383"
"85","03M859","Special Music School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","07X221","South Bronx Preparatory: A College Board School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
