"","DBN","School Name","Average Score ACT Math","Percentage of 4-year Cohort Taking ACT Math","Percentage College Ready ACT Math","Average Score ACT English","Percentage of 4-year Cohort Taking ACT English","Percentage College Ready ACT English","Average Score ACT Reading","Percentage of 4-year Cohort Taking ACT Reading","Average Score ACT Science","Percentage of 4-year Cohort Taking ACT Science"
"245","08X332","Holcombe L. Rucker School of Community Research",NA,"0.103","0",NA,"0.103","0",NA,"0.103",NA,"0.103"
"246","28Q325","Hillside Arts & Letters Academy",NA,"0.111","1",NA,"0.111","1",NA,"0.101",NA,"0.111"
"247","28Q505","Hillcrest High School","21","0.048","1","19","0.048","1","22","0.027","20","0.048"
"248","12X550","High School of World Cultures",NA,"0.059","1",NA,"0.059","1",NA,"0.059",NA,"0.059"
"249","21K348","High School of Sports Management",NA,"0.034","0",NA,"0.034","0",NA,"0.022",NA,"0.034"
"250","11X509","High School of Language and Innovation",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"251","02M296","High School of Hospitality Management",NA,"0.048","1",NA,"0.048","1",NA,"0.038",NA,"0.048"
"252","02M625","High School of Graphic Communication Arts",NA,"0.006","0",NA,"0.006","0",NA,"0",NA,"0.006"
"253","02M489","High School of Economics and Finance","20","0.256","1","17","0.256","1","18","0.141","19","0.256"
"254","11X275","High School of Computers and Technology",NA,"0.055","1",NA,"0.055","1",NA,"0.055",NA,"0.055"
"255","03M494","High School of Arts and Technology",NA,"0.013","0",NA,"0.013","1",NA,"0.007",NA,"0.013"
"256","24Q267","High School of Applied Communication",NA,"0.058","1",NA,"0.058","1",NA,"0.049",NA,"0.058"
"257","10X696","High School of American Studies at Lehman College","30","0.485","1","31","0.485","1","30","0.309","29","0.485"
"258","20K485","High School of  Telecommunication Arts and Technol","23","0.149","1","19","0.149","1","20","0.105","21","0.149"
"259","17K537","High School for Youth and Community Development at",NA,"0.042","0",NA,"0.042","1",NA,"0.042",NA,"0.042"
"260","09X543","High School for Violin and Dance",NA,"0.063","1",NA,"0.063","1",NA,"0.045",NA,"0.063"
"261","10X433","High School for Teaching and the Professions",NA,"0.009","1",NA,"0.009","1",NA,"0",NA,"0.009"
"262","17K539","High School for Service & Learning at Erasmus",NA,"0.025","0",NA,"0.025","0",NA,"0.025",NA,"0.025"
"263","17K546","High School for Public Service: Heroes  of Tomorro",NA,"0.13","1",NA,"0.13","1",NA,"0.111",NA,"0.13"
"264","18K633","High School for Medical Professions",NA,"0.019","1",NA,"0.019","1",NA,"0.01",NA,"0.019"
"265","06M463","High School for Media and Communications",NA,"0.035","0",NA,"0.035","1",NA,"0.035",NA,"0.035"
"266","05M692","High School for Mathematics, Science and Engineeri","31","0.379","1","27","0.379","1","29","0.326","29","0.379"
"267","03M492","High School for Law, Advocacy and Community Justic",NA,"0.114","1",NA,"0.114","1",NA,"0.114",NA,"0.114"
"268","28Q690","High School for Law Enforcement and Public Safety",NA,"0.022","0",NA,"0.022","1",NA,"0.015",NA,"0.022"
"269","06M467","High School for Law and Public Service",NA,"0.075","1",NA,"0.075","1",NA,"0.059",NA,"0.075"
"270","18K617","High School for Innovation in Advertising and Medi",NA,"0.136","1",NA,"0.136","1",NA,"0.136",NA,"0.136"
"271","02M420","High School for Health Professions and Human Servi","21","0.076","1","19","0.076","1","21","0.067","21","0.076"
"272","06M468","High School for Health Careers and Sciences",NA,"0.023","0",NA,"0.023","0",NA,"0.023",NA,"0.023"
"273","02M400","High School for Environmental Studies","22","0.159","1","20","0.159","1","22","0.156","21","0.159"
"274","10X565","High School for Energy and Technology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","02M545","High School for Dual Language and Asian Studies",NA,"0.113","1",NA,"0.113","1",NA,"0.082",NA,"0.113"
"276","11X544","High School for Contemporary Arts",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"277","27Q650","High School for Construction Trades, Engineering a","20","0.078","1","18","0.078","1",NA,"0.06","19","0.078"
"278","28Q328","High School for Community Leadership",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"279","19K504","High School for Civil Rights",NA,"0.009","1",NA,"0.009","1",NA,"0.009",NA,"0.009"
"280","03M299","High School for Arts, Imagination and Inquiry",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"281","24Q550","High School for Arts and Business","19","0.129","1","17","0.129","1","18","0.088","18","0.129"
"282","04M680","Heritage School, The",NA,"0.025","0",NA,"0.025","0",NA,"0.025",NA,"0.025"
"283","08X405","Herbert H. Lehman High School","19","0.035","1","18","0.035","1","18","0.032","18","0.035"
"284","01M292","Henry Street School for International Studies",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"285","07X670","Health Opportunities High School",NA,"0.045","1",NA,"0.045","1",NA,"0.045",NA,"0.045"
"286","02M534","Harvest Collegiate High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287","11X455","Harry S Truman High School","18","0.038","1","16","0.038","1",NA,"0.026","18","0.038"
"288","84M335","Harlem Village Academy Leadership Charter School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"289","84M709","Harlem Village Academy Charter School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"290","84M341","Harlem Children's Zone Promise Academy II Charter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291","84M284","Harlem Children's Zone Promise Academy 1 Charter S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292","07X259","H.E.R.O. High (Health, Education, and Research Occ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293","24Q485","Grover Cleveland High School",NA,"0.009","1",NA,"0.009","1",NA,"0.009",NA,"0.009"
"294","06M552","Gregorio Luperon High School for Science and Mathe",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"295","14K454","Green School: An Academy for Environmental Careers",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"296","02M374","Gramercy Arts High School","18","0.133","1","17","0.133","1",NA,"0.097","18","0.133"
"297","10X660","Grace Dodge Career and Technical Education High Sc",NA,"0.014","0",NA,"0.014","0",NA,"0.007",NA,"0.014"
"298","16K594","Gotham Professional Arts Academy",NA,"0.013","0",NA,"0.013","0",NA,"0.013",NA,"0.013"
"299","13K605","George Westinghouse Career and Technical Education",NA,"0.019","0",NA,"0.019","0",NA,"0.013",NA,"0.019"
"300","29Q272","George Washington Carver High School for the Scien","18","0.307","1","17","0.307","1","18","0.219","19","0.307"
"301","31R064","Gaynor McCown Expeditionary Learning School","17","0.212","1","16","0.212","1","18","0.142","17","0.212"
"302","08X295","Gateway School for Environmental Research and Tech",NA,"0.019","0",NA,"0.019","0",NA,"0.019",NA,"0.019"
"303","23K514","Frederick Douglass Academy VII High School",NA,"0.049","0",NA,"0.049","0",NA,"0.049",NA,"0.049"
"304","27Q260","Frederick Douglass Academy VI High School",NA,"0.012","0",NA,"0.012","0",NA,"0.012",NA,"0.012"
"305","16K393","Frederick Douglass Academy IV Secondary School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"306","09X517","Frederick Douglass Academy III Secondary School",NA,"0.045","0",NA,"0.045","0",NA,"0.045",NA,"0.045"
"307","03M860","Frederick Douglass Academy II Secondary School","16","0.217","1","14","0.217","1",NA,"0.116","16","0.217"
"308","05M499","Frederick Douglass Academy","19","0.183","1","17","0.183","1","19","0.149","19","0.183"
"309","20K505","Franklin Delano Roosevelt High School","26","0.023","1","20","0.023","1","19","0.021","24","0.023"
"310","30Q501","Frank Sinatra School of the Arts High School","23","0.372","1","24","0.372","1","25","0.343","22","0.372"
"311","03M417","FRANK McCOURT HIGH SCHOOL","22","0.158","1","23","0.158","1",NA,"0.129","23","0.158"
"312","26Q430","Francis Lewis High School","25","0.173","1","22","0.173","1","22","0.155","23","0.173"
"313","14K632","Frances Perkins Academy",NA,"0.341","1",NA,"0.341","1",NA,"0.171",NA,"0.341"
"314","14K322","Foundations Academy",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"315","20K490","Fort Hamilton High School","24","0.137","1","21","0.137","1","23","0.102","22","0.137"
"316","28Q440","Forest Hills High School","23","0.139","1","21","0.139","1","22","0.123","22","0.139"
"317","07X520","Foreign Language Academy of Global Studies",NA,"0.07","0",NA,"0.07","0",NA,"0.07",NA,"0.07"
"318","10X438","Fordham Leadership Academy for Business and Techno",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"319","10X437","Fordham High School for the Arts",NA,"0.045","1",NA,"0.045","1",NA,"0.022",NA,"0.045"
"320","02M288","Food and Finance High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"321","25Q263","Flushing International High School",NA,"0.031","1",NA,"0.031","0",NA,"0.031",NA,"0.031"
"322","25Q460","Flushing High School","20","0.063","1","17","0.063","1","18","0.047","18","0.063"
"323","03M485","Fiorello H. LaGuardia High School of Music & Art a","26","0.287","1","27","0.287","1","27","0.218","25","0.287"
"324","08X519","Felisa Rincon de Gautier Institute for Law and Pub",NA,"0.021","0",NA,"0.021","0",NA,"0.021",NA,"0.021"
"325","19K502","FDNY High School for Fire and Life Safety",NA,"0.169","0",NA,"0.169","0",NA,"0.092",NA,"0.169"
"326","12X682","Fannie Lou Hamer Freedom High School",NA,"0.028","0",NA,"0.028","1",NA,"0.028",NA,"0.028"
"327","02M303","Facing History School, The",NA,"0.052","1",NA,"0.052","1",NA,"0.042",NA,"0.052"
"328","12X251","Explorations Academy",NA,"0.043","0",NA,"0.043","0",NA,"0.032",NA,"0.043"
"329","21K572","Expeditionary Learning School for Community Leader",NA,"0.029","0",NA,"0.029","0",NA,"0.029",NA,"0.029"
"330","09X250","Eximius College Preparatory Academy: A College Boa","19","0.226","1","18","0.226","1","19","0.226","19","0.226"
"331","29Q265","Excelsior Preparatory High School","18","0.196","1","16","0.196","1",NA,"0.112","16","0.196"
"332","84K593","Excellence Boys Charter School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"333","02M294","Essex Street Academy",NA,"0.022","0",NA,"0.022","0",NA,"0.022",NA,"0.022"
"334","04M372","ESPERANZA PREPARATORY ACADEMY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335","27Q314","Epic High School - South",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"336","27Q334","Epic High School - North",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"337","30Q258","Energy Tech High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"338","02M416","Eleanor Roosevelt High School","29","0.225","1","29","0.225","1","27","0.132","28","0.225"
"339","14K685","El Puente Academy for Peace and Justice",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"340","21K525","Edward R. Murrow High School","22","0.21","1","21","0.21","1","22","0.173","21","0.21"
"341","32K545","EBC High School for Public Service - Bushwick",NA,"0.025","0",NA,"0.025","0",NA,"0.025",NA,"0.025"
"342","25Q281","East-West School of International Studies",NA,"0.115","1",NA,"0.115","1",NA,"0.115",NA,"0.115"
"343","01M450","East Side Community School","19","0.216","1","19","0.216","1","20","0.216","20","0.216"
"344","19K409","East New York Family Academy",NA,"0.087","1",NA,"0.087","1",NA,"0.087",NA,"0.087"
"345","12X271","East Bronx Academy for the Future",NA,"0.042","0",NA,"0.042","0",NA,"0.042",NA,"0.042"
"346","29Q327","Eagle Academy for Young Men III",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"347","23K644","Eagle Academy for Young Men II",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"348","09X231","Eagle Academy for Young Men",NA,"0.01","0",NA,"0.01","0",NA,"0.01",NA,"0.01"
"349","09X329","DreamYard Preparatory School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"350","13K265","Dr. Susan S. McKinney Secondary School of the Arts",NA,"0.043","0",NA,"0.043","0",NA,"0.043",NA,"0.043"
"351","84X482","Dr. Richard Izquierdo Health and Science Charter S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"352","10X549","Discovery High School",NA,"0.007","1",NA,"0.007","1",NA,"0.007",NA,"0.007"
"353","10X440","DeWitt Clinton High School","21","0.03","1","17","0.03","1","18","0.028","19","0.03"
"354","84M481","Democracy Prep Harlem Charter School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"355","84M350","Democracy Prep Charter School","21","0.894","1","19","0.894","1","18","0.871","20","0.894"
"356","19K659","Cypress Hills Collegiate Preparatory School",NA,"0.01","0",NA,"0.01","0",NA,"0.01",NA,"0.01"
"357","31R450","Curtis High School","20","0.12","1","19","0.12","1","22","0.079","20","0.12"
"358","18K629","Cultural Academy for the Arts and Sciences",NA,"0.04","1",NA,"0.04","1",NA,"0.04",NA,"0.04"
"359","31R047","CSI High School for International Studies","21","0.24","1","19","0.24","1","21","0.207","20","0.24"
"360","10X524","Crotona International High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"361","84K744","Coney Island Preparatory Public Charter School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"362","09X327","Comprehensive Model School Project M.S. 327",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"363","07X427","Community School for Social Justice",NA,"0.137","0",NA,"0.137","0",NA,"0.137",NA,"0.137"
"364","06M346","Community Health Academy of the Heights","16","0.25","1","12","0.25","1","16","0.25","15","0.25"
"365","05M362","Columbia Secondary School","27","0.224","1","26","0.224","1",NA,"0.153","26","0.224"
"366","11X288","Collegiate Institute for Math and Science",NA,"0.08","1",NA,"0.08","1",NA,"0.067",NA,"0.08"
"367","15K519","Cobble Hill School of American Studies",NA,"0.021","1",NA,"0.021","1",NA,"0.014",NA,"0.021"
"368","04M409","Coalition School for Social Change",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"369","09X564","Claremont International HS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"370","17K600","Clara Barton High School","19","0.072","1","18","0.072","1","19","0.063","18","0.072"
"371","24Q293","Civic Leadership Academy",NA,"0.107","1",NA,"0.107","1",NA,"0.107",NA,"0.107"
"372","13K674","City Polytechnic High School of Engineering, Archi",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"373","06M293","City College Academy of the Arts","23","0.395","1","21","0.395","1",NA,"0.047","21","0.395"
"374","05M469","Choir Academy of Harlem",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"375","02M615","Chelsea Career and Technical Education High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"376","27Q262","Channel View School for Research",NA,"0.108","1",NA,"0.108","1",NA,"0.108",NA,"0.108"
"377","04M555","Central Park East High School",NA,"0.031","1",NA,"0.031","1",NA,"0.021",NA,"0.031"
"378","10X442","Celia Cruz Bronx High School of Music, The",NA,"0.022","0",NA,"0.022","1",NA,"0.022",NA,"0.022"
"379","29Q326","Cambria Heights Academy",NA,"0.098","0",NA,"0.098","1",NA,"0.085",NA,"0.098"
"380","29Q496","Business, Computer Applications & Entrepreneurship",NA,"0.015","0",NA,"0.015","0",NA,"0.015",NA,"0.015"
"381","26Q315","Business Technology Early College High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"382","02M393","BUSINESS OF SPORTS SCHOOL",NA,"0.169","1",NA,"0.169","1",NA,"0.169",NA,"0.169"
"383","32K549","Bushwick School for Social Justice",NA,"0.118","1",NA,"0.118","1",NA,"0.098",NA,"0.118"
"384","32K556","Bushwick Leaders High School for Academic Excellen",NA,"0.096","1",NA,"0.106","1",NA,"0.032",NA,"0.096"
"385","84K710","Brownsville Collegiate Charter School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386","18K567","Brooklyn Theatre Arts High School",NA,"0.149","1",NA,"0.149","1",NA,"0.085",NA,"0.149"
"387","13K430","Brooklyn Technical High School","30","0.412","1","28","0.412","1","28","0.339","27","0.412"
"388","21K690","Brooklyn Studio Secondary School","21","0.099","1","21","0.099","1",NA,"0.086","21","0.099"
"389","15K448","Brooklyn Secondary School for Collaborative Studie",NA,"0.011","0",NA,"0.011","0",NA,"0.011",NA,"0.011"
"390","17K548","Brooklyn School for Music & Theatre",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"391","15K429","Brooklyn School for Global Studies",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"392","84K707","Brooklyn Prospect Charter School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"393","14K488","Brooklyn Preparatory High School",NA,"0.091","1",NA,"0.091","1",NA,"0.091",NA,"0.091"
"394","14K449","Brooklyn Latin School, The","26","0.373","1","24","0.373","1","26","0.209","25","0.373"
"395","19K639","Brooklyn Lab School",NA,"0.011","0",NA,"0.011","0",NA,"0.011",NA,"0.011"
"396","13K439","Brooklyn International High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"397","17K745","Brooklyn Institute for Liberal Arts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"398","15K656","Brooklyn High School of the Arts",NA,"0.065","1",NA,"0.065","1",NA,"0.048",NA,"0.065"
"399","16K498","Brooklyn High School for Law and Technology","17","0.182","1","15","0.182","1","16","0.173","18","0.182"
"400","18K566","Brooklyn Generation School",NA,"0.012","0",NA,"0.012","0",NA,"0.012",NA,"0.012"
"401","84K780","Brooklyn East Collegiate Charter School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"402","13K412","Brooklyn Community High School of Communication, A",NA,"0.017","0",NA,"0.017","0",NA,"0.017",NA,"0.017"
"403","23K493","Brooklyn Collegiate: A College Board School",NA,"0.069","1",NA,"0.069","1",NA,"0.046",NA,"0.069"
"404","22K555","Brooklyn College Academy",NA,"0.065","1",NA,"0.065","1",NA,"0.052",NA,"0.065"
"405","17K547","Brooklyn Academy of Science and the Environment",NA,"0.007","1",NA,"0.007","0",NA,"0.007",NA,"0.007"
"406","11X508","Bronxdale High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"407","10X546","Bronx Theatre High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"408","08X269","Bronx Studio School for Writers and Artists",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"409","10X284","Bronx School of Law and Finance",NA,"0.008","0",NA,"0.008","0",NA,"0.008",NA,"0.008"
"410","09X505","Bronx School for Law, Government and Justice",NA,"0.055","1",NA,"0.055","1",NA,"0.055",NA,"0.055"
"411","08X349","Bronx River High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412","84X703","Bronx Preparatory Charter School",NA,"0.136","1",NA,"0.136","0",NA,"0.121",NA,"0.136"
"413","84X185","Bronx Lighthouse Charter School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"414","07X527","Bronx Leadership Academy II High School","17","0.54","1","13","0.54","1","14","0.395","16","0.516"
"415","09X525","Bronx Leadership Academy High School",NA,"0.006","0",NA,"0.006","0",NA,"0.006",NA,"0.006"
"416","12X267","Bronx Latin",NA,"0.069","0",NA,"0.069","0",NA,"0.052",NA,"0.069"
"417","11X265","Bronx Lab School",NA,"0.048","1",NA,"0.048","1",NA,"0.048",NA,"0.048"
"418","09X403","Bronx International High School",NA,"0.061","0",NA,"0.061","0",NA,"0.026",NA,"0.061"
"419","10X445","Bronx High School of Science","31","0.63","1","30","0.63","1","30","0.472","30","0.63"
"420","09X412","Bronx High School of Business",NA,"0.011","0",NA,"0.011","0",NA,"0.011",NA,"0.011"
"421","11X253","Bronx High School for Writing and Communication Ar",NA,"0.027","0",NA,"0.027","1",NA,"0.027",NA,"0.027"
"422","11X418","Bronx High School for the Visual Arts",NA,"0.017","0",NA,"0.017","0",NA,"0.017",NA,"0.017"
"423","09X413","Bronx High School for Medical Science","19","0.253","1","16","0.253","1",NA,"0.149","17","0.253"
"424","10X439","Bronx High School for Law and Community Service",NA,"0.136","1",NA,"0.136","1",NA,"0.136",NA,"0.136"
"425","11X249","Bronx Health Sciences High School","17","0.776","1","14","0.776","1",NA,"0.106","17","0.776"
"426","08X452","Bronx Guild",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"427","12X511","Bronx Envision Academy",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"428","10X213","Bronx Engineering and Technology Academy",NA,"0.011","0",NA,"0.011","0",NA,"0.011",NA,"0.011"
"429","09X324","Bronx Early College Academy for Teaching & Learnin",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"430","07X522","Bronx Design and Construction Academy",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"431","08X561","Bronx Compass High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"432","09X227","Bronx Collegiate Academy",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"433","10X351","Bronx Collaborative High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"434","09X260","Bronx Center for Science and Mathematics","26","0.171","1","23","0.171","1",NA,"0.036","22","0.171"
"435","12X479","Bronx Career and College Preparatory High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"436","08X432","BRONX BRIDGES HIGH SCHOOL","15","0.663","1","12","0.663","1","14","0.535","16","0.663"
"437","11X545","Bronx Aerospace High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"438","11X290","Bronx Academy of Health Careers","17","0.165","1","14","0.165","1","16","0.135","15","0.165"
"439","10X264","Bronx Academy for Software Engineering (BASE)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"440","05M685","Bread & Roses Integrated Arts High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"441","16K455","Boys and Girls High School",NA,"0.021","1",NA,"0.021","1",NA,"0.021",NA,"0.021"
"442","26Q415","Benjamin N. Cardozo High School","25","0.221","1","22","0.221","1","24","0.186","23","0.221"
"443","29Q313","Benjamin Franklin High School for Finance & Inform",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"444","13K670","Benjamin Banneker Academy","21","0.215","1","20","0.215","1","21","0.215","20","0.215"
"445","10X434","Belmont Preparatory High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"446","84K648","Bedford Stuyvesant Collegiate -Uncommon Collegiate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"447","13K595","Bedford Academy High School",NA,"0.152","1",NA,"0.152","1",NA,"0.152",NA,"0.152"
"448","03M479","Beacon High School","25","0.391","1","27","0.391","1","27","0.276","25","0.391"
"449","26Q495","Bayside High School","24","0.106","1","22","0.106","1","23","0.087","23","0.106"
"450","02M411","Baruch College Campus High School","26","0.276","1","23","0.276","1","24","0.219","23","0.276"
"451","24Q299","Bard High School Early College Queens","28","0.341","1","27","0.341","1","27","0.335","26","0.341"
"452","01M696","Bard High School Early College","27","0.357","1","29","0.357","1","26","0.227","27","0.357"
"453","08X530","Banana Kelly High School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"454","30Q580","Baccalaureate School for Global Education","28","0.25","1","29","0.25","1",NA,"0.206","27","0.25"
"455","24Q610","Aviation Career & Technical Education High School","24","0.117","1","19","0.117","1","21","0.091","21","0.117"
"456","14K610","Automotive High School",NA,"0.01","0",NA,"0.01","0",NA,"0",NA,"0.01"
"457","27Q400","August Martin High School",NA,"0.03","0",NA,"0.03","1",NA,"0.018",NA,"0.03"
"458","11X299","Astor Collegiate Academy",NA,"0.063","1",NA,"0.063","1",NA,"0.056",NA,"0.063"
"459","18K589","Arts & Media Preparatory Academy",NA,"0.049","1",NA,"0.049","1",NA,"0.049",NA,"0.049"
"460","02M630","Art and Design High School","21","0.057","1","21","0.057","1",NA,"0.041","20","0.057"
"461","08X367","Archimedes Academy for Math, Science and Technolog",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"462","08X376","Antonia Pantoja Preparatory Academy: A College Boa","19","0.261","1","16","0.261","1","18","0.261","19","0.261"
"463","32K554","All City Leadership Secondary School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"464","07X600","Alfred E. Smith Career and Technical Education Hig",NA,"0.035","1",NA,"0.035","0",NA,"0.035",NA,"0.035"
"465","13K499","ACORN Community High School","15","0.107","0","15","0.107","1","16","0.107","15","0.107"
"466","84K508","Achievement First Endeavor Charter School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"467","84K358","Achievement First East New York Charter School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"468","84K356","Achievement First Crown Heights Charter School",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"469","84K538","Achievement First Bushwick Charter School",NA,"0.038","1",NA,"0.038","1",NA,"0.038",NA,"0.038"
"470","32K552","Academy of Urban Planning",NA,"0.122","0",NA,"0.122","1",NA,"0.122",NA,"0.122"
"471","27Q309","Academy of Medical Technology: A College Board Sch",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"472","19K618","Academy of Innovative Technology",NA,"0.043","1",NA,"0.043","1",NA,"0.043",NA,"0.043"
"473","17K408","Academy of Hospitality and Tourism",NA,"0.114","0",NA,"0.114","0",NA,"0.038",NA,"0.114"
"474","24Q264","Academy of Finance and  Enterprise",NA,"0.024","1",NA,"0.024","1",NA,"0.016",NA,"0.024"
"475","30Q575","Academy of American Studies","22","0.163","1","19","0.163","1","19","0.14","20","0.163"
"476","19K404","Academy for Young Writers",NA,"0.024","0",NA,"0.024","1",NA,"0.012",NA,"0.024"
"477","02M546","Academy for Software Engineering",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"478","05M367","Academy for Social Action: A College Board School",NA,"0.06","0",NA,"0.06","0",NA,"0.04",NA,"0.06"
"479","11X270","Academy for Scholarship and Entrepreneurship: A Co",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"480","09X365","Academy for Language and Technology",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"481","17K751","Academy for Health Careers",NA,"0.012","1",NA,"0.012","0",NA,"0.012",NA,"0.012"
"482","32K403","Academy for Environmental Leadership",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"483","18K637","Academy for Conservation and the Environment",NA,"0.079","0",NA,"0.079","1",NA,"0.079",NA,"0.079"
"484","17K382","Academy for College Preparation and Career Explora",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
"485","30Q301","Academy for Careers in Television and Film",NA,"0.03","1",NA,"0.03","1",NA,"0.03",NA,"0.03"
"486","21K410","Abraham Lincoln High School","22","0.035","1","19","0.035","1","20","0.034","22","0.035"
"487","06M540","A. Philip Randolph Campus High School","18","0.206","1","16","0.206","1",NA,"0.054","18","0.206"
"488","02M047","47 The American Sign Language and English Secondar",NA,"0","0",NA,"0","0",NA,"0",NA,"0"
