"","Ranking","School Name","Averaged Score - all subjects (%)"
"220",220,"Pelham Preparatory Academy",NA
"221",221,"Pelham Lab High School",NA
"222",222,"Peace and Diversity Academy",NA
"223",223,"Pathways in Technology Early College High School (",NA
"224",224,"Pathways College Preparatory School: A College Boa",NA
"225",225,"Park Slope Collegiate",NA
"226",226,"Park East High School",NA
"227",227,"Pan American International High School at Monroe",NA
"228",228,"Pan American International High School",NA
"229",229,"Pace High School",NA
"230",230,"Pablo Neruda Academy",NA
"231",231,"Origins High School",NA
"232",232,"Ocean Hill Collegiate Charter School",NA
"233",233,"NYC iSchool",NA
"234",234,"NYC Charter High School for Architecture, Engineer",NA
"235",235,"Northside Charter High School",NA
"236",236,"Newtown High School",NA
"237",237,"New Visions Charter High School for the Humanities",NA
"238",238,"New Visions Charter High School for Advanced Math",NA
"239",239,"New Heights Academy Charter School",NA
"240",240,"New Explorers High School",NA
"241",241,"New Design High School",NA
"242",242,"Nelson Mandela High School",NA
"243",243,"N.Y.C. Museum School",NA
"244",244,"N.Y.C. Lab School for Collaborative Studies",NA
"245",245,"Murry Bergtraum High School for Business Careers",NA
"246",246,"Multicultural High School",NA
"247",247,"Mott Haven Village Preparatory High School",NA
"248",248,"Mott Hall High School",NA
"249",249,"Mott Hall Bronx High School",NA
"250",250,"Morris Academy for Collaborative Studies",NA
"251",251,"Monroe Academy for Visual Arts & Design",NA
"252",252,"Millennium Art Academy",NA
"253",253,"Middle College High School at LaGuardia Community",NA
"254",254,"Metropolitan High School, The",NA
"255",255,"Metropolitan Expeditionary Learning School",NA
"256",256,"Mathematics, Science Research and Technology Magne",NA
"257",257,"Math, Engineering, and Science Academy Charter Hig",NA
"258",258,"Marta Valle High School",NA
"259",259,"Manhattan Theatre Lab High School",NA
"260",260,"Manhattan International High School",NA
"261",261,"Manhattan Early College School for Advertising",NA
"262",262,"MANHATTAN BUSINESS ACADEMY",NA
"263",263,"MANHATTAN ACADEMY FOR ARTS & LANGUAGE",NA
"264",264,"M.S. 223 The Laboratory School of Finance and Tech",NA
"265",265,"Lyons Community School",NA
"266",266,"Lower Manhattan Arts Academy",NA
"267",267,"Life Sciences Secondary School",NA
"268",268,"Life Academy High School for Film and Music",NA
"269",269,"Legacy School for Integrated Studies",NA
"270",270,"Leadership Institute",NA
"271",271,"Leadership and Public Service High School",NA
"272",272,"Law, Government and Community Service High School",NA
"273",273,"Landmark High School",NA
"274",274,"Kurt Hahn Expeditionary Learning School",NA
"275",275,"Knowledge and Power Preparatory Academy Internatio",NA
"276",276,"KIPP AMP Charter School",NA
"277",277,"Kingsbridge International High School",NA
"278",278,"Kingsborough Early College School",NA
"279",279,"Kings Collegiate Charter School",NA
"280",280,"Khalil Gibran International Academy",NA
"281",281,"Juan Morel Campos Secondary School",NA
"282",282,"Jonathan Levin High School for Media and Communica",NA
"283",283,"John W. Lavelle Preparatory Charter School",NA
"284",284,"Jane Addams High School for Academic Careers",NA
"285",285,"Jacqueline Kennedy Onassis High School",NA
"286",286,"J.H.S. 157 Stephen A. Halsey",NA
"287",287,"Inwood Early College for Health and Information Te",NA
"288",288,"International School for Liberal Arts",NA
"289",289,"International Leadership Charter High School",NA
"290",290,"International High School for Health Sciences",NA
"291",291,"International High School at Union Square",NA
"292",292,"International High School at Prospect Heights",NA
