School Name,Graduation Rate,Post-secondary Enrollment Rate,Teacher experience,Rigorous Instruction,Collaborative Teachers,Supportive Environment ,Effective School Leadership,Strong Family-Community Ties,Trust
High School for Law Enforcement and Public Safety,0.74,0.63,0.88,0.50,0.45,0.65,0.54,0.39,0.48
High School for Law and Public Service,0.63,0.61,0.93,0.62,0.68,0.67,0.71,0.83,0.75
High School for Innovation in Advertising and Medi,0.80,0.59,0.68,0.50,0.53,0.74,0.50,0.54,0.68
High School for Health Professions and Human Servi,0.90,0.82,0.76,0.68,0.85,0.71,0.69,0.48,0.75
High School for Health Careers and Sciences,0.70,0.43,0.68,0.50,0.55,0.63,0.44,0.83,0.63
High School for Environmental Studies,0.82,0.79,0.83,0.63,0.67,0.65,0.56,0.44,0.62
High School for Energy and Technology,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00
High School for Dual Language and Asian Studies,0.97,0.84,0.67,0.85,0.66,0.90,0.47,0.35,0.67
High School for Contemporary Arts,0.60,0.42,0.96,0.46,0.46,0.38,0.38,0.00,0.00
"High School for Construction Trades, Engineering a",0.95,0.82,0.79,0.76,0.89,0.82,0.67,0.64,0.78
High School for Community Leadership,0.84,0.00,0.43,0.71,0.95,0.79,0.90,0.88,0.92
High School for Civil Rights,0.68,0.36,1.00,0.54,0.62,0.54,0.66,0.68,0.81
"High School for Arts, Imagination and Inquiry",0.78,0.57,0.63,0.66,0.57,0.70,0.42,0.55,0.66
High School for Arts and Business,0.90,0.70,0.92,0.79,0.94,0.82,0.78,0.66,0.80
"Heritage School, The",0.61,0.50,0.68,0.52,0.73,0.51,0.72,0.62,0.58
Herbert H. Lehman High School,0.40,0.49,0.93,0.64,0.57,0.50,0.28,0.00,0.00
Henry Street School for International Studies,0.64,0.52,0.67,0.37,0.42,0.42,0.50,0.59,0.63
Health Opportunities High School,0.61,0.57,0.67,0.59,0.69,0.62,0.73,0.83,0.76
Harvest Collegiate High School,0.00,0.00,0.52,0.00,0.00,0.00,0.00,0.00,0.00
Harry S Truman High School,0.63,0.44,0.72,0.52,0.57,0.78,0.70,0.47,0.61
Harlem Village Academy Leadership Charter School,0.94,0.92,0.00,0.63,0.67,0.65,0.60,0.48,0.69
Harlem Village Academy Charter School,1.00,0.83,0.00,0.48,0.73,0.68,0.70,0.58,0.78
Harlem Children's Zone Promise Academy II Charter,0.00,0.00,0.00,0.65,0.63,0.65,0.61,0.54,0.66
Harlem Children's Zone Promise Academy 1 Charter S,0.00,0.91,0.00,0.58,0.53,0.81,0.59,0.46,0.66
"H.E.R.O. High (Health, Education, and Research Occ",0.00,0.00,0.31,0.00,0.00,0.00,0.00,0.00,0.00
Grover Cleveland High School,0.63,0.48,0.94,0.56,0.70,0.56,0.32,0.43,0.54
Gregorio Luperon High School for Science and Mathe,0.76,0.60,0.90,0.56,0.75,0.89,0.81,0.81,0.90
Green School: An Academy for Environmental Careers,0.65,0.32,0.58,0.65,0.77,0.66,0.82,0.70,0.82
Gramercy Arts High School,0.89,0.65,0.81,0.60,0.69,0.45,0.51,0.37,0.58
Grace Dodge Career and Technical Education High Sc,0.37,0.30,0.94,0.00,0.00,0.00,0.00,0.00,0.00
Gotham Professional Arts Academy,0.57,0.65,0.88,0.84,0.80,0.67,0.54,0.78,0.72
George Westinghouse Career and Technical Education,0.74,0.49,0.71,0.67,0.78,0.69,0.60,0.56,0.58
George Washington Carver High School for the Scien,0.74,0.66,0.73,0.59,0.74,0.62,0.74,0.63,0.74
Gaynor McCown Expeditionary Learning School,0.81,0.70,0.79,0.62,0.66,0.65,0.66,0.52,0.63
Gateway School for Environmental Research and Tech,0.37,0.30,0.89,0.00,0.00,0.00,0.00,0.00,0.00
Frederick Douglass Academy VII High School,0.57,0.45,0.55,0.66,0.62,0.70,0.71,0.50,0.62
Frederick Douglass Academy VI High School,0.45,0.50,0.96,0.55,0.38,0.59,0.46,0.47,0.45
Frederick Douglass Academy IV Secondary School,0.71,0.53,0.64,0.58,0.56,0.59,0.54,0.74,0.52
Frederick Douglass Academy III Secondary School,0.67,0.44,0.59,0.74,0.82,0.67,0.54,0.75,0.50
Frederick Douglass Academy II Secondary School,0.64,0.49,0.40,0.52,0.74,0.58,0.52,0.58,0.62
Frederick Douglass Academy,0.69,0.82,0.84,0.62,0.67,0.67,0.52,0.60,0.51
Franklin Delano Roosevelt High School,0.63,0.59,0.84,0.47,0.70,0.63,0.63,0.38,0.66
Frank Sinatra School of the Arts High School,0.97,0.94,0.85,0.70,0.84,0.82,0.59,0.61,0.69
FRANK McCOURT HIGH SCHOOL,0.92,0.00,0.69,0.85,0.98,0.72,0.87,0.72,0.78
Francis Lewis High School,0.88,0.81,0.76,0.56,0.59,0.86,0.71,0.44,0.74
Frances Perkins Academy,0.73,0.32,0.43,0.50,0.75,0.74,0.87,0.78,0.74
Foundations Academy,0.32,0.19,0.38,0.50,0.49,0.42,0.44,0.67,0.41
Fort Hamilton High School,0.74,0.69,0.84,0.82,0.88,0.82,0.63,0.37,0.58
Forest Hills High School,0.88,0.81,0.90,0.65,0.85,0.72,0.58,0.37,0.61
Foreign Language Academy of Global Studies,0.44,0.49,0.92,0.46,0.58,0.47,0.43,0.42,0.50
Fordham Leadership Academy for Business and Techno,0.49,0.39,0.85,0.48,0.54,0.62,0.58,0.60,0.54
Fordham High School for the Arts,0.91,0.56,0.36,0.74,0.83,0.90,0.61,0.43,0.71
Food and Finance High School,0.81,0.55,0.77,0.83,0.70,0.67,0.70,0.36,0.62
Flushing International High School,0.72,0.77,0.82,0.73,0.82,0.86,0.92,0.66,0.90
Flushing High School,0.58,0.52,0.94,0.43,0.47,0.46,0.22,0.26,0.30
Fiorello H. LaGuardia High School of Music & Art a,0.98,0.88,0.92,0.58,0.51,0.75,0.24,0.38,0.35
Felisa Rincon de Gautier Institute for Law and Pub,0.46,0.32,0.52,0.50,0.64,0.53,0.59,0.70,0.54
FDNY High School for Fire and Life Safety,0.74,0.36,0.77,0.61,0.50,0.64,0.55,0.78,0.58
Fannie Lou Hamer Freedom High School,0.66,0.51,0.82,0.61,0.81,0.62,0.95,0.98,0.95
"Facing History School, The",0.67,0.59,0.67,0.77,0.90,0.81,0.81,0.71,0.85
Explorations Academy,0.59,0.44,0.74,0.60,0.63,0.64,0.56,0.59,0.67
Expeditionary Learning School for Community Leader,0.82,0.73,0.73,0.89,0.97,0.82,0.90,0.60,0.89
Eximius College Preparatory Academy: A College Boa,0.85,0.68,0.67,0.91,0.91,0.83,0.80,0.87,0.82
Excelsior Preparatory High School,0.75,0.64,0.82,0.77,0.94,0.78,0.72,0.64,0.73
Excellence Boys Charter School,0.00,0.00,0.00,0.69,0.69,0.51,0.71,0.67,0.62
Essex Street Academy,0.84,0.60,0.84,0.85,0.82,0.81,0.93,0.73,0.88
ESPERANZA PREPARATORY ACADEMY,0.00,0.00,0.44,0.82,0.58,0.73,0.49,0.59,0.59
Epic High School - South,0.00,0.00,0.83,0.00,0.00,0.00,0.00,0.00,0.00
Epic High School - North,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00
Energy Tech High School,0.00,0.00,0.31,0.00,0.00,0.00,0.00,0.00,0.00
Eleanor Roosevelt High School,1.00,0.94,0.94,0.75,0.45,0.86,0.54,0.62,0.64
El Puente Academy for Peace and Justice,0.66,0.57,0.81,0.86,0.93,0.77,0.76,0.62,0.85
Edward R. Murrow High School,0.82,0.78,0.92,0.59,0.58,0.70,0.74,0.51,0.78
EBC High School for Public Service - Bushwick,0.63,0.64,0.81,0.43,0.55,0.67,0.59,0.59,0.63
East-West School of International Studies,0.89,0.87,0.57,0.75,0.87,0.78,0.73,0.57,0.77
East Side Community School,0.86,0.77,0.78,0.86,0.95,0.91,0.92,0.91,0.90
East New York Family Academy,0.87,0.80,0.72,0.61,0.66,0.62,0.72,0.47,0.70
East Bronx Academy for the Future,0.78,0.50,0.60,0.60,0.90,0.65,0.83,0.56,0.78
Eagle Academy for Young Men III,0.00,0.00,0.52,0.72,0.78,0.00,0.49,0.00,0.00
Eagle Academy for Young Men II,0.95,0.00,0.38,0.66,0.68,0.80,0.76,0.74,0.80
Eagle Academy for Young Men,0.70,0.61,0.83,0.49,0.68,0.71,0.70,0.82,0.68
DreamYard Preparatory School,0.61,0.33,0.57,0.58,0.82,0.70,0.85,0.87,0.89
Dr. Susan S. McKinney Secondary School of the Arts,0.51,0.52,0.82,0.73,0.67,0.56,0.70,0.66,0.55
Dr. Richard Izquierdo Health and Science Charter S,0.00,0.00,0.00,0.62,0.76,0.66,0.71,0.74,0.73
Discovery High School,0.60,0.46,0.62,0.71,0.80,0.73,0.90,0.85,0.90
DeWitt Clinton High School,0.46,0.52,0.99,0.43,0.46,0.55,0.44,0.34,0.47
Democracy Prep Harlem Charter School,0.00,0.00,0.00,0.61,0.70,0.64,0.69,0.59,0.70
Democracy Prep Charter School,0.69,0.68,0.00,0.81,0.91,0.83,0.84,0.75,0.77
Cypress Hills Collegiate Preparatory School,0.58,0.48,0.70,0.54,0.46,0.57,0.22,0.38,0.36
Curtis High School,0.76,0.65,0.88,0.71,0.78,0.72,0.51,0.38,0.53
Cultural Academy for the Arts and Sciences,0.61,0.46,0.82,0.43,0.53,0.64,0.50,0.57,0.54
CSI High School for International Studies,0.95,0.91,0.84,0.88,0.91,0.86,0.82,0.72,0.81
Crotona International High School,0.45,0.00,0.88,0.54,0.61,0.61,0.69,0.66,0.67
Coney Island Preparatory Public Charter School,0.00,0.00,0.00,0.62,0.73,0.65,0.71,0.62,0.79
Comprehensive Model School Project M.S. 327,0.00,0.00,0.61,0.80,0.93,0.78,0.82,0.69,0.80
Community School for Social Justice,0.55,0.60,0.67,0.83,0.90,0.76,0.86,0.90,0.90
Community Health Academy of the Heights,0.63,0.66,0.68,0.61,0.94,0.69,0.81,0.73,0.88
Columbia Secondary School,0.99,0.00,0.67,0.82,0.94,0.87,0.82,0.80,0.82
Collegiate Institute for Math and Science,0.82,0.81,0.74,0.49,0.47,0.73,0.29,0.48,0.45
Cobble Hill School of American Studies,0.79,0.64,0.61,0.49,0.53,0.62,0.30,0.61,0.55
Coalition School for Social Change,0.44,0.41,0.91,0.47,0.58,0.60,0.67,0.65,0.82
Claremont International HS,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00
Clara Barton High School,0.69,0.70,0.90,0.46,0.53,0.58,0.41,0.46,0.43
Civic Leadership Academy,0.87,0.83,0.80,0.54,0.74,0.85,0.66,0.59,0.73
"City Polytechnic High School of Engineering, Archi",0.89,0.89,0.73,0.47,0.51,0.59,0.44,0.62,0.51
City College Academy of the Arts,0.95,0.94,0.88,0.52,0.61,0.73,0.38,0.40,0.52
Choir Academy of Harlem,0.40,0.30,1.00,0.00,0.00,0.00,0.00,0.00,0.00
Chelsea Career and Technical Education High School,0.87,0.70,0.91,0.74,0.85,0.77,0.71,0.59,0.71
Channel View School for Research,0.85,0.74,0.82,0.88,0.96,0.78,0.81,0.63,0.81
Central Park East High School,0.98,0.87,0.74,0.89,0.93,0.90,0.88,0.60,0.90
"Celia Cruz Bronx High School of Music, The",0.92,0.72,0.82,0.50,0.47,0.58,0.55,0.63,0.61
Cambria Heights Academy,0.73,0.00,0.72,0.57,0.71,0.65,0.46,0.62,0.47
"Business, Computer Applications & Entrepreneurship",0.58,0.38,1.00,0.00,0.00,0.00,0.00,0.00,0.00
Business Technology Early College High School,0.00,0.00,0.55,0.00,0.00,0.00,0.00,0.00,0.00
BUSINESS OF SPORTS SCHOOL,0.70,0.62,0.54,0.72,0.59,0.63,0.62,0.73,0.64
Bushwick School for Social Justice,0.69,0.43,0.77,0.62,0.74,0.65,0.78,0.78,0.77
Bushwick Leaders High School for Academic Excellen,0.65,0.52,0.54,0.66,0.81,0.58,0.63,0.77,0.74
Brownsville Collegiate Charter School,0.00,0.00,0.00,0.74,0.73,0.74,0.74,0.84,0.74
Brooklyn Theatre Arts High School,0.70,0.51,0.79,0.64,0.70,0.66,0.62,0.58,0.66
Brooklyn Technical High School,0.97,0.97,0.93,0.82,0.61,0.82,0.47,0.27,0.59
Brooklyn Studio Secondary School,0.75,0.67,0.87,0.53,0.57,0.61,0.42,0.32,0.42
Brooklyn Secondary School for Collaborative Studie,0.89,0.77,0.63,0.86,0.90,0.77,0.77,0.73,0.82
Brooklyn School for Music & Theatre,0.83,0.57,0.74,0.57,0.59,0.58,0.56,0.60,0.40
Brooklyn School for Global Studies,0.71,0.64,0.75,0.52,0.54,0.62,0.38,0.39,0.37
Brooklyn Prospect Charter School,0.00,0.00,0.00,0.58,0.79,0.81,0.84,0.67,0.82
Brooklyn Preparatory High School,0.86,0.61,0.61,0.65,0.88,0.00,0.78,0.64,0.78
"Brooklyn Latin School, The",0.98,0.98,0.52,0.92,0.92,0.73,0.84,0.52,0.87
Brooklyn Lab School,0.54,0.33,0.52,0.50,0.52,0.44,0.41,0.49,0.36
Brooklyn International High School,0.90,0.75,0.71,0.98,0.98,0.92,0.91,0.72,0.92
Brooklyn Institute for Liberal Arts,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00
Brooklyn High School of the Arts,0.93,0.72,0.64,0.83,0.66,0.66,0.38,0.42,0.46
Brooklyn High School for Law and Technology,0.73,0.42,0.73,0.54,0.56,0.74,0.46,0.33,0.59
Brooklyn Generation School,0.68,0.51,0.76,0.64,0.74,0.74,0.80,0.63,0.68
Brooklyn East Collegiate Charter School,0.00,0.00,0.00,0.71,0.81,0.78,0.77,0.86,0.78
"Brooklyn Community High School of Communication, A",0.78,0.58,0.81,0.74,0.91,0.75,0.82,0.73,0.71
Brooklyn Collegiate: A College Board School,0.64,0.59,0.67,0.57,0.56,0.56,0.59,0.65,0.59
Brooklyn College Academy,0.99,0.92,0.82,0.82,0.74,0.86,0.78,0.58,0.79
Brooklyn Academy of Science and the Environment,0.75,0.55,0.74,0.71,0.69,0.68,0.70,0.66,0.75
Bronxdale High School,0.78,0.00,0.24,0.69,0.75,0.62,0.80,0.66,0.79
Bronx Theatre High School,0.64,0.62,0.72,0.54,0.70,0.50,0.60,0.91,0.69
Bronx Studio School for Writers and Artists,0.70,0.58,0.51,0.55,0.65,0.58,0.65,0.56,0.71
Bronx School of Law and Finance,0.64,0.65,0.70,0.60,0.53,0.54,0.54,0.68,0.65
"Bronx School for Law, Government and Justice",0.76,0.78,0.59,0.76,0.76,0.74,0.56,0.44,0.56
Bronx River High School,0.00,0.00,0.53,0.00,0.00,0.00,0.00,0.00,0.00
Bronx Preparatory Charter School,0.85,0.85,0.00,0.46,0.49,0.58,0.47,0.62,0.49
Bronx Lighthouse Charter School,0.77,0.00,0.00,0.52,0.66,0.62,0.64,0.30,0.58
Bronx Leadership Academy II High School,0.60,0.60,0.57,0.58,0.85,0.78,0.66,0.60,0.81
Bronx Leadership Academy High School,0.56,0.47,0.60,0.60,0.52,0.57,0.45,0.54,0.54
Bronx Latin,0.85,0.50,0.48,0.80,0.96,0.90,0.90,0.90,0.90
Bronx Lab School,0.83,0.56,0.71,0.57,0.65,0.62,0.55,0.66,0.59
Bronx International High School,0.72,0.46,0.80,0.72,0.90,0.66,0.60,0.72,0.82
Bronx High School of Science,0.99,0.98,0.76,0.71,0.65,0.84,0.68,0.44,0.70
Bronx High School of Business,0.39,0.38,0.82,0.42,0.54,0.50,0.24,0.49,0.36
Bronx High School for Writing and Communication Ar,0.51,0.31,0.81,0.58,0.71,0.66,0.77,0.64,0.78
Bronx High School for the Visual Arts,0.52,0.47,0.91,0.62,0.53,0.70,0.33,0.46,0.42
Bronx High School for Medical Science,0.85,0.75,0.63,0.51,0.61,0.59,0.64,0.70,0.75
Bronx High School for Law and Community Service,0.73,0.60,0.83,0.66,0.93,0.71,0.84,0.58,0.76
Bronx Health Sciences High School,0.97,0.78,1.00,0.50,0.63,0.78,0.50,0.52,0.61
Bronx Guild,0.57,0.43,0.64,0.67,0.75,0.62,0.77,0.70,0.75
Bronx Envision Academy,0.74,0.00,0.50,0.48,0.61,0.68,0.70,0.57,0.64
Bronx Engineering and Technology Academy,0.70,0.66,0.74,0.47,0.66,0.57,0.52,0.50,0.59
Bronx Early College Academy for Teaching & Learnin,0.97,0.78,0.44,0.83,0.94,0.74,0.70,0.54,0.69
Bronx Design and Construction Academy,0.53,0.00,0.59,0.60,0.77,0.69,0.82,0.68,0.80
Bronx Compass High School,0.00,0.00,0.28,0.00,0.00,0.00,0.00,0.00,0.00
Bronx Collegiate Academy,0.55,0.43,0.83,0.61,0.78,0.74,0.86,0.73,0.82
Bronx Collaborative High School,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.00
Bronx Center for Science and Mathematics,0.90,0.86,0.64,0.85,0.89,0.78,0.75,0.64,0.82
Bronx Career and College Preparatory High School,0.46,0.54,0.54,0.54,0.71,0.72,0.64,0.75,0.74
BRONX BRIDGES HIGH SCHOOL,0.57,0.00,0.39,0.50,0.64,0.68,0.34,0.51,0.62
Bronx Aerospace High School,0.68,0.52,0.78,0.53,0.62,0.53,0.43,0.34,0.46
Bronx Academy of Health Careers,0.70,0.63,0.88,0.71,0.86,0.76,0.60,0.53,0.50
Bronx Academy for Software Engineering (BASE),0.00,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00
Bread & Roses Integrated Arts High School,0.36,0.31,0.86,0.00,0.00,0.00,0.00,0.00,0.00
Boys and Girls High School,0.50,0.32,0.85,0.49,0.47,0.00,0.54,0.71,0.64
Benjamin N. Cardozo High School,0.91,0.84,0.99,0.60,0.49,0.65,0.63,0.39,0.64
Benjamin Franklin High School for Finance & Inform,0.00,0.00,0.63,0.00,0.00,0.00,0.00,0.00,0.00
Benjamin Banneker Academy,0.92,0.86,0.91,0.57,0.70,0.61,0.66,0.54,0.59
Belmont Preparatory High School,0.61,0.60,0.84,0.62,0.54,0.72,0.58,0.42,0.67
Bedford Stuyvesant Collegiate -Uncommon Collegiate,0.00,0.00,0.00,0.83,0.92,0.85,0.85,0.90,0.81
Bedford Academy High School,0.96,0.85,1.00,0.91,0.88,0.86,0.86,0.95,0.75
Beacon High School,1.00,0.89,0.86,0.82,0.91,0.90,0.73,0.60,0.78
Bayside High School,0.92,0.86,0.85,0.70,0.67,0.73,0.59,0.38,0.61
Baruch College Campus High School,1.00,0.99,0.69,0.86,0.77,0.87,0.82,0.50,0.87
Bard High School Early College Queens,0.98,0.92,0.67,0.95,0.86,0.94,0.83,0.62,0.80
Bard High School Early College,0.97,0.99,0.88,0.86,0.87,0.86,0.81,0.60,0.78
Banana Kelly High School,0.41,0.32,0.40,0.42,0.36,0.38,0.25,0.53,0.36
Baccalaureate School for Global Education,1.00,1.00,0.93,0.61,0.49,0.90,0.52,0.38,0.72
Aviation Career & Technical Education High School,0.91,0.87,0.86,0.75,0.88,0.82,0.74,0.51,0.74
Automotive High School,0.46,0.33,0.65,0.45,0.42,0.49,0.29,0.00,0.00
August Martin High School,0.25,0.35,0.86,0.48,0.60,0.44,0.50,0.46,0.38
Astor Collegiate Academy,0.71,0.57,0.89,0.43,0.57,0.50,0.62,0.51,0.50
Arts & Media Preparatory Academy,0.48,0.33,0.62,0.44,0.58,0.58,0.61,0.58,0.54
Art and Design High School,0.85,0.74,0.83,0.49,0.42,0.56,0.38,0.38,0.53
"Archimedes Academy for Math, Science and Technolog",0.58,0.00,0.71,0.62,0.59,0.70,0.37,0.43,0.51
Antonia Pantoja Preparatory Academy: A College Boa,0.61,0.00,0.70,0.00,0.00,0.50,0.00,0.50,0.50
All City Leadership Secondary School,0.90,0.85,0.93,0.85,0.98,0.92,0.86,0.79,0.92
Alfred E. Smith Career and Technical Education Hig,0.70,0.28,0.81,0.46,0.60,0.54,0.57,0.58,0.55
ACORN Community High School,0.49,0.67,0.91,0.67,0.69,0.57,0.72,0.57,0.63
Achievement First Endeavor Charter School,0.72,0.00,0.00,0.86,0.80,0.79,0.82,0.75,0.78
Achievement First East New York Charter School,0.00,0.00,0.00,0.78,0.76,0.85,0.72,0.79,0.68
Achievement First Crown Heights Charter School,0.88,0.84,0.00,0.56,0.61,0.71,0.55,0.63,0.54
Achievement First Bushwick Charter School,0.96,0.00,0.00,0.85,0.81,0.00,0.78,0.80,0.81
Academy of Urban Planning,0.55,0.44,0.68,0.68,0.93,0.65,0.70,0.69,0.75
Academy of Medical Technology: A College Board Sch,0.64,0.61,0.57,0.60,0.83,0.75,0.60,0.50,0.68
Academy of Innovative Technology,0.78,0.54,0.71,0.66,0.72,0.73,0.81,0.69,0.84
Academy of Hospitality and Tourism,0.63,0.34,0.78,0.48,0.66,0.62,0.77,0.45,0.61
Academy of Finance and  Enterprise,0.94,0.78,0.84,0.72,0.86,0.79,0.69,0.65,0.75
Academy of American Studies,0.88,0.94,0.91,0.70,0.70,0.82,0.50,0.47,0.66
Academy for Young Writers,0.75,0.54,0.53,0.74,0.83,0.67,0.76,0.54,0.78
Academy for Software Engineering,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00
Academy for Social Action: A College Board School,0.58,0.61,0.61,0.58,0.78,0.44,0.72,0.73,0.59
Academy for Scholarship and Entrepreneurship: A Co,0.70,0.59,0.85,0.68,0.74,0.60,0.77,0.60,0.67
Academy for Language and Technology,0.94,0.69,0.25,0.81,0.70,0.84,0.67,0.62,0.69
Academy for Health Careers,0.73,0.00,0.50,0.40,0.70,0.56,0.72,0.54,0.66
Academy for Environmental Leadership,0.70,0.48,0.61,0.62,0.74,0.71,0.33,0.54,0.57
Academy for Conservation and the Environment,0.83,0.57,0.52,0.66,0.86,0.62,0.82,0.86,0.76
Academy for College Preparation and Career Explora,0.59,0.63,0.77,0.58,0.57,0.58,0.41,0.42,0.33
Academy for Careers in Television and Film,0.98,0.84,0.55,0.92,0.82,0.86,0.93,0.77,0.86
Abraham Lincoln High School,0.66,0.62,0.78,0.55,0.68,0.58,0.62,0.40,0.53
A. Philip Randolph Campus High School,0.83,0.67,0.78,0.61,0.64,0.00,0.64,0.60,0.62
47 The American Sign Language and English Secondar,0.55,0.69,0.55,0.67,0.85,0.74,0.50,0.57,0.63
