School Name,Graduation Rate,Post-secondary Enrollment Rate,Teacher experience,Rigorous Instruction,Collaborative Teachers,Supportive Environment ,Effective School Leadership,Strong Family-Community Ties,Trust
The Michael J. Petrides School,0.83,0.86,0.79,0.86,0.90,0.78,0.79,0.48,0.72
The Metropolitan Soundview High School,0.76,0.00,0.44,0.52,0.48,0.00,0.64,0.00,0.00
"The Marie Curie School for Medicine, Nursing, and",0.69,0.63,0.71,0.75,0.61,0.74,0.46,0.57,0.62
The High School of Fashion Industries,0.91,0.77,0.82,0.75,0.87,0.82,0.78,0.54,0.70
THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,0.71,0.61,0.48,0.66,0.69,0.62,0.72,0.42,0.71
The High School for Global Citizenship,0.59,0.49,0.83,0.82,0.86,0.86,0.80,0.93,0.74
"The High School for Enterprise, Business and Techn",0.76,0.73,0.79,0.77,0.80,0.86,0.45,0.41,0.58
The Global Learning Collaborative,0.77,0.45,0.74,0.59,0.69,0.64,0.58,0.81,0.55
The Equality Charter School,0.00,0.00,0.00,0.54,0.66,0.71,0.70,0.57,0.71
The College Academy,0.52,0.58,0.86,0.64,0.73,0.65,0.66,0.69,0.69
THE CINEMA SCHOOL,0.98,0.76,0.65,0.47,0.63,0.57,0.48,0.58,0.74
The Brooklyn School for Math and Research,0.77,0.00,0.28,0.82,0.74,0.76,0.76,0.83,0.74
The Brooklyn Academy of Global Finance,0.62,0.40,0.23,0.53,0.78,0.62,0.80,0.67,0.76
The Bronxwood Preparatory Academy,0.63,0.44,0.72,0.83,0.86,0.81,0.64,0.58,0.66
Teachers Preparatory High School,0.68,0.59,0.89,0.52,0.63,0.53,0.53,0.49,0.46
Talent Unlimited High School,0.96,0.88,0.83,0.86,0.79,0.75,0.78,0.64,0.76
Susan E. Wagner High School,0.79,0.77,0.86,0.81,0.82,0.74,0.63,0.42,0.65
Sunset Park High School,0.67,0.64,0.59,0.86,0.82,0.76,0.64,0.61,0.74
Summit Academy Charter School,0.00,0.00,0.00,0.68,0.71,0.63,0.75,0.89,0.72
Stuyvesant High School,0.99,0.99,0.91,0.70,0.60,0.84,0.60,0.52,0.65
Stephen T. Mather Building Arts & Craftsmanship Hi,0.00,0.00,0.35,0.00,0.00,0.00,0.00,0.00,0.00
Staten Island Technical High School,0.99,0.99,0.80,0.86,0.92,0.93,0.86,0.50,0.90
Special Music School,0.00,0.00,0.57,0.98,0.97,0.88,0.86,0.87,0.82
South Bronx Preparatory: A College Board School,0.92,0.67,0.62,0.84,0.90,0.84,0.73,0.54,0.72
Sheepshead Bay High School,0.54,0.45,0.83,0.00,0.00,0.00,0.00,0.00,0.00
Secondary School for Law,0.89,0.68,0.77,0.93,0.75,0.75,0.62,0.75,0.78
Secondary School for Journalism,0.64,0.56,0.75,0.58,0.66,0.49,0.70,0.48,0.64
"Science, Technology and Research Early College Hig",0.97,0.93,0.76,0.83,0.96,0.87,0.87,0.99,0.87
"Science Skills Center High School for Science, Tec",0.73,0.56,0.65,0.58,0.67,0.54,0.64,0.70,0.58
Schuylerville Preparatory High School,0.00,0.00,0.83,0.00,0.00,0.00,0.00,0.00,0.00
School of the Future High School,0.97,0.90,0.85,0.80,0.94,0.83,0.82,0.60,0.76
School for Tourism and Hospitality,0.00,0.00,0.62,0.00,0.00,0.00,0.00,0.00,0.00
School for Legal Studies,0.40,0.36,0.76,0.53,0.58,0.60,0.64,0.54,0.69
School for International Studies,0.65,0.59,0.57,0.75,0.83,0.56,0.62,0.43,0.42
"School for Human Rights, The",0.81,0.55,0.92,0.77,0.82,0.76,0.89,0.70,0.83
School for Excellence,0.61,0.46,0.96,0.58,0.66,0.55,0.74,0.62,0.71
School for Democracy and  Leadership,0.54,0.44,0.74,0.52,0.54,0.66,0.54,0.46,0.58
Scholars' Academy,0.99,0.99,0.69,0.93,0.95,0.86,0.88,0.70,0.89
Samuel Gompers Career and Technical Education High,0.39,0.25,0.92,0.00,0.00,0.00,0.00,0.00,0.00
Rockaway Park High School for Environmental Sustai,0.54,0.00,0.59,0.71,0.69,0.65,0.70,0.67,0.73
Rockaway Collegiate High School,0.53,0.00,0.54,0.59,0.59,0.60,0.48,0.51,0.45
Robert H. Goddard High School of Communication Art,0.92,0.79,0.83,0.60,0.78,0.71,0.84,0.56,0.82
"Robert F. Wagner, Jr. Secondary School for Arts an",0.83,0.78,0.88,0.70,0.71,0.70,0.70,0.39,0.72
Robert F. Kennedy Community High School,0.84,0.75,0.93,0.79,0.73,0.82,0.79,0.58,0.76
Riverdale / Kingsbridge Academy (Middle School / H,0.79,0.75,0.86,0.64,0.78,0.74,0.57,0.57,0.61
Richmond Hill High School,0.55,0.48,0.88,0.54,0.55,0.62,0.26,0.38,0.40
Richard R. Green High School of Teaching,0.62,0.65,0.83,0.59,0.72,0.62,0.72,0.52,0.71
Repertory Company High School for Theatre Arts,1.00,0.82,0.54,0.94,0.95,0.79,0.90,0.61,0.82
Renaissance High School for Musical Theater & Tech,0.74,0.64,0.71,0.78,0.90,0.73,0.84,0.48,0.78
Renaissance Charter School,0.79,0.91,0.00,0.67,0.70,0.72,0.62,0.66,0.64
Renaissance Charter High School for Innovation,0.53,0.00,0.00,0.45,0.60,0.66,0.61,0.58,0.65
Ralph R. McKee Career and Technical Education High,0.63,0.52,0.90,0.50,0.60,0.72,0.59,0.39,0.52
