"","school.name","lat","lon","addr","zipcode"
"427","Bronx Engineering and Technology Academy",40.8776027,-73.9133334,"99 Terrace View Ave, Bronx, NY 10463, USA",10463
"428","Bronx Early College Academy for Teaching & Learnin",40.8281781,-73.9175579,"250 E 164th St, Bronx, NY 10456, USA",10456
"429","Bronx Design and Construction Academy",40.8186347,-73.9199144,"333 E 151st St, Bronx, NY 10451, USA",10451
"430","Bronx Compass High School",40.8213228,-73.855699,"1980 Lafayette Ave, Bronx, NY 10473, USA",10473
"431","Bronx Collegiate Academy",40.839614,-73.911386,"240 E 172nd St, Bronx, NY 10457, USA",10457
"432","Bronx Collaborative High School",40.8817428,-73.8871175,"3rd Floor North, 100 W Mosholu Pkwy S, Bronx, NY 10468, United States",10468
"433","Bronx Center for Science and Mathematics",40.8339721,-73.9027472,"1363 Fulton Ave, Bronx, NY 10456, USA",10456
"434","Bronx Career and College Preparatory High School",40.8271204,-73.9008891,"800 Home St, Bronx, NY 10456, USA",10456
"435","BRONX BRIDGES HIGH SCHOOL",40.8214475,-73.8556542,"1980 Lafayette Ave, Bronx, NY 10473, USA",10473
"436","Bronx Aerospace High School",40.8751619,-73.8616096,"800 E Gun Hill Rd, Bronx, NY 10467, USA",10467
"437","Bronx Academy of Health Careers",40.8750988,-73.8616623,"800 E Gun Hill Rd, Bronx, NY 10467, USA",10467
"438","Bronx Academy for Software Engineering (BASE)",40.855217,-73.8826068,"2474 Crotona Ave, Bronx, NY 10458, USA",10458
"439","Bread & Roses Integrated Arts High School",40.8172824,-73.947238,"6 Edgecombe Ave, New York, NY 10030, USA",10030
"440","Boys and Girls High School",40.6789227,-73.9316585,"1700 Fulton St, Brooklyn, NY 11213, USA",11213
"441","Benjamin N. Cardozo High School",40.7519018,-73.7565313,"5700 223rd St, Bayside, NY 11364, USA",11364
"442","Benjamin Franklin High School for Finance & Inform",40.6981894,-73.7460088,"207-01 116th Ave, Jamaica, NY 11411, USA",11411
"443","Benjamin Banneker Academy",40.6955429,-73.9687151,"77 Clinton Ave, Brooklyn, NY 11205, USA",11205
"444","Belmont Preparatory High School",40.8594021,-73.8886743,"500 E Fordham Rd, Bronx, NY 10458, USA",10458
"445","Bedford Stuyvesant Collegiate -Uncommon Collegiate",40.6880664,-73.9326769,"800 Gates Ave, Brooklyn, NY 11221, USA",11221
"446","Bedford Academy High School",40.6854101,-73.9541902,"1119 Bedford Ave, Brooklyn, NY 11216, USA",11216
"447","Beacon High School",40.7613951,-73.9959894,"522 W 44th St, New York, NY 10036, USA",10036
"448","Bayside High School",40.7714489,-73.7810639,"3224 Corporal Kennedy St, Bayside, NY 11361, USA",11361
"449","Baruch College Campus High School",40.7418485,-73.985909,"55 E 25th St, New York, NY 10010, USA",10010
"450","Bard High School Early College Queens",40.7448591,-73.9369449,"30-20 Thomson Ave, Long Island City, NY 11101, USA",11101
"451","Bard High School Early College",40.7182547,-73.9760185,"525 E Houston St, New York, NY 10002, USA",10002
"452","Banana Kelly High School",40.8176439,-73.8980239,"965 Longwood Ave, Bronx, NY 10459, USA",10459
"453","Baccalaureate School for Global Education",40.7551568,-73.9269736,"34-12 36th Ave, Astoria, NY 11106, USA",11106
"454","Aviation Career & Technical Education High School",40.743581,-73.9292176,"45-30 36th St, Long Island City, NY 11101, USA",11101
"455","Automotive High School",40.7224451,-73.9532235,"50 Bedford Ave, Brooklyn, NY 11222, USA",11222
"456","August Martin High School",40.6747641,-73.7832326,"156-10 Baisley Blvd, Jamaica, NY 11434, USA",11434
"457","Astor Collegiate Academy",40.8602833,-73.8603759,"925 Astor Ave, Bronx, NY 10469, USA",10469
"458","Arts & Media Preparatory Academy",40.658679,-73.928761,"905 Winthrop St, Brooklyn, NY 11203, USA",11203
"459","Art and Design High School",40.7591326,-73.9664438,"245 E 56th St, New York, NY 10022, USA",10022
"460","Archimedes Academy for Math, Science and Technolog",40.8150174,-73.8560178,"456 White Plains Rd, Bronx, NY 10473, USA",10473
"461","Antonia Pantoja Preparatory Academy: A College Boa",40.8213444,-73.8556733,"1980 Lafayette Ave, Bronx, NY 10473, USA",10473
"462","All City Leadership Secondary School",40.6975906,-73.9130973,"321 Palmetto St, Brooklyn, NY 11237, USA",11237
"463","Alfred E. Smith Career and Technical Education Hig",40.8185183,-73.9199681,"333 E 151st St, Bronx, NY 10451, USA",10451
"464","ACORN Community High School",40.6785854,-73.9619432,"561 Grand Ave, Brooklyn, NY 11238, USA",11238
"465","Achievement First Endeavor Charter School",40.6823171,-73.965849,"510 Waverly Ave, Brooklyn, NY 11238, USA",11238
"466","Achievement First East New York Charter School",40.6637837,-73.8932587,"557 Pennsylvania Ave, Brooklyn, NY 11207, USA",11207
"467","Achievement First Crown Heights Charter School",40.6622465,-73.9363232,"790 E New York Ave, Brooklyn, NY 11203, USA",11203
"468","Achievement First Bushwick Charter School",40.6889123,-73.9102637,"125 Covert St, Brooklyn, NY 11207, USA",11207
"469","Academy of Urban Planning",40.6968124,-73.9117231,"400 Irving Ave, Brooklyn, NY 11221, USA",11221
"470","Academy of Medical Technology: A College Board Sch",40.6015311,-73.7639639,"8-21 Bay 25th St, Far Rockaway, NY 11691, USA",11691
"471","Academy of Innovative Technology",40.6928503,-73.8689912,"999 Jamaica Ave, Brooklyn, NY 11208, USA",11208
"472","Academy of Hospitality and Tourism",40.6494997,-73.9581617,"911 Flatbush Ave, Brooklyn, NY 11226, USA",11226
"473","Academy of Finance and  Enterprise",40.7444771,-73.9367909,"30-20 Thomson Ave, Long Island City, NY 11101, USA",11101
"474","Academy of American Studies",40.7512433,-73.9374847,"28-04 41st Ave, Long Island City, NY 11101, USA",11101
"475","Academy for Young Writers",40.6573166,-73.8740712,"1065 Elton St, Brooklyn, NY 11239, USA",11239
"476","Academy for Software Engineering",40.735543,-73.987478,"40 Irving Pl, New York, NY 10003, USA",10003
"477","Academy for Social Action: A College Board School",40.8154784,-73.9555563,"509 W 129th St, New York, NY 10027, USA",10027
"478","Academy for Scholarship and Entrepreneurship: A Co",40.888161,-73.8524927,"921 E 228th St, Bronx, NY 10466, USA",10466
"479","Academy for Language and Technology",40.8493122,-73.915653,"1700 Macombs Rd, Bronx, NY 10453, USA",10453
"480","Academy for Health Careers",40.6759239,-73.9392856,"150 Albany Ave, Brooklyn, NY 11213, USA",11213
"481","Academy for Environmental Leadership",40.6970064,-73.9117456,"4, 400 Irving Ave, Brooklyn, NY 11237, USA",11237
"482","Academy for Conservation and the Environment",40.6335392,-73.9174422,"6565 Flatlands Ave, Brooklyn, NY 11236, USA",11236
"483","Academy for College Preparation and Career Explora",40.6494997,-73.9581617,"911 Flatbush Ave, Brooklyn, NY 11226, USA",11226
"484","Academy for Careers in Television and Film",40.7432785,-73.9590348,"1-50 51st Ave #411, Long Island City, NY 11101, USA",11101
"485","Abraham Lincoln High School",40.5823896,-73.9686225,"2800 Ocean Pkwy, Brooklyn, NY 11235, USA",11235
"486","A. Philip Randolph Campus High School",40.8183975,-73.9501148,"443 W 135th St, New York, NY 10031, USA",10031
"487","47 The American Sign Language and English Secondar",40.7382609,-73.9812096,"225 E 23rd St, New York, NY 10010, USA",10010
