"","school.name","lat","lon","addr","zipcode"
"245","Hillside Arts & Letters Academy",40.7142819,-73.7980413,"167-01 Gothic Dr, Jamaica, NY 11432, USA",11432
"246","Hillcrest High School",40.7095227,-73.8024715,"160-05 Highland Ave, Jamaica, NY 11432, USA",11432
"247","High School of World Cultures",40.8320451,-73.8783844,"1300 Boynton Ave, Bronx, NY 10472, USA",10472
"248","High School of Sports Management",40.5935726,-73.985987,"2630 Benson Ave, Brooklyn, NY 11214, USA",11214
"249","High School of Language and Innovation",40.8602833,-73.8603759,"925 Astor Ave, Bronx, NY 10469, USA",10469
"250","High School of Hospitality Management",40.7655356,-73.9931625,"525 W 50th St, New York, NY 10019, USA",10019
"251","High School of Graphic Communication Arts",40.7639856,-73.9903637,"439 W 49th St, New York, NY 10019, USA",10019
"252","High School of Economics and Finance",40.7092906,-74.0123296,"100 Trinity Pl, New York, NY 10006, USA",10006
"253","High School of Computers and Technology",40.8750988,-73.8616623,"800 E Gun Hill Rd, Bronx, NY 10467, USA",10467
"254","High School of Arts and Technology",40.7748991,-73.9856157,"122 Amsterdam Ave, New York, NY 10023, USA",10023
"255","High School of Applied Communication",40.7448591,-73.9369449,"30-20 Thomson Ave, Long Island City, NY 11101, USA",11101
"256","High School of American Studies at Lehman College",40.8748759,-73.8952231,"2925 Goulden Ave, Bronx, NY 10468, USA",10468
"257","High School of  Telecommunication Arts and Technol",40.6368371,-74.0233013,"350 67th St, Brooklyn, NY 11220, USA",11220
"258","High School for Youth and Community Development at",40.6494997,-73.9581617,"911 Flatbush Ave, Brooklyn, NY 11226, USA",11226
"259","High School for Violin and Dance",40.8272169,-73.9039243,"1100 Boston Rd, Bronx, NY 10456, USA",10456
"260","High School for Teaching and the Professions",40.8704419,-73.8969425,"2780 Reservoir Ave, Bronx, NY 10468, USA",10468
"261","High School for Service & Learning at Erasmus",40.6495813,-73.9581967,"911 Flatbush Ave, Brooklyn, NY 11226, USA",11226
"262","High School for Public Service: Heroes  of Tomorro",40.6593652,-73.9431462,"600 Kingston Ave, Brooklyn, NY 11203, USA",11203
"263","High School for Medical Professions",40.640423,-73.8984517,"1600 Rockaway Pkwy, Brooklyn, NY 11236, USA",11236
"264","High School for Media and Communications",40.8562127,-73.9265543,"549 Audubon Ave, New York, NY 10040, USA",10040
"265","High School for Mathematics, Science and Engineeri",40.8214739,-73.9490389,"240 Convent Ave, New York, NY 10031, USA",10031
"266","High School for Law, Advocacy and Community Justic",40.7747793,-73.98472,"122 Amsterdam Ave, New York, NY 10023, USA",10023
"267","High School for Law Enforcement and Public Safety",40.6859426,-73.783534,"116-25 Guy R Brewer Blvd, Jamaica, NY 11434, USA",11434
"268","High School for Law and Public Service",40.8558937,-73.9260333,"549 Audubon Ave, New York, NY 10040, USA",10040
"269","High School for Innovation in Advertising and Medi",40.6409517,-73.8976898,"1600 Rockaway Pkwy, Brooklyn, NY 11236, USA",11236
"270","High School for Health Professions and Human Servi",40.7325413,-73.9828421,"345 E 15th St, New York, NY 10003, USA",10003
"271","High School for Health Careers and Sciences",40.8555572,-73.9262029,"549 Audubon Ave, New York, NY 10040, USA",10040
"272","High School for Environmental Studies",40.7679759,-73.9881796,"444 W 56th St, New York, NY 10019, USA",10019
"273","High School for Energy and Technology",40.8552601,-73.8824187,"2474 Crotona Ave, Bronx, NY 10458, USA",10458
"274","High School for Dual Language and Asian Studies",40.7173162,-73.989318,"350 Grand St, New York, NY 10002, USA",10002
"275","High School for Contemporary Arts",40.8750988,-73.8616623,"800 E Gun Hill Rd, Bronx, NY 10467, USA",10467
"276","High School for Construction Trades, Engineering a",40.6892738,-73.8412316,"94-06 104th St, Queens, NY 11416, USA",11416
"277","High School for Community Leadership",40.7142166,-73.7980185,"167-01 Gothic Dr, Jamaica, NY 11432, USA",11432
"278","High School for Civil Rights",40.6668454,-73.8952889,"400 Pennsylvania Ave, Brooklyn, NY 11207, USA",11207
"279","High School for Arts, Imagination and Inquiry",40.7748991,-73.9856156,"122 Amsterdam Ave, New York, NY 10023, USA",10023
"280","High School for Arts and Business",40.7376899,-73.8534401,"105-25 Horace Harding Expy, Corona, NY 11368, USA",11368
"281","Heritage School, The",40.791964,-73.946878,"1680 Lexington Ave, New York, NY 10029, USA",10029
"282","Herbert H. Lehman High School",40.840173,-73.839357,"3000 E Tremont Ave - Floor 1, Bronx, NY 10461, United States",10461
"283","Henry Street School for International Studies",40.7134455,-73.9860332,"220 Henry St, New York, NY 10002, USA",10002
"284","Health Opportunities High School",40.815542,-73.9304433,"350 Gerard Ave, Bronx, NY 10451, USA",10451
"285","Harvest Collegiate High School",40.7365985,-73.9954131,"34 W 14th St, New York, NY 10011, USA",10011
"286","Harry S Truman High School",40.874285,-73.833329,"750 Baychester Ave, Bronx, NY 10475, USA",10475
"287","Harlem Village Academy Leadership Charter School",40.7992619,-73.9338696,"2351 1st Avenue, Floor 4, New York, NY 10035, United States",10035
"288","Harlem Village Academy Charter School",40.8212634,-73.9407418,"244 W 144th St # 4th, New York, NY 10030, USA",10030
"289","Harlem Children's Zone Promise Academy II Charter",40.8086945,-73.9368392,"1916 Park Ave, New York, NY 10037, USA",10037
"290","Harlem Children's Zone Promise Academy 1 Charter S",40.8124461,-73.9482207,"245 W 129th St, New York, NY 10027, USA",10027
"291","H.E.R.O. High (Health, Education, and Research Occ",40.810415,-73.9075759,"455 Southern Blvd, Bronx, NY 10455, USA",10455
"292","Grover Cleveland High School",40.7116316,-73.9091658,"21-27 Himrod St, Ridgewood, NY 11385, USA",11385
"293","Gregorio Luperon High School for Science and Mathe",40.8382195,-73.9385431,"501 W 165th St, New York, NY 10032, USA",10032
"294","Green School: An Academy for Environmental Careers",40.7097423,-73.9445006,"223 Graham Ave, Brooklyn, NY 11206, USA",11206
"295","Gramercy Arts High School",40.7353879,-73.987228,"40 Irving Pl, New York, NY 10003, USA",10003
"296","Grace Dodge Career and Technical Education High Sc",40.8553275,-73.8824109,"2474 Crotona Ave, Bronx, NY 10458, USA",10458
"297","Gotham Professional Arts Academy",40.6801745,-73.9214624,"265 Ralph Ave, Brooklyn, NY 11233, USA",11233
"298","George Westinghouse Career and Technical Education",40.6958629,-73.9855862,"105 Tech Pl, Brooklyn, NY 11201, USA",11201
"299","George Washington Carver High School for the Scien",40.6679692,-73.7580558,"143-10 Springfield Blvd, Springfield Gardens, NY 11413, USA",11413
"300","Gaynor McCown Expeditionary Learning School",40.581969,-74.1593599,"100 Essex Dr, Staten Island, NY 10314, USA",10314
"301","Gateway School for Environmental Research and Tech",40.8213444,-73.8556733,"1980 Lafayette Ave, Bronx, NY 10473, USA",10473
"302","Frederick Douglass Academy VII High School",40.6655301,-73.9120609,"226 Bristol St, Brooklyn, NY 11212, USA",11212
"303","Frederick Douglass Academy VI High School",40.601532,-73.763979,"8-21 Bay 25th St, Far Rockaway, NY 11691, USA",11691
"304","Frederick Douglass Academy IV Secondary School",40.6919757,-73.9314884,"1014 Lafayette Ave, Brooklyn, NY 11221, USA",11221
"305","Frederick Douglass Academy III Secondary School",40.8337212,-73.9038974,"3630 Third Ave, Bronx, NY 10456, USA",10456
"306","Frederick Douglass Academy II Secondary School",40.8025691,-73.9541214,"215 W 114th St, New York, NY 10026, USA",10026
"307","Frederick Douglass Academy",40.8243982,-73.9365449,"2581 Adam Clayton Powell Jr Blvd, New York, NY 10039, USA",10039
"308","Franklin Delano Roosevelt High School",40.6213242,-73.9825025,"5800 20th Ave, Brooklyn, NY 11204, USA",11204
"309","Frank Sinatra School of the Arts High School",40.7560972,-73.9251655,"35-12 35th Ave, Queens, NY 11106, USA",11106
"310","FRANK McCOURT HIGH SCHOOL",40.7861222,-73.9744821,"145 W 84th St, New York, NY 10024, USA",10024
"311","Francis Lewis High School",40.7407391,-73.7939348,"58-20 Utopia Pkwy, Fresh Meadows, NY 11365, USA",11365
"312","Frances Perkins Academy",40.7222345,-73.9532927,"50 Bedford Ave, Brooklyn, NY 11222, USA",11222
"313","Foundations Academy",40.6968241,-73.9473055,"70 Tompkins Ave, Brooklyn, NY 11206, USA",11206
"314","Fort Hamilton High School",40.6271178,-74.0392943,"8301 Shore Rd, Brooklyn, NY 11209, USA",11209
"315","Forest Hills High School",40.7297115,-73.8449259,"67-01 110th St, Forest Hills, NY 11375, USA",11375
"316","Foreign Language Academy of Global Studies",40.810911,-73.9092839,"470 Jackson Ave, Bronx, NY 10455, USA",10455
"317","Fordham Leadership Academy for Business and Techno",40.8595464,-73.8886017,"500 E Fordham Rd, Bronx, NY 10458, USA",10458
"318","Fordham High School for the Arts",40.8595423,-73.8885964,"500 E Fordham Rd, Bronx, NY 10458, USA",10458
"319","Food and Finance High School",40.7655356,-73.9931625,"525 W 50th St, New York, NY 10019, USA",10019
"320","Flushing International High School",40.7600404,-73.8180648,"144-80 Barclay Ave, Flushing, NY 11355, USA",11355
"321","Flushing High School",40.7651149,-73.8268567,"35-01 Union St, Queens, NY 11354, USA",11354
